name,age,years_played,games_played,avg_qbr,avg_cmp,avg_att,avg_pct,avg_pyds,avg_ypa,avg_TD,avg_INT,avg_SACK,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,ADP
russell-wilson,28,5,15,94.47333333333334,21.4,34.93333333333333,61.59333333333333,250.8,7.120000000000001,2.1333333333333333,0.7333333333333333,2.6666666666666665,6.0,36.66666666666666,7.02,14.666666666666666,0.2,53.0
tom-brady,39,15,15,103.97333333333331,24.466666666666665,36.266666666666666,67.63333333333334,292.46666666666664,8.146666666666667,2.0,0.5333333333333333,2.2,1.6666666666666667,1.8666666666666667,1.2133333333333334,2.0,0.0,28.0
kirk-cousins,28,5,15,99.69333333333331,21.8,33.53333333333333,65.14666666666666,262.3333333333333,7.893333333333332,1.8,0.6666666666666666,2.533333333333333,3.2,11.133333333333333,2.9933333333333336,6.8,0.2,87.0
matthew-stafford,29,8,15,99.22666666666667,23.4,35.733333333333334,66.43333333333332,274.8666666666667,7.759999999999999,1.7333333333333334,0.6666666666666666,3.0,1.8,6.4,3.2133333333333334,4.733333333333333,0.0,104.0
philip-rivers,35,11,15,93.82,22.133333333333333,35.86666666666667,61.833333333333336,275.2,7.733333333333333,1.6666666666666667,0.6666666666666666,1.1333333333333333,1.1333333333333333,-0.4666666666666667,-0.2133333333333333,0.3333333333333333,0.0,118.0
drew-brees,38,13,15,103.67333333333336,24.266666666666666,33.733333333333334,72.5,272.6,8.106666666666667,1.4666666666666666,0.5333333333333333,1.2,2.1333333333333333,0.6666666666666666,0.7266666666666667,1.8,0.1333333333333333,69.0
dak-prescott,23,1,15,89.14,19.4,30.666666666666668,63.60000000000001,209.66666666666663,7.026666666666666,1.4,0.8666666666666667,2.066666666666667,3.6666666666666665,22.73333333333333,6.006666666666666,12.066666666666666,0.4,113.0
ben-roethlisberger,35,12,14,93.97142857142856,24.285714285714285,38.0,63.65714285714285,287.5,7.792857142857143,1.8571428571428568,1.0,1.5,1.9285714285714288,3.4285714285714284,2.3357142857142854,3.2857142857142856,0.0,78.0
jared-goff,22,1,14,100.49285714285716,19.571428571428573,31.357142857142858,62.90714285714287,250.2142857142857,8.15,1.7142857142857142,0.5,1.7142857142857142,1.7857142857142858,4.071428571428571,2.7071428571428577,4.071428571428571,0.0714285714285714,120.0
matt-ryan,32,9,15,92.60666666666668,20.933333333333334,32.266666666666666,64.96666666666667,251.86666666666667,7.853333333333333,1.2666666666666666,0.8,1.5333333333333334,1.933333333333333,8.6,3.466666666666667,6.333333333333333,0.0,99.0
tyrod-taylor,27,6,14,85.99285714285713,17.428571428571427,28.071428571428573,61.62142857142857,185.3571428571429,6.464285714285714,0.9285714285714286,0.2857142857142857,3.0,5.571428571428571,28.0,5.521428571428571,13.357142857142858,0.2857142857142857,138.0
marcus-mariota,23,2,14,79.77142857142857,19.214285714285715,30.857142857142858,62.50714285714287,221.28571428571428,7.35,0.8571428571428571,1.0714285714285714,1.7142857142857142,3.571428571428572,18.0,5.028571428571429,11.357142857142858,0.3571428571428571,131.0
deshaun-watson,21,-1,6,95.85,17.833333333333332,29.0,60.85,216.16666666666663,7.2,2.5,0.8333333333333334,2.333333333333333,4.666666666666667,33.666666666666664,7.766666666666666,16.666666666666668,0.3333333333333333,50.0
mitch-trubisky,22,0,11,82.76363636363635,16.0,26.727272727272727,59.7090909090909,183.1818181818182,7.463636363636363,0.6363636363636364,0.6363636363636364,2.727272727272727,3.636363636363636,22.363636363636363,5.5,13.363636363636363,0.1818181818181818,155.0
aaron-rodgers,33,12,6,98.86666666666666,21.33333333333333,32.166666666666664,64.01666666666667,230.8333333333333,6.800000000000001,2.1666666666666665,0.5,3.1666666666666665,3.0,13.833333333333334,3.3000000000000003,8.666666666666666,0.0,22.0
jimmy-garoppolo,25,3,5,105.52,20.0,29.0,74.6,253.6,8.8,1.0,0.6,1.6,2.6,2.4,1.28,3.8,0.2,108.0
