name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP
jonathan-taylor,22,1,17,2.3529411764705883,3.0,21.176470588235293,7.717647058823529,13.941176470588236,0.1176470588235294,19.529411764705884,106.52941176470588,5.541176470588234,33.705882352941174,1.0588235294117647,9.8,1.0
austin-ekeler,26,4,16,4.375,5.875,40.4375,8.78125,16.125,0.5,12.875,56.9375,4.3875,14.0625,0.75,13.9,4.0
najee-harris-rb,23,0,17,4.352941176470588,5.529411764705882,27.47058823529412,6.105882352941176,11.882352941176473,0.1764705882352941,18.058823529411764,70.58823529411765,3.676470588235294,15.411764705882351,0.4117647058823529,14.2,8.0
joe-mixon,24,4,16,2.625,3.0,19.625,4.575,12.3125,0.1875,18.25,75.3125,4.0375,16.75,0.8125,8.6,12.0
james-conner,26,4,15,2.466666666666667,2.6,25.0,7.1866666666666665,12.466666666666669,0.2,13.466666666666669,50.13333333333333,3.833333333333333,14.533333333333331,1.0,6.6,25.0
leonard-fournette,26,4,14,4.928571428571429,6.0,32.42857142857143,6.957142857142857,13.714285714285714,0.1428571428571428,12.857142857142858,58.0,4.264285714285713,15.214285714285714,0.5714285714285714,11.5,18.0
ezekiel-elliott,25,5,17,2.764705882352941,3.823529411764706,16.88235294117647,6.170588235294118,9.588235294117649,0.1176470588235294,13.941176470588236,58.94117647058823,4.017647058823529,14.411764705882351,0.5882352941176471,10.0,38.0
alvin-kamara,25,4,13,3.615384615384616,5.153846153846154,33.76923076923077,7.546153846153846,13.23076923076923,0.3846153846153846,18.46153846153846,69.07692307692308,3.423076923076923,15.692307692307692,0.3076923076923077,13.3,10.0
cordarrelle-patterson,30,8,16,3.25,4.3125,34.25,8.3875,16.875,0.3125,9.5625,38.625,3.95625,13.0625,0.375,12.0,92.0
antonio-gibson,23,1,16,2.625,3.25,18.375,9.20625,13.125,0.1875,16.125,64.8125,4.0375000000000005,15.125,0.4375,9.5,84.0
aaron-jones,26,4,15,3.466666666666667,4.333333333333333,26.066666666666663,6.753333333333333,12.066666666666666,0.4,11.4,53.266666666666666,4.6866666666666665,16.866666666666667,0.2666666666666666,11.0,21.0
josh-jacobs,23,2,15,3.6,4.266666666666667,23.2,7.666666666666667,11.466666666666669,0.0,14.466666666666669,58.13333333333333,3.866666666666666,12.933333333333334,0.6,10.2,54.0
