name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP
saquon-barkley,21,0,16,5.6875,7.5625,45.0625,8.28125,21.125,0.25,16.3125,81.6875,5.075,32.75,0.6875,21.6,1.0
christian-mccaffrey,22,1,16,6.6875,7.75,54.1875,8.837499999999999,20.5,0.375,13.6875,68.625,4.893750000000001,22.0625,0.4375,22.7,2.0
alvin-kamara,22,1,15,5.4,7.0,47.266666666666666,10.473333333333333,18.866666666666667,0.2666666666666666,12.933333333333334,58.86666666666667,4.413333333333332,16.0,0.9333333333333332,20.1,3.0
ezekiel-elliott,22,2,15,5.133333333333334,6.333333333333333,37.8,7.653333333333334,15.666666666666666,0.2,20.266666666666666,95.6,4.72,21.133333333333333,0.4,18.4,4.0
james-conner,23,1,13,4.230769230769231,5.461538461538462,38.23076923076923,9.06153846153846,16.076923076923077,0.0769230769230769,16.53846153846154,74.61538461538461,4.207692307692308,18.76923076923077,0.9230769230769232,13.4,14.0
james-white,26,3,16,5.4375,7.6875,46.9375,8.21875,16.75,0.4375,5.875,26.5625,4.0687500000000005,11.5625,0.3125,23.2,54.0
david-johnson-rb,26,3,16,3.125,4.75,27.875,10.2875,17.5,0.1875,16.125,58.75,3.5625,14.5625,0.4375,15.0,6.0
joe-mixon,21,1,14,3.071428571428572,3.928571428571429,21.142857142857142,6.064285714285715,10.714285714285714,0.0714285714285714,16.928571428571427,83.42857142857143,5.028571428571428,26.357142857142858,0.5714285714285714,10.0,17.0
tarik-cohen,22,-1,16,4.4375,5.6875,45.3125,12.3875,20.9375,0.3125,6.1875,27.75,4.550000000000001,14.125,0.1875,17.5,81.0
kareem-hunt,22,1,11,2.363636363636364,3.1818181818181817,34.36363636363637,13.218181818181815,21.0,0.6363636363636364,16.454545454545453,74.9090909090909,4.7,21.90909090909091,0.6363636363636364,9.0,139.0
phillip-lindsay,23,0,15,2.333333333333333,3.1333333333333333,16.066666666666666,5.833333333333333,9.333333333333334,0.0666666666666666,12.8,69.13333333333334,5.313333333333333,24.0,0.6,7.9,62.0
kenyan-drake,24,2,16,3.3125,4.5625,29.8125,11.13125,16.6875,0.3125,7.5,33.4375,4.45,14.1875,0.25,16.5,70.0
derrick-henry,24,2,16,0.9375,1.125,6.1875,4.0625,5.1875,0.0,13.4375,65.75,4.6375,19.0,0.75,3.3,33.0
nick-chubb,22,0,16,1.25,1.8125,9.3125,3.325,5.0625,0.125,12.0,62.25,6.675,25.4375,0.5,3.3,20.0
tevin-coleman,25,3,16,2.0,2.75,17.25,7.393749999999999,11.875,0.3125,10.4375,50.0,4.58125,19.125,0.25,8.4,78.0
adrian-peterson-min,33,10,16,1.25,1.625,13.0,6.83125,9.6875,0.0625,15.6875,65.125,3.7625000000000006,22.6875,0.4375,5.3,184.0
jordan-howard,23,2,16,1.25,1.6875,9.0625,5.28125,6.5,0.0,15.625,58.4375,3.625,15.3125,0.5625,5.3,121.0
marlon-mack,22,1,12,1.4166666666666667,2.1666666666666665,8.583333333333334,5.7250000000000005,7.666666666666667,0.0833333333333333,16.25,75.66666666666667,4.425,17.75,0.75,3.8,58.0
tj-yeldon,24,1,14,3.928571428571429,5.571428571428571,34.785714285714285,8.542857142857143,15.571428571428571,0.2857142857142857,7.428571428571429,29.571428571428573,4.264285714285714,9.857142857142858,0.0714285714285714,16.5,1000.0
aaron-jones,23,1,12,2.1666666666666665,2.9166666666666665,17.166666666666668,6.533333333333332,9.666666666666666,0.0833333333333333,11.083333333333334,60.66666666666666,5.308333333333334,21.5,0.6666666666666666,6.7,36.0
austin-ekeler,23,1,14,2.7857142857142856,3.7857142857142856,28.857142857142858,11.092857142857143,15.285714285714286,0.2142857142857142,7.571428571428571,39.57142857142857,5.9071428571428575,17.071428571428573,0.2142857142857142,11.2,84.0
matt-breida,23,1,14,1.9285714285714288,2.2142857142857144,18.642857142857142,6.678571428571429,10.714285714285714,0.1428571428571428,10.928571428571429,58.142857142857146,5.235714285714287,18.428571428571427,0.2142857142857142,6.3,98.0
nyheim-hines,21,0,16,3.9375,5.0625,26.5625,6.7625,13.0,0.125,5.3125,19.625,3.2875,7.625,0.125,11.5,134.0
dion-lewis,27,3,16,3.6875,4.1875,25.0,5.95625,12.8125,0.0625,9.6875,32.3125,2.86875,11.6875,0.0625,13.5,158.0
dalvin-cook,22,1,11,3.636363636363636,4.454545454545454,27.727272727272727,8.990909090909092,14.454545454545457,0.1818181818181818,12.090909090909092,55.90909090909091,4.563636363636364,19.818181818181817,0.1818181818181818,4.9,19.0
peyton-barber,24,1,16,1.25,1.8125,5.75,3.05,3.875,0.0625,14.625,54.4375,3.7,15.875,0.3125,4.5,123.0
kerryon-johnson,21,-1,10,3.2,3.9,21.3,5.99,10.5,0.1,11.8,64.1,5.0600000000000005,21.9,0.3,9.5,30.0
sony-michel,23,0,13,0.5384615384615384,0.8461538461538461,3.8461538461538463,3.3846153846153846,3.5384615384615383,0.0,16.076923076923077,71.61538461538461,4.384615384615385,16.923076923076923,0.4615384615384615,2.5,48.0
mike-davis-rb,25,3,15,2.2666666666666666,2.8,14.266666666666667,4.34,6.666666666666667,0.0666666666666666,7.466666666666667,34.266666666666666,4.16,11.4,0.2666666666666666,9.4,1000.0
latavius-murray,28,4,16,1.375,1.625,8.8125,3.70625,4.625,0.0,8.75,36.125,3.54375,12.3125,0.375,4.9,106.0
