name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
davante-adams,27,6,14,8.214285714285714,2.9075903481496597,10.642857142857142,3.4144052579191775,98.14285714285714,51.32648598204738,11.57142857142857,3.377959775500288,29.071428571428573,14.713765594136115,1.2857142857142858,0.9583148474999098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,9.0,5.0,3.2,9.1,33.47,5.3,5.2,0.1,0
tyreek-hill,26,4,15,5.8,2.8798148088606905,9.0,4.049691346263317,85.06666666666666,54.578954022793646,15.366666666666669,6.512824954571472,31.133333333333333,16.942517194587374,1.0,0.816496580927726,0.8666666666666667,0.8844332774281065,8.2,11.373653766490344,6.766666666666667,10.29703301387778,8.0,10.73312629199899,0.13333333333333333,0.33993463423951903,21.3,8.0,5.6,3.4,13.2,35.59,5.2,4.2,1.0,1
stefon-diggs,26,5,16,7.9375,1.9515618744994994,10.375,2.6190408549696205,95.9375,36.361842551636464,12.1,3.785168424258028,27.9375,14.566523049444573,0.5,0.7905694150420949,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0,0.0,3.4,13.0,5.5,3.0,10.2,33.51,3.7,3.5,0.1,0
calvin-ridley,25,1,15,6.0,2.422120283277993,9.533333333333333,2.777688887466621,91.6,42.877810889394375,14.613333333333335,6.296016377219982,29.133333333333333,15.53433473166957,0.6,0.7118052168020874,0.3333333333333333,0.47140452079103173,0.06666666666666667,3.641733408999377,0.06666666666666667,3.641733408999377,0.06666666666666667,3.641733408999377,0.0,0.0,22.8,18.0,6.1,2.9,14.9,38.89,3.1,3.0,0.0,0
deandre-hopkins,28,7,16,7.1875,2.9201615965559165,10.0,2.958039891549808,87.9375,45.54595035510841,13.25,7.523961722390672,28.8125,14.612574850107698,0.375,0.4841229182759271,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0,0.0,27.8,19.0,6.3,3.1,9.0,33.21,4.7,3.6,1.0,0
justin-jefferson,21,0,16,5.5,2.5248762345905194,7.8125,3.4680460997512705,87.5,47.838269199459965,15.9625,6.127384739838033,31.4375,16.06225680749751,0.4375,0.7043392293490403,0.0625,0.24206145913796356,0.125,0.4841229182759271,0.125,0.4841229182759271,0.125,0.4841229182759271,0.0,0.0,24.2,22.0,5.8,2.6,11.5,35.64,5.3,3.4,1.9,2
dk-metcalf,22,1,16,5.1875,2.6272311946229627,8.0625,2.860698122836452,81.4375,44.43811532626018,15.950000000000001,6.09887284668241,32.125,15.446985951958395,0.625,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,20.0,5.4,2.6,13.6,37.99,4.7,3.2,1.6,2
adam-thielen,29,6,15,4.933333333333334,2.4890872936792627,7.2,2.9709706606876254,61.666666666666664,34.576806613039835,12.466666666666667,3.748896133826893,23.333333333333332,11.886500279261716,0.9333333333333333,0.7717224601860151,0.2,0.4000000000000001,1.0,2.2211108331943574,1.0,2.2211108331943574,1.0,2.2211108331943574,0.0,0.0,20.9,56.0,6.2,2.7,12.1,32.51,3.2,2.9,0.3,0
tyler-lockett,27,5,16,6.25,3.4550687402713134,8.25,4.16082924427331,65.875,41.007430729076404,10.8875,3.0550930836882855,23.1875,10.88702639612856,0.625,1.0532687216470449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,47.0,6.2,3.4,10.0,28.61,3.5,4.0,-0.6,0
mike-evans,26,6,16,4.375,2.394655507583502,6.8125,3.0045538354304786,62.875,45.87329697111382,13.04375,5.471970480320595,23.375,13.355125420601635,0.8125,0.7261843774138906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,36.0,5.2,2.8,12.8,24.84,3.8,3.6,0.2,0
