name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
devante-parker,26,4,16,4.5,2.0,8.0,3.181980515339464,75.125,41.46214387848269,15.493749999999999,5.929636239897015,27.875,14.831870246196196,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,5.0,2.1,13.8,33.12,4.2,3.5,0.7,0
jarvis-landry,26,5,16,5.1875,2.242173889331512,8.625,2.341874249399399,73.375,37.32772930409778,15.35625,7.971901337667194,30.0625,13.329800964380526,0.375,0.5994789404140899,0.0625,0.24206145913796356,0.625,2.4206145913796355,0.625,2.4206145913796355,0.625,2.4206145913796355,0.0,0.0,25.6,5.7,2.6,9.8,29.61,5.5,3.9,1.7,0
tyler-lockett,26,4,16,5.125,3.6721077053920954,6.875,4.313858481684349,66.0625,43.89685175214733,15.006250000000001,10.566129184214056,24.75,12.285662375305614,0.5,0.6123724356957945,0.25,0.4330127018922193,-0.3125,2.3642850399222173,-0.3125,2.3642850399222173,-0.3125,2.3642850399222173,0.0,0.0,21.3,6.3,3.2,12.8,30.09,4.0,4.7,-0.7,0
robert-woods,27,6,15,6.0,3.5777087639996634,9.266666666666667,4.296768811819205,75.6,48.19654206130007,12.020000000000001,4.702793496068764,24.733333333333334,12.129669776580437,0.13333333333333333,0.33993463423951903,1.1333333333333333,1.14697670227235,7.666666666666667,8.427468316298924,4.533333333333333,4.62048578494609,6.466666666666667,6.591577116964413,0.06666666666666667,0.24944382578492946,22.0,7.3,3.4,8.1,23.69,6.7,5.6,1.1,1
mike-evans,25,5,13,5.153846153846154,3.570092734114552,9.076923076923077,4.632021297638337,89.0,60.05638376367021,18.74615384615385,13.480904750772789,32.61538461538461,19.10512803306388,0.6153846153846154,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,5.3,2.4,15.3,28.24,4.3,4.0,0.3,0
dj-moore-wr,22,1,15,5.8,2.4819347291981715,9.0,3.7416573867739413,78.33333333333333,32.46262808557284,15.280000000000001,10.85266173188249,28.133333333333333,15.383396532914599,0.26666666666666666,0.573488351136175,0.4,0.48989794855663565,2.6666666666666665,5.028805910838962,2.6666666666666665,5.028805910838962,2.6666666666666665,5.028805910838962,0.0,0.0,21.3,5.3,2.6,11.1,30.19,4.8,4.0,0.8,0
dj-chark,22,1,15,4.866666666666666,2.1561282171728307,7.866666666666666,3.0302181806302695,67.2,40.58604029302029,14.533333333333333,7.684674503335988,27.666666666666668,13.646326326972481,0.5333333333333333,0.7180219742846006,0.13333333333333333,0.3399346342395189,1.3333333333333333,4.988876515698588,1.3333333333333333,4.988876515698588,1.3333333333333333,4.988876515698588,0.0,0.0,20.0,6.5,2.8,11.9,32.7,4.4,3.8,0.6,0
tyler-boyd,24,3,16,5.625,2.496873044429772,9.25,3.2307119958300214,65.375,37.06898130512896,10.712499999999999,4.418833980814396,23.1875,13.10638560969423,0.3125,0.582961190818051,0.25,0.4330127018922193,1.4375,2.8932842497756766,1.4375,2.8932842497756766,1.4375,2.8932842497756766,0.0,0.0,23.9,5.5,2.6,9.2,28.46,4.2,3.8,0.4,0
courtland-sutton,23,1,16,4.5,1.3228756555322954,7.75,1.3919410907075054,69.5,26.236901493888336,16.400000000000002,5.89554916865257,32.3125,14.986321888642323,0.375,0.6959705453537527,0.1875,0.5266343608235224,1.0625,2.860698122836452,0.75,2.0155644370746373,1.0,2.669269563007828,0.0,0.0,24.8,5.1,2.5,11.8,43.44,5.2,3.7,1.5,0
john-brown,29,5,15,4.8,2.039607805437114,7.666666666666667,2.9589788028229527,70.66666666666667,30.7195196721708,16.7,10.239205698360266,27.933333333333334,10.554409294487094,0.4,0.6110100926607788,0.13333333333333333,0.33993463423951903,0.4666666666666667,1.2036980056845192,0.4666666666666667,1.2036980056845192,0.4666666666666667,1.2036980056845192,0.0,0.0,22.4,4.6,2.4,14.2,36.14,3.1,3.0,0.1,0
aj-brown,22,0,16,3.25,1.8540496217739157,5.25,2.7271780286589284,65.6875,47.40216074980127,19.63125,10.58570490980643,33.8125,24.734133171591036,0.5,0.7071067811865476,0.1875,0.3903123748998999,3.75,12.116620816052635,3.75,12.116620816052635,3.75,12.116620816052635,0.0625,0.24206145913796356,18.8,5.0,2.2,13.4,29.8,8.8,4.1,4.7,1
michael-gallup,23,1,14,4.714285714285714,2.084931359903775,8.071428571428571,3.058110661229664,79.07142857142857,42.40361218729617,15.957142857142857,4.421815122728656,29.0,14.803474495633015,0.42857142857142855,0.8206518066482897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,5.6,2.2,12.6,26.07,5.4,3.8,1.5,0
davante-adams,26,5,12,6.916666666666667,2.4650332429581736,10.583333333333334,3.3778280332518738,83.08333333333333,42.01082863051171,11.908333333333333,3.8482589858561003,26.333333333333332,13.870432181042121,0.4166666666666667,0.6400954789890506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,5.6,3.2,10.0,26.29,5.0,4.3,0.7,0
stefon-diggs,25,4,15,4.2,2.1039645117412666,6.266666666666667,2.322833518691246,75.33333333333333,49.279700576290935,18.093333333333337,10.255435415210586,34.666666666666664,18.660713336371206,0.4,0.8,0.3333333333333333,0.5962847939999438,4.066666666666666,8.020529215013738,3.466666666666667,7.255955408413759,3.533333333333333,7.310874700669469,0.0,0.0,20.2,4.6,2.5,14.9,40.01,5.1,4.2,0.9,0
odell-beckham,26,4,16,4.625,1.79843682124227,8.3125,2.4677608777999542,64.6875,33.41915384551201,14.3875,5.669752529872887,30.5,17.574839970821927,0.25,0.4330127018922193,0.1875,0.5266343608235224,0.625,3.9031237489989987,0.15625,2.2480460265528373,0.375,2.9973947020704497,0.0,0.0,24.7,5.5,2.6,13.3,38.59,4.6,3.8,0.8,0
jamison-crowder,26,4,16,4.875,3.0388114452858046,7.625,3.276335605520289,52.0625,31.746001224563702,10.5125,3.929197596202054,20.0625,8.982404675252614,0.375,0.5994789404140899,0.0625,0.24206145913796356,0.25,0.9682458365518543,0.25,0.9682458365518543,0.25,0.9682458365518543,0.0,0.0,23.4,6.0,3.0,7.9,24.13,4.7,3.9,0.8,0
calvin-ridley,24,0,13,4.846153846153846,2.0697883149344167,7.153846153846154,3.034320449740926,66.61538461538461,36.00756002144862,12.953846153846152,3.746509223390054,21.923076923076923,8.137865326423505,0.5384615384615384,0.49851851526214314,0.15384615384615385,0.36080121229410994,2.6153846153846154,6.18358200321889,2.6153846153846154,6.18358200321889,2.6153846153846154,6.18358200321889,0.0,0.0,13.6,7.4,2.9,13.5,23.32,2.3,2.6,-0.2,2
marvin-jones,29,6,13,4.769230769230769,2.1178307535286467,7.0,2.7174648819470297,59.92307692307692,31.219967817609042,12.738461538461538,4.9493649105467545,22.53846153846154,9.810633043288245,0.6923076923076923,1.1357556200179537,0.15384615384615385,0.36080121229410994,0.0,1.5689290811054724,0.0,1.5689290811054724,0.0,1.5689290811054724,0.0,0.0,16.1,6.5,2.1,13.2,22.17,2.2,2.3,-0.1,0
terry-mclaurin,23,0,14,4.142857142857143,1.505093393264677,6.642857142857143,2.4085307571553383,65.64285714285714,35.21486525167855,15.407142857142858,6.565871097219784,29.785714285714285,19.29166574837276,0.5,0.6267831705280087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,5.2,2.1,14.1,37.26,3.9,2.6,1.3,0
emmanuel-sanders,32,8,17,3.8823529411764706,2.564058202082749,5.705882352941177,2.965779450813066,51.11764705882353,44.05328638731157,11.705882352941178,6.053629984245747,22.705882352941178,19.359644825018485,0.29411764705882354,0.4556450995538137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,5.1,2.5,10.8,34.1,3.9,4.0,-0.1,0
deebo-samuel,23,0,15,3.8,2.0720360357226735,5.4,2.6280537792569363,53.46666666666667,38.03308501233572,14.106666666666666,7.378659920488423,23.266666666666666,10.617386160863177,0.2,0.4000000000000001,0.9333333333333333,0.9977753031397177,10.6,13.245376551838758,5.953333333333333,7.242731222098163,8.933333333333334,11.298770827936206,0.2,0.4,16.9,5.8,3.2,7.8,20.83,8.5,7.1,1.4,1
tyreek-hill,25,3,12,4.833333333333333,2.5440562537456244,7.416666666666667,4.310033513661917,71.66666666666667,41.61997383735629,13.616666666666667,6.204142881082679,29.75,16.912150464483613,0.5833333333333334,0.7592027982620249,0.6666666666666666,0.6236095644623235,1.9166666666666667,3.1743328257901515,1.5833333333333333,2.691292543659191,1.6666666666666667,2.778888666755511,0.0,0.0,15.5,5.9,3.2,12.6,23.86,4.9,4.2,0.7,0
dk-metcalf,21,0,16,3.625,1.899835519196333,6.25,2.680951323690902,56.25,31.659319323068207,14.99375,7.805564421456017,27.3125,15.344863757948456,0.4375,0.6091746465505602,0.125,0.33071891388307384,0.6875,1.8946882989030147,0.6875,1.8946882989030147,0.6875,1.8946882989030147,0.0,0.0,19.3,4.9,2.5,13.4,28.51,5.0,3.4,1.6,3
cole-beasley,30,7,15,4.466666666666667,1.9275776393067947,7.066666666666666,2.9769484749021475,51.86666666666667,32.608519677463974,11.046666666666669,5.025649764513595,18.866666666666667,11.937987919057194,0.4,0.48989794855663565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,6.1,3.2,7.6,17.92,5.3,4.8,0.5,4
larry-fitzgerald,35,13,16,4.6875,1.8614090764794289,6.8125,2.5054627816034305,50.25,27.9564393297859,10.4875,3.7205300361642024,21.0625,11.99202208762142,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,6.2,3.0,7.5,21.62,5.1,4.5,0.6,4
curtis-samuel,22,2,16,3.375,1.165922381636102,6.5625,2.423033996872516,39.1875,22.694213882617746,11.306249999999999,4.556378599008208,18.4375,10.19784750572394,0.375,0.4841229182759271,1.1875,1.3792547806696194,8.125,11.650509645504783,3.5625,4.274323776926591,4.5625,5.522326842011436,0.0625,0.24206145913796356,16.7,5.8,2.6,14.5,30.58,2.9,3.0,0.0,1
darius-slayton,22,0,14,3.4285714285714284,2.3819045715047236,6.0,3.5050983275386565,52.857142857142854,41.58443586394372,14.285714285714288,8.320444454376661,24.285714285714285,15.475457858117393,0.5714285714285714,0.82065180664829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,4.8,2.2,14.5,25.01,4.0,3.2,0.8,3
christian-kirk,22,1,13,5.230769230769231,2.6356679536941257,8.307692307692308,2.5835162498071793,54.53846153846154,38.90346115631395,9.315384615384614,5.697212024496807,19.076923076923077,16.922727269115107,0.23076923076923078,0.7994080650317895,0.7692307692307693,0.5756395979652217,7.153846153846154,8.12258156997803,6.8076923076923075,8.132410139347142,7.076923076923077,8.109458280888278,0.0,0.0,19.3,6.0,3.5,9.5,27.13,4.4,4.5,-0.1,2
diontae-johnson,23,0,16,3.6875,1.9911915402592488,5.75,1.9525624189766635,42.5,26.196373794859472,11.362499999999999,4.191341521517901,21.5,12.509996003196804,0.3125,0.46351240544347894,0.25,0.4330127018922193,2.5625,5.476868973236442,2.5625,5.476868973236442,2.5625,5.476868973236442,0.0,0.0,18.0,6.1,3.6,9.0,21.87,5.1,4.6,0.4,2
robby-anderson,26,3,16,3.25,1.8874586088176875,6.0,2.345207879911715,48.6875,39.80376670303955,13.63125,5.8722566733326635,24.1875,20.77925272357021,0.3125,0.46351240544347894,0.0625,0.24206145913796356,0.25,0.9682458365518543,0.25,0.9682458365518543,0.25,0.9682458365518543,0.0,0.0,18.4,4.3,2.2,15.3,36.73,3.8,3.5,0.3,3
mike-williams-wr,24,2,15,3.2666666666666666,1.2364824660660938,6.0,2.804757862395017,66.73333333333333,23.735954911390348,21.993333333333336,8.36552183402539,34.6,13.821722034536796,0.13333333333333333,0.33993463423951903,0.06666666666666667,0.24944382578492946,0.13333333333333333,0.4988876515698589,0.13333333333333333,0.4988876515698589,0.13333333333333333,0.4988876515698589,0.0,0.0,15.1,5.2,2.0,17.4,31.76,4.8,3.4,1.3,3
dede-westbrook,25,1,15,4.4,2.274496281230931,6.733333333333333,2.462158041682585,44.0,30.43901005836644,8.706666666666667,4.991655258751572,18.6,11.842297074469968,0.2,0.4,0.3333333333333333,0.5962847939999438,1.8,3.7982452088650978,1.3333333333333333,2.4675674031095665,1.4,2.6280537792569363,0.0,0.0,17.1,6.2,3.2,7.0,16.38,4.9,4.8,0.1,2
chris-conley,26,4,16,2.9375,1.71277370075559,5.625,1.964529205687714,48.4375,29.18683082744682,16.14375,7.507410401563245,24.625,16.15114160051852,0.3125,0.582961190818051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,5.0,2.3,14.3,29.96,5.4,3.9,1.5,3
randall-cobb,28,8,15,3.6666666666666665,1.4907119849998596,5.533333333333333,1.7838784213679537,55.2,31.759932829483965,14.686666666666666,7.434591821717959,25.066666666666666,14.924104291008184,0.2,0.4000000000000001,0.2,0.5416025603090641,0.7333333333333333,2.7438820836342237,0.36666666666666664,1.3719410418171119,0.4666666666666667,1.7461067804945059,0.0,0.0,13.9,6.2,3.0,9.5,14.48,6.2,4.9,1.3,3
golden-tate,30,7,11,4.454545454545454,2.147456692912312,7.7272727272727275,2.259964162664737,61.45454545454545,31.758645598449785,16.236363636363635,12.046596858356661,29.272727272727273,19.31598918037927,0.5454545454545454,0.6555547773570889,0.09090909090909091,0.2874797872880344,1.4545454545454546,4.599676596608551,1.4545454545454546,4.599676596608551,1.4545454545454546,4.599676596608551,0.0,0.0,14.0,5.7,2.2,9.5,16.59,6.1,3.6,2.5,3
marquise-brown,22,0,14,3.2857142857142856,1.749635530559413,5.071428571428571,2.9632097875273633,41.714285714285715,39.00627892940273,11.85,9.520635482991668,23.571428571428573,21.32307363837951,0.5,0.7319250547113999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,6.4,3.0,10.9,21.07,5.4,4.8,0.6,3
sterling-shepard,26,3,10,5.7,1.6155494421403513,8.3,1.6155494421403513,57.6,29.98399573105626,9.809999999999999,3.3806656149344323,18.4,8.380930735902785,0.3,0.45825756949558394,0.6,0.66332495807108,7.2,10.017983829094554,6.15,9.016789894413645,7.0,9.757048734120374,0.0,0.0,13.7,5.7,3.1,9.9,16.91,3.3,3.2,0.1,2
danny-amendola,33,9,15,4.133333333333334,2.4997777679003566,6.466666666666667,3.792390040887438,45.2,35.81284685695903,9.32,3.5517507420050376,19.133333333333333,13.583650303050192,0.06666666666666667,0.24944382578492946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,6.3,3.0,8.9,15.92,3.6,3.9,-0.2,4
sammy-watkins,26,5,14,3.7142857142857144,2.5475077857324298,6.428571428571429,3.619674131234265,48.07142857142857,46.44884172892995,10.757142857142856,5.933165173799886,20.857142857142858,16.66414946977554,0.21428571428571427,0.7726181304565691,0.14285714285714285,0.5150787536377127,0.8571428571428571,3.0904725218262765,0.42857142857142855,1.5452362609131383,0.7857142857142857,2.83293314500742,0.0,0.0,15.6,5.3,2.9,9.6,18.51,5.9,5.3,0.5,3
breshad-perriman,25,3,14,2.5714285714285716,2.1946130708196026,4.928571428571429,2.8899897605919875,46.07142857142857,45.045158746868815,14.192857142857145,12.092468983729045,18.928571428571427,14.796062631246027,0.42857142857142855,0.82065180664829,0.14285714285714285,0.34992710611188266,1.1428571428571428,3.3775972621533965,1.1428571428571428,3.3775972621533965,1.1428571428571428,3.3775972621533965,0.0,0.0,11.1,5.9,2.6,16.1,17.38,4.2,4.7,-0.5,3
zach-pascal,24,2,16,2.5625,2.207055447876197,4.5,3.0413812651491097,37.9375,37.47577342430707,10.64375,7.152793925278429,16.875,12.628712325490671,0.3125,0.582961190818051,0.125,0.33071891388307384,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,14.0,5.7,2.8,11.5,21.12,5.9,5.3,0.6,3
james-washington,23,1,15,2.933333333333333,1.730767331432956,5.333333333333333,2.328566559543064,49.0,33.9627246649421,14.966666666666669,9.149037593588131,26.0,20.159365069366643,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,6.2,2.5,15.6,33.03,4.8,3.5,1.3,3
anthony-miller,24,0,16,3.25,2.883140648667699,5.3125,4.5376033046091635,41.0,42.53968735193055,9.318750000000001,6.293669314279231,16.1875,12.938405765394746,0.125,0.33071891388307384,0.0625,0.24206145913796356,-0.0625,0.24206145913796356,-0.0625,0.24206145913796356,-0.0625,0.24206145913796356,0.0,0.0,14.7,5.7,3.1,10.3,19.78,4.4,4.5,-0.1,4
ty-hilton,29,7,10,4.5,2.0124611797498106,6.8,2.638181191654584,50.1,22.611722623453524,12.34,6.873601675977449,20.1,8.93812060782355,0.5,0.6708203932499369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,6.1,3.0,10.2,17.61,4.8,3.9,0.9,4
mohamed-sanu,29,6,15,3.933333333333333,2.594010194445829,5.933333333333334,3.2550814975289875,34.666666666666664,27.615615550304547,8.306666666666667,3.4539767740324416,13.4,7.246148402197313,0.13333333333333333,0.339934634239519,0.2,0.4000000000000001,0.7333333333333333,2.0154955277107964,0.7333333333333333,2.0154955277107964,0.7333333333333333,2.0154955277107964,0.0,0.0,14.4,5.2,3.1,7.6,15.2,3.3,3.6,-0.4,4
alshon-jeffery,29,5,10,4.3,3.1953090617340916,7.3,4.360045871318328,49.0,37.30951621235526,9.8,5.995164718337604,17.9,11.810588469674151,0.4,0.48989794855663565,0.1,0.30000000000000004,0.2,0.6000000000000001,0.2,0.6000000000000001,0.2,0.6000000000000001,0.1,0.30000000000000004,11.9,4.8,2.5,11.2,16.78,3.1,3.4,-0.3,4
kenny-stills,27,5,13,3.076923076923077,1.071414482860317,4.230769230769231,2.043896962397911,43.15384615384615,28.199416671124887,13.261538461538462,6.554216313129278,22.46153846153846,12.652852427662825,0.3076923076923077,0.6056929133855239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,6.2,2.7,10.7,12.93,3.7,4.5,-0.8,4
brandin-cooks,25,5,14,3.0,2.104417123236605,5.142857142857143,2.97266457809783,41.642857142857146,29.01626918732008,13.02857142857143,7.7937180354646225,20.714285714285715,13.413365250634861,0.14285714285714285,0.3499271061118826,0.42857142857142855,0.6226998490772391,3.7142857142857144,7.563337995399457,3.2142857142857144,7.082963175602338,3.357142857142857,7.177416396061258,0.0,0.0,11.4,6.2,3.1,13.8,20.97,4.1,3.6,0.4,2
adam-thielen,28,5,10,3.0,2.280350850198276,4.8,2.4819347291981715,41.8,38.164905345094205,11.27,8.034058750096367,19.6,14.065560778013793,0.6,0.66332495807108,0.4,0.4898979485566356,0.6,1.0198039027185568,0.6,1.0198039027185568,0.6,1.0198039027185568,0.1,0.30000000000000004,10.3,6.4,3.0,12.7,17.42,4.2,3.7,0.5,3
juju-smith-schuster,22,2,12,3.5,1.7559422921421233,5.833333333333333,1.8633899812498247,46.0,34.11988667429402,12.050000000000002,6.677636807534035,25.416666666666668,19.045814646676458,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,4.9,2.4,9.6,17.74,6.0,4.3,1.7,3
steven-sims,22,0,16,2.125,1.964529205687714,3.5,3.517811819867572,19.375,24.88442032678278,5.4875,5.473558600216133,11.9375,16.122456194699367,0.25,0.5590169943749475,0.5625,0.8637671850678283,5.3125,16.1001504263159,4.3625,15.82292146697316,5.125,16.011226530156893,0.0625,0.24206145913796356,11.7,6.7,3.2,7.3,11.66,5.0,4.4,0.6,1
allen-lazard,23,1,16,2.1875,1.775484088917724,3.25,2.7950849718747373,29.8125,29.789299148351912,9.15625,8.778451511371467,14.4375,13.009461701008233,0.1875,0.3903123748998999,0.0625,0.24206145913796356,1.3125,5.083290641897235,1.3125,5.083290641897235,1.3125,5.083290641897235,0.0,0.0,9.1,6.4,2.9,13.8,14.81,4.1,4.3,-0.2,4
auden-tate,22,0,13,3.076923076923077,1.7742403991801223,6.153846153846154,3.4606836551390745,44.23076923076923,29.610688938427018,12.561538461538463,5.350131337214423,18.846153846153847,9.59844661988558,0.07692307692307693,0.26646935501059654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.8,2.3,11.7,19.67,4.0,2.9,1.1,4
demarcus-robinson,24,3,16,2.0,1.6583123951777,3.4375,2.235194342780958,28.0625,40.70237823211317,9.61875,8.165186674994025,12.5625,11.291416817654019,0.25,0.5590169943749475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,5.4,3.1,13.4,15.66,3.4,3.5,-0.1,4
phillip-dorsett,26,3,14,2.0714285714285716,1.7098156005122604,3.857142857142857,2.614715031103304,28.357142857142858,26.919475538451824,11.085714285714285,12.748829478082467,17.571428571428573,18.196209517817895,0.35714285714285715,0.6102859818083951,0.21428571428571427,0.5578749768504754,1.5,3.7177181941923156,1.0714285714285714,2.684992304173214,1.1428571428571428,2.824817133326456,0.0,0.0,8.7,5.3,2.9,13.9,16.96,3.2,4.0,-0.9,3
russell-gage,23,1,16,3.0625,2.680222705298946,4.625,3.8058343369095824,27.875,24.39998719261959,7.962499999999999,4.690798839217048,11.0,6.164414002968976,0.0625,0.24206145913796356,0.25,0.5590169943749475,0.75,2.1937410968480306,0.53125,1.6720940277089682,0.5625,1.7309228030157786,0.0,0.0,10.8,5.8,3.2,7.1,9.73,3.5,3.3,0.2,4
kendrick-bourne,23,2,16,1.875,1.165922381636102,2.75,1.9525624189766635,22.375,17.18602266378117,11.08125,5.700243278799599,13.8125,7.9704042400621065,0.3125,0.582961190818051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,5.9,2.9,8.7,12.54,4.1,3.3,0.8,4
alex-erickson,26,3,16,2.6875,2.39057393736316,4.875,3.4977671449083054,33.0625,36.850150525472756,9.89375,6.230215561078124,16.625,14.857132125682938,0.0,0.0,0.3125,0.582961190818051,2.0625,5.116990692780279,2.125,5.072905971925756,2.75,5.261891294962297,0.0,0.0,12.7,6.6,2.7,8.8,14.41,5.6,4.0,1.6,2
willie-snead,26,4,16,1.9375,1.0879309490955758,2.875,1.4947825928876748,21.1875,17.913747339683006,9.756250000000001,7.595884473680468,13.75,12.567318727556806,0.3125,0.582961190818051,0.125,0.33071891388307384,0.125,0.4841229182759271,0.125,0.4841229182759271,0.125,0.4841229182759271,0.0,0.0,10.2,5.5,3.0,8.5,10.72,4.7,2.6,2.1,4
