name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP
travis-kelce,29,6,16,6.0625,8.5,76.8125,13.425,23.5,0.3125,0.0625,0.25,0.25,0.25,0.0625,23.6,20.0
george-kittle,25,2,14,6.071428571428571,7.642857142857143,75.21428571428571,12.764285714285716,28.928571428571427,0.3571428571428571,0.3571428571428571,1.5714285714285714,1.5714285714285714,1.7142857142857142,0.0,22.4,23.0
zach-ertz,28,6,15,5.866666666666666,9.0,61.06666666666667,11.046666666666663,20.2,0.4,0.0,0.0,0.0,0.0,0.0,22.0,38.0
mark-andrews,23,1,15,4.266666666666667,6.533333333333333,56.8,13.67333333333333,27.6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,22.3,36.0
austin-hooper,24,3,13,5.769230769230769,7.461538461538462,60.53846153846154,10.292307692307691,19.923076923076923,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,14.2,136.0
jared-cook,32,9,14,3.071428571428572,4.642857142857143,50.35714285714285,16.90714285714286,25.428571428571427,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,11.2,86.0
tyler-higbee,26,3,15,4.6,5.933333333333334,48.93333333333333,9.36,15.2,0.2,0.0,0.0,0.0,0.0,0.0,14.1,74.0
hunter-henry,24,3,12,4.583333333333333,6.333333333333333,54.333333333333336,11.908333333333331,19.08333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,12.7,91.0
dallas-goedert,24,1,15,3.866666666666666,5.8,40.46666666666667,9.98,17.133333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14.2,178.0
jason-witten,37,13,16,3.9375,5.1875,33.0625,8.4375,13.25,0.25,0.0,0.0,0.0,0.0,0.0,13.9,238.0
mike-gesicki,23,1,16,3.1875,5.5625,35.625,9.78125,16.0625,0.3125,0.0,0.0,0.0,0.0,0.0,14.5,143.0
greg-olsen,34,10,14,3.7142857142857135,5.857142857142857,42.642857142857146,9.814285714285711,16.571428571428573,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,13.0,200.0
kyle-rudolph,29,8,16,2.4375,3.0,22.9375,7.806249999999999,11.375,0.375,0.0,0.0,0.0,0.0,0.0,10.3,193.0
jack-doyle,29,5,16,2.6875,4.5,28.0,9.88125,13.4375,0.25,0.0,0.0,0.0,0.0,0.0,14.0,166.0
noah-fant,21,0,16,2.5,4.125,35.125,12.81875,22.375,0.1875,0.1875,-0.75,-0.53125,-0.4375,0.0,13.1,108.0
evan-engram,24,2,8,5.5,8.5,58.375,10.225,26.75,0.375,0.375,0.875,0.5625,0.875,0.0,11.2,62.0
tyler-eifert,28,4,16,2.6875,3.9375,27.25,10.3125,14.75,0.1875,0.0,0.0,0.0,0.0,0.0,10.2,232.0
jonnu-smith,23,2,16,2.1875,2.75,27.4375,11.09375,16.0625,0.1875,0.25,4.875,4.875,4.875,0.0,9.8,185.0
jimmy-graham,32,8,16,2.375,3.75,27.9375,10.425,15.125,0.1875,0.0,0.0,0.0,0.0,0.0,10.5,203.0
ryan-griffin,29,6,13,2.6153846153846154,3.1538461538461537,24.615384615384617,6.423076923076923,10.846153846153848,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,7.9,385.0
ryan-griffin,29,6,13,2.6153846153846154,3.1538461538461537,24.615384615384617,6.423076923076923,10.846153846153848,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,7.9,385.0
ryan-griffin,29,6,13,2.6153846153846154,3.1538461538461537,24.615384615384617,6.423076923076923,10.846153846153848,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,7.9,418.0
ryan-griffin,29,6,13,2.6153846153846154,3.1538461538461537,24.615384615384617,6.423076923076923,10.846153846153848,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,7.9,418.0
jacob-hollister,25,2,11,3.727272727272727,5.363636363636363,31.727272727272727,7.854545454545454,13.545454545454543,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,11.4,308.0
cameron-brate,28,5,16,2.25,3.4375,19.4375,6.9375,9.4375,0.25,0.0,0.0,0.0,0.0,0.0,8.9,281.0
eric-ebron,26,4,11,2.8181818181818183,4.727272727272728,34.09090909090909,13.745454545454548,19.27272727272728,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,10.1,167.0
oj-howard,24,2,14,2.4285714285714284,3.7857142857142856,32.785714285714285,10.542857142857144,16.857142857142858,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,8.4,214.0
vance-mcdonald,29,4,14,2.7142857142857144,3.928571428571429,19.5,7.3,10.928571428571429,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,10.8,253.0
tj-hockenson,22,0,12,2.6666666666666665,4.916666666666667,30.58333333333333,9.933333333333334,13.25,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,10.3,125.0
irv-smith-jr,20,-1,16,2.25,2.9375,19.4375,6.831250000000001,11.25,0.125,0.0,0.0,0.0,0.0,0.0,10.1,211.0
hayden-hurst,25,1,16,1.875,2.4375,21.8125,10.34375,15.25,0.125,0.0,0.0,0.0,0.0,0.0,8.9,115.0
kaden-smith,22,-1,9,3.4444444444444446,4.666666666666667,29.77777777777778,5.711111111111112,12.555555555555555,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.9,427.0
will-dissly,23,1,6,3.8333333333333335,4.5,43.66666666666666,10.116666666666667,17.666666666666668,0.6666666666666666,0.1666666666666666,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,5.2,231.0
josh-hill-te,29,4,16,1.5625,2.1875,14.125,6.04375,9.6875,0.1875,0.0,0.0,0.0,0.0,0.0,6.0,302.0
ricky-seals-jones,24,1,14,1.0,1.5714285714285714,16.357142857142858,8.407142857142857,13.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,4.1,307.0
jeremy-sprinkle,24,1,16,1.625,2.5,15.0625,9.1875,11.25,0.0625,0.0,0.0,0.0,0.0,0.0,8.4,347.0
delanie-walker,34,10,7,3.0,4.428571428571429,30.714285714285715,8.314285714285715,13.142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,6.9,318.0
demetrius-harris,27,4,15,1.0,1.8,9.933333333333334,6.12,6.933333333333334,0.2,0.0,0.0,0.0,0.0,0.0,5.0,352.0
maxx-williams,25,4,16,0.9375,1.1875,12.625,10.08125,11.25,0.0625,0.0,0.0,0.0,0.0,0.0,3.2,481.0
