name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
cooper-kupp,28,4,17,8.529411764705882,11.235294117647058,114.52941176470588,13.776470588235297,37.35294117647059,0.9411764705882352,0.2352941176470588,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0,31.5,3.0,6.5,3.6,8.4,31.32,6.2,4.8,1.3
davante-adams,28,7,16,7.6875,10.5625,97.0625,12.6,32.125,0.6875,0.0,0.0,0.0,0.0,0.0,28.5,11.0,5.3,2.9,9.1,35.27,5.4,4.8,0.6
deebo-samuel,25,2,16,4.8125,7.5625,87.8125,17.9375,40.4375,0.375,3.6875,22.8125,4.3875,11.375,0.5,23.5,14.0,6.7,3.3,8.7,26.61,10.4,5.2,5.2
justin-jefferson,22,1,17,6.352941176470588,9.823529411764708,95.05882352941175,15.076470588235296,31.41176470588235,0.5882352941176471,0.3529411764705882,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,27.6,6.0,5.7,3.0,12.3,45.27,4.7,4.0,0.8
jamarr-chase,21,0,17,4.764705882352941,7.529411764705882,85.58823529411765,16.394117647058827,35.94117647058823,0.7647058823529411,0.4117647058823529,1.2352941176470589,1.0,1.3529411764705883,0.0,23.1,7.0,5.0,2.3,12.7,37.38,8.3,3.9,4.4
tyreek-hill,27,5,17,6.529411764705882,9.352941176470589,72.88235294117646,10.258823529411766,23.529411764705884,0.5294117647058824,0.5294117647058824,5.647058823529412,5.647058823529412,5.647058823529412,0.0,23.6,16.0,6.1,3.6,10.4,35.5,4.1,3.8,0.3
stefon-diggs,27,6,17,6.0588235294117645,9.647058823529411,72.05882352941177,12.723529411764709,25.823529411764707,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,25.2,13.0,5.1,2.7,11.6,35.43,3.3,3.0,0.2
diontae-johnson,25,2,16,6.6875,10.5625,72.5625,12.0625,28.4375,0.5,0.3125,3.3125,2.96875,3.3125,0.0,25.5,43.0,4.6,3.2,8.4,32.44,5.1,5.1,0.0
mike-evans,27,7,16,4.625,7.125,64.6875,14.65,27.4375,0.875,0.0625,0.625,0.625,0.625,0.0,15.6,27.0,4.9,2.7,13.1,26.22,3.6,3.6,-0.1
hunter-renfrow,25,2,17,6.0588235294117645,7.529411764705882,61.05882352941177,10.117647058823527,21.0,0.5294117647058824,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.0,20.4,72.0,6.6,3.4,6.5,17.23,4.6,4.6,0.0
keenan-allen,29,8,16,6.625,9.8125,71.125,11.1625,22.75,0.375,0.0,0.0,0.0,0.0,0.0,23.3,24.0,6.0,3.1,8.5,26.64,3.4,3.8,-0.4
mike-williams-wr,26,4,16,4.75,8.0625,71.625,15.28125,33.125,0.5625,0.0,0.0,0.0,0.0,0.0,19.1,39.0,5.3,2.5,11.6,29.63,5.9,4.4,1.4
jaylen-waddle,22,0,16,6.5,8.75,63.4375,10.63125,23.125,0.375,0.125,0.1875,0.1875,0.1875,0.0625,22.9,44.0,6.5,3.3,6.8,21.99,4.6,4.2,0.3
dk-metcalf,23,2,17,4.411764705882353,7.588235294117647,56.88235294117647,14.470588235294118,26.0,0.7058823529411765,0.0588235294117647,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.0,26.1,46.0,6.3,2.6,12.7,36.71,4.6,2.9,1.6
chris-godwin,25,4,14,7.0,9.071428571428571,78.78571428571429,11.492857142857142,23.928571428571427,0.3571428571428571,0.2857142857142857,1.5,1.5,1.5,0.0714285714285714,17.5,59.0,6.3,3.3,7.3,16.17,6.3,5.4,0.9
tyler-lockett,28,6,16,4.5625,6.6875,73.4375,15.9875,32.6875,0.5,0.125,0.5625,0.5625,0.5625,0.0,21.6,90.0,7.0,3.2,14.9,35.58,4.2,3.9,0.2
michael-pittman,23,1,17,5.176470588235294,7.588235294117647,63.64705882352941,12.576470588235294,24.294117647058822,0.3529411764705882,0.2941176470588235,2.588235294117647,1.6176470588235294,2.117647058823529,0.0,24.8,31.0,6.3,2.8,9.7,31.24,4.1,3.8,0.3
dj-moore-wr,24,3,17,5.470588235294118,9.588235294117649,68.05882352941177,12.394117647058824,23.23529411764705,0.2352941176470588,0.4705882352941176,2.823529411764706,2.411764705882353,2.588235294117647,0.0,27.2,32.0,5.6,2.7,10.6,40.21,5.0,4.6,0.4
ceedee-lamb,22,1,16,4.9375,7.5,68.875,14.212500000000002,27.4375,0.375,0.5625,4.75,4.28125,4.4375,0.0,18.5,19.0,6.3,3.1,10.6,24.81,5.7,3.6,2.0
brandin-cooks,27,7,16,5.625,8.375,64.8125,11.4875,25.125,0.375,0.125,1.3125,1.3125,1.3125,0.0,24.5,49.0,6.4,3.3,10.6,36.72,3.9,3.6,0.3
amonra-stbrown,21,0,16,5.625,7.4375,57.0,9.575,19.875,0.3125,0.4375,3.8125,2.5,3.5625,0.0625,20.1,58.0,6.7,3.5,7.2,23.04,4.8,4.1,0.7
marquise-brown,24,2,16,5.6875,9.125,63.0,11.6,23.9375,0.375,0.0625,0.3125,0.3125,0.3125,0.0,23.7,53.0,7.7,3.5,11.5,31.93,4.3,4.6,-0.2
darnell-mooney,23,1,17,4.764705882352941,8.235294117647058,62.05882352941177,13.670588235294115,25.41176470588235,0.2352941176470588,0.3529411764705882,1.8823529411764703,1.8235294117647056,1.8823529411764703,0.0588235294117647,25.8,63.0,7.1,2.9,11.3,36.48,5.1,4.1,1.0
tee-higgins,22,1,14,5.285714285714286,7.857142857142857,77.92857142857143,14.62857142857143,26.071428571428573,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,19.8,30.0,6.0,2.3,12.1,30.52,4.0,2.9,1.1
terry-mclaurin,25,2,17,4.529411764705882,7.647058823529412,61.94117647058823,13.3,24.647058823529413,0.2941176470588235,0.0588235294117647,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.0,23.6,37.0,5.6,2.5,13.4,41.7,4.1,3.3,0.9
