name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
davante-adams,27,6,14,8.214285714285714,2.90759034814966,10.642857142857142,3.414405257919177,98.14285714285714,51.32648598204738,11.57142857142857,3.377959775500288,29.071428571428573,14.713765594136117,1.2857142857142858,0.9583148474999098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,5.0,5.0,3.2,9.1,33.47,5.3,5.2,0.1
tyreek-hill,26,4,15,5.8,2.8798148088606905,9.0,4.049691346263317,85.06666666666666,54.578954022793646,15.366666666666667,6.512824954571472,31.133333333333333,16.942517194587374,1.0,0.816496580927726,0.8666666666666667,0.8844332774281065,8.2,11.373653766490344,6.766666666666667,10.29703301387778,8.0,10.73312629199899,0.1333333333333333,0.339934634239519,21.3,9.0,5.6,3.4,13.2,35.59,5.2,4.2,1.0
stefon-diggs,26,5,16,7.9375,1.9515618744994996,10.375,2.6190408549696205,95.9375,36.361842551636464,12.1,3.785168424258028,27.9375,14.566523049444571,0.5,0.7905694150420949,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0,0.0,3.4,14.0,5.5,3.0,10.2,33.51,3.7,3.5,0.1
deandre-hopkins,28,7,16,7.1875,2.9201615965559165,10.0,2.958039891549808,87.9375,45.54595035510841,13.25,7.523961722390672,28.8125,14.612574850107698,0.375,0.4841229182759271,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0625,0.2420614591379635,0.0,0.0,27.8,17.0,6.3,3.1,9.0,33.21,4.7,3.6,1.0
calvin-ridley,25,1,15,6.0,2.422120283277993,9.533333333333331,2.777688887466621,91.6,42.877810889394375,14.613333333333337,6.296016377219982,29.133333333333333,15.53433473166957,0.6,0.7118052168020874,0.3333333333333333,0.4714045207910317,0.0666666666666666,3.641733408999377,0.0666666666666666,3.641733408999377,0.0666666666666666,3.641733408999377,0.0,0.0,22.8,20.0,6.1,2.9,14.9,38.89,3.1,3.0,0.0
justin-jefferson,21,0,16,5.5,2.52487623459052,7.8125,3.4680460997512705,87.5,47.838269199459965,15.9625,6.127384739838033,31.4375,16.06225680749751,0.4375,0.7043392293490403,0.0625,0.2420614591379635,0.125,0.4841229182759271,0.125,0.4841229182759271,0.125,0.4841229182759271,0.0,0.0,24.2,23.0,5.8,2.6,11.5,35.64,5.3,3.4,1.9
dk-metcalf,22,1,16,5.1875,2.6272311946229627,8.0625,2.860698122836452,81.4375,44.43811532626018,15.95,6.09887284668241,32.125,15.446985951958396,0.625,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,18.0,5.4,2.6,13.6,37.99,4.7,3.2,1.6
tyler-lockett,27,5,16,6.25,3.4550687402713134,8.25,4.16082924427331,65.875,41.0074307290764,10.8875,3.055093083688285,23.1875,10.88702639612856,0.625,1.0532687216470449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,42.0,6.2,3.4,10.0,28.61,3.5,4.0,-0.6
allen-robinson,26,6,16,6.375,2.446298223847616,9.4375,3.316035848720577,78.125,26.36729745347445,13.0,3.556332380416656,26.625,6.836254456937659,0.375,0.5994789404140899,0.0625,0.2420614591379635,-0.0625,0.2420614591379635,-0.0625,0.2420614591379635,-0.0625,0.2420614591379635,0.0,0.0,1.1,32.0,5.6,2.3,9.5,30.5,3.6,3.3,0.4
adam-thielen,29,6,15,4.933333333333334,2.4890872936792627,7.2,2.9709706606876254,61.66666666666666,34.576806613039835,12.466666666666669,3.748896133826893,23.33333333333333,11.886500279261716,0.9333333333333332,0.7717224601860151,0.2,0.4000000000000001,1.0,2.221110833194357,1.0,2.221110833194357,1.0,2.221110833194357,0.0,0.0,20.9,41.0,6.2,2.7,12.1,32.51,3.2,2.9,0.3
mike-evans,26,6,16,4.375,2.394655507583502,6.8125,3.0045538354304786,62.875,45.87329697111382,13.04375,5.471970480320595,23.375,13.355125420601636,0.8125,0.7261843774138906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,33.0,5.2,2.8,12.8,24.84,3.8,3.6,0.2
aj-brown,23,1,14,5.0,2.0,7.571428571428571,1.635074734608514,76.78571428571429,41.26426778604423,15.814285714285717,6.503719500942424,31.285714285714285,20.477962271073512,0.7857142857142857,0.5578749768504754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,22.0,5.4,2.4,11.3,30.6,6.2,3.6,2.6
robert-woods,28,7,16,5.625,2.446298223847616,8.0625,2.703441094235271,58.5,31.821769278278666,10.2375,3.691861827046077,22.75,11.765946625750091,0.375,0.4841229182759271,1.5,1.118033988749895,9.6875,12.199993596309795,6.0375,9.743130592884404,8.0625,10.726536894543363,0.125,0.3307189138830738,3.1,36.0,6.9,3.4,7.1,23.93,5.7,5.7,0.0
keenan-allen,28,7,14,7.142857142857143,4.120630029101703,10.5,4.640658820223082,70.85714285714286,40.15124467534714,10.80714285714286,2.949204320227573,19.642857142857142,5.419635502466179,0.5714285714285714,0.4948716593053935,0.0714285714285714,0.2575393768188564,-0.0714285714285714,0.2575393768188564,-0.0714285714285714,0.2575393768188564,-0.0714285714285714,0.2575393768188564,0.0,0.0,23.4,28.0,5.7,2.9,7.2,22.63,4.7,4.7,0.0
amari-cooper,26,5,16,5.75,2.839454172900137,8.125,3.461845606031557,69.625,37.09089342412771,12.11875,5.946660696348835,27.25,18.201991649267395,0.3125,0.4635124054434789,0.375,0.5994789404140899,0.875,3.789376597806029,1.09375,3.4105477474300225,1.5625,3.2590019561209225,0.0,0.0,20.3,38.0,6.6,2.5,9.1,25.38,4.6,3.7,0.9
juju-smith-schuster,23,3,16,6.0625,2.105610065990377,8.0,3.0,51.9375,27.4669545772734,8.212499999999999,3.26991494537702,19.25,7.51248960065836,0.5625,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,68.0,6.1,3.1,5.8,15.72,4.4,4.1,0.3
brandin-cooks,26,6,15,5.4,2.727636339397171,7.933333333333334,3.1510139461590594,76.66666666666667,47.564225585575926,13.566666666666666,7.045061311932559,26.73333333333333,15.89325503336417,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,77.0,6.7,3.0,12.0,30.35,4.3,3.7,0.6
marvin-jones,30,7,16,4.75,2.462214450449026,7.1875,3.3018697354680726,61.125,44.35351592602327,12.0125,4.529331490407829,20.8125,9.91349301457362,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,106.0,6.7,2.5,12.9,29.74,2.8,2.5,0.3
robby-anderson,27,4,16,5.9375,2.105610065990377,8.5,2.549509756796392,68.5,30.475399915341555,12.0,4.948232007495203,28.125,15.078440735036232,0.1875,0.3903123748998999,0.25,0.5590169943749475,0.9375,3.2106998847603307,0.53125,1.7272517006794348,0.8125,2.743600508455996,0.0,0.0,24.7,70.0,6.4,2.9,9.6,32.64,5.5,4.8,0.7
terry-mclaurin,24,1,15,5.8,2.166410241236256,8.933333333333334,2.322833518691246,74.53333333333333,33.816892557155846,12.699999999999998,3.920034013457877,28.866666666666667,15.615661653893788,0.2666666666666666,0.4422166387140533,0.1333333333333333,0.339934634239519,2.0,6.723094525588644,2.0,6.723094525588644,2.0,6.723094525588644,0.0,0.0,1.2,27.0,5.2,2.8,9.6,35.63,5.8,4.1,1.7
diontae-johnson,24,1,15,5.866666666666666,3.303869784897031,9.6,4.800000000000001,61.53333333333333,36.50911606099982,9.913333333333332,7.609280882945217,21.933333333333334,15.26419193916126,0.4666666666666667,0.618241233033047,0.2,0.4000000000000001,1.0,2.3944379994757297,1.0,2.3944379994757297,1.0,2.3944379994757297,0.0,0.0,2.0,53.0,5.4,3.2,8.1,24.43,4.6,4.3,0.3
