name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
tyreek-hill,24,2,16,5.4375,2.4486922530199666,8.5625,3.181366648156103,92.4375,50.5160478833212,17.39375,5.173667551891985,42.0625,17.746368466534218,0.75,0.9682458365518543,1.375,0.8569568250501305,9.4375,11.06779534279524,6.1125,6.818346115444712,8.5,9.266876496425319,0.0625,0.24206145913796356,24.0,20.0,5.9,3.1,14.8,38.43,6.4,4.8,1.5,0
deandre-hopkins,26,5,16,7.1875,2.5054627816034305,10.1875,2.788788939665388,98.25,40.48533685175412,13.65625,2.787240739064353,28.9375,11.648330084179449,0.6875,0.6817945071647321,0.0625,0.24206145913796356,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,0.0,0.0,28.7,5.0,4.9,2.5,11.9,44.04,3.7,3.6,0.0,1
davante-adams,25,4,15,7.4,2.0264912204760885,11.266666666666667,3.172100600898752,92.4,35.897632233895315,12.966666666666667,5.049312384429742,29.133333333333333,13.686327321657757,0.8666666666666667,0.6182412330330469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,8.0,4.8,3.0,11.3,33.97,4.6,4.2,0.5,1
antonio-brown,30,7,15,6.933333333333334,2.6195843605851334,11.2,3.9698866482558417,86.46666666666667,40.629819372256904,12.773333333333335,4.838934685329911,33.266666666666666,18.012834930188593,1.0,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,23.0,5.0,2.6,11.2,36.07,5.0,4.1,1.0,1
julio-jones,29,7,16,7.0625,2.4358969087381346,10.625,3.3330729064933458,104.8125,44.13221435357623,14.40625,3.4593114831567275,29.3125,12.45852494278516,0.5,0.6123724356957945,0.125,0.33071891388307384,0.75,2.6575364531836625,0.75,2.6575364531836625,0.75,2.6575364531836625,0.0,0.0,28.3,11.0,5.7,2.5,14.0,45.64,4.2,3.2,1.0,1
michael-thomas-wr,25,1,16,7.8125,3.626616019101002,9.1875,3.8603553916705646,87.8125,48.89301937649177,11.65625,4.6584558533381,26.75,15.465687828221544,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,12.0,4.6,2.7,7.7,30.27,4.1,3.2,0.8,1
adam-thielen,27,4,16,7.0625,3.151760420780742,9.5625,3.968134794837494,85.8125,39.24477473180347,12.20625,3.7797931077639686,27.6875,14.915255403445158,0.5625,0.49607837082461076,0.3125,0.46351240544347894,1.875,4.090767042988393,1.875,4.090767042988393,1.875,4.090767042988393,0.0,0.0,28.2,28.0,5.8,2.9,9.6,32.75,3.9,3.4,0.4,1
mike-evans,24,4,16,5.375,1.964529205687714,8.625,2.315032397181517,95.25,40.95042734819748,18.143749999999997,5.974630610966673,35.4375,16.75920922209637,0.5,0.6123724356957945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,5.7,2.1,15.7,32.78,3.8,3.0,0.7,1
juju-smith-schuster,21,1,16,6.9375,3.1118473211261506,10.375,3.887077951366553,89.125,42.97364744817456,13.41875,5.90383548530106,36.25,23.35727937924278,0.4375,0.6091746465505602,0.0625,0.24206145913796356,0.8125,3.1467989687935263,0.8125,3.1467989687935263,0.8125,3.1467989687935263,0.0,0.0,23.1,17.0,5.3,3.0,8.7,27.6,6.1,4.8,1.3,1
robert-woods,26,5,16,5.375,1.79843682124227,8.125,2.4717149916606487,76.1875,21.983569859101593,14.625,3.556244507904371,26.75,7.066647012551285,0.375,0.5994789404140899,1.1875,1.0135796712641785,9.8125,12.90938975126245,5.96875,7.296036488224274,9.0,13.425721582097552,0.0625,0.24206145913796356,23.5,37.0,6.4,3.0,11.3,29.86,5.3,4.8,0.5,2
stefon-diggs,24,3,15,6.8,3.3105890714493698,9.933333333333334,3.957552554574888,68.06666666666666,39.55328333049258,10.093333333333334,3.9878927880384256,26.0,16.729215960907034,0.6,0.6110100926607788,0.6666666666666666,0.6992058987801011,4.133333333333334,7.365384503804869,3.533333333333333,5.014866786754049,4.2,5.957628163399704,0.0,0.0,25.7,33.0,5.9,2.7,8.9,29.54,4.3,3.7,0.7,1
