name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP
austin-ekeler,27,5,17,6.294117647058823,7.470588235294118,42.47058823529412,7.064705882352941,14.529411764705882,0.2941176470588235,12.0,53.8235294117647,4.364705882352942,17.941176470588236,0.7647058823529411,17.9,5.3
christian-mccaffrey,26,5,17,5.0,6.352941176470588,43.588235294117645,8.74705882352941,20.058823529411764,0.2941176470588235,14.352941176470589,67.0,4.635294117647058,20.94117647058824,0.4705882352941176,21.1,2.7
josh-jacobs,24,3,17,3.117647058823529,3.764705882352941,23.529411764705884,7.788235294117648,13.176470588235292,0.0,20.0,97.23529411764706,4.723529411764705,22.23529411764705,0.7058823529411765,10.9,21.3
derrick-henry,28,6,16,2.0625,2.5625,24.875,9.675,18.0,0.0,21.8125,96.125,4.300000000000001,22.75,0.8125,9.0,21.3
nick-chubb,26,4,17,1.588235294117647,2.176470588235294,14.058823529411764,6.81764705882353,9.470588235294118,0.0588235294117647,17.764705882352942,89.70588235294117,5.076470588235295,23.94117647058824,0.7058823529411765,6.9,15.7
saquon-barkley,25,4,16,3.5625,4.75,21.125,6.03125,11.6875,0.0,18.4375,82.0,4.4375,22.75,0.625,14.6,10.7
tony-pollard,25,3,16,2.4375,3.4375,23.1875,6.83125,14.0,0.1875,12.0625,62.9375,5.025,22.75,0.5625,9.9,21.7
jamaal-williams,27,5,17,0.7058823529411765,0.9411764705882352,4.294117647058823,2.717647058823529,3.3529411764705883,0.0,15.411764705882351,62.70588235294117,3.911764705882353,18.058823529411764,1.0,2.7,108.7
aaron-jones,27,5,17,3.4705882352941178,4.235294117647059,23.23529411764705,7.076470588235294,12.764705882352942,0.2941176470588235,12.529411764705882,65.94117647058823,5.01764705882353,18.058823529411764,0.1176470588235294,12.8,46.7
dalvin-cook,26,5,17,2.294117647058824,3.294117647058824,17.352941176470587,6.258823529411764,12.176470588235292,0.1176470588235294,15.529411764705882,69.0,4.441176470588236,21.647058823529413,0.4705882352941176,8.3,59.3
rhamondre-stevenson,24,1,17,4.0588235294117645,5.176470588235294,24.764705882352946,4.81764705882353,10.882352941176473,0.0588235294117647,12.352941176470589,61.1764705882353,4.823529411764706,18.176470588235293,0.2941176470588235,16.3,26.3
joe-mixon,25,5,15,4.0,5.0,29.4,6.986666666666666,14.866666666666667,0.1333333333333333,14.133333333333333,55.06666666666667,3.9866666666666655,14.066666666666666,0.4666666666666667,12.3,46.3
miles-sanders,25,3,17,1.1764705882352942,1.5294117647058822,4.588235294117647,2.188235294117648,3.5294117647058822,0.0,15.235294117647058,74.6470588235294,4.882352941176471,17.470588235294116,0.6470588235294118,4.9,59.3
najee-harris-rb,24,1,17,2.411764705882353,3.117647058823529,13.470588235294118,4.547058823529412,7.764705882352941,0.1764705882352941,16.0,60.8235294117647,3.664705882352941,13.764705882352942,0.4117647058823529,9.3,30.0
leonard-fournette,27,5,16,4.5625,5.1875,32.6875,6.26875,13.6875,0.1875,11.8125,41.75,2.99375,9.75,0.1875,11.1,167.7
kenneth-walker-rb,21,0,15,1.8,2.333333333333333,11.0,4.306666666666667,7.533333333333333,0.0,15.2,70.0,5.04,27.6,0.6,6.1,40.3
travis-etienne,23,0,17,2.0588235294117645,2.647058823529412,18.58823529411765,7.352941176470587,13.294117647058824,0.0,12.941176470588236,66.17647058823529,5.352941176470588,22.58823529411765,0.2941176470588235,7.6,35.7
alvin-kamara,26,5,15,3.8,5.133333333333334,32.666666666666664,8.026666666666667,16.133333333333333,0.1333333333333333,14.866666666666667,59.8,3.84,14.333333333333334,0.1333333333333333,15.0,98.0
ezekiel-elliott,26,6,15,1.1333333333333333,1.5333333333333334,6.133333333333334,3.1666666666666665,4.733333333333333,0.0,15.4,58.4,3.806666666666666,14.333333333333334,0.8,4.1,153.3
james-conner,27,5,13,3.5384615384615383,4.461538461538462,23.07692307692308,7.123076923076924,11.76923076923077,0.0769230769230769,14.076923076923077,60.15384615384615,4.330769230769231,13.923076923076923,0.5384615384615384,8.7,74.7
jerick-mckinnon,30,8,17,3.294117647058824,4.176470588235294,30.11764705882353,7.288235294117648,15.647058823529411,0.5294117647058824,4.235294117647059,17.11764705882353,3.117647058823529,8.470588235294118,0.0588235294117647,10.9,130.0
dandre-swift,23,2,14,3.4285714285714284,5.0,27.785714285714285,8.564285714285713,15.142857142857142,0.2142857142857142,7.071428571428571,38.71428571428572,4.921428571428572,17.142857142857142,0.3571428571428571,11.9,65.0
david-montgomery,25,3,16,2.125,2.5,19.75,7.55,12.375,0.0625,12.5625,50.0625,3.9375,12.0,0.3125,10.6,77.3
devin-singletary,24,3,17,2.235294117647059,3.0588235294117645,16.470588235294116,5.841176470588235,7.823529411764706,0.0588235294117647,10.470588235294118,48.35294117647059,4.488235294117647,16.0,0.2941176470588235,9.1,146.0
aj-dillon,24,2,17,1.6470588235294117,2.5294117647058822,12.117647058823527,5.31764705882353,6.764705882352941,0.0,10.941176470588236,45.294117647058826,4.182352941176471,12.882352941176473,0.4117647058823529,7.6,90.7
raheem-mostert,30,7,16,1.9375,2.625,12.625,5.44375,7.9375,0.125,11.3125,55.6875,4.69375,18.1875,0.1875,7.2,159.0
dameon-pierce,22,0,13,2.3076923076923075,3.0,12.692307692307692,5.430769230769231,8.384615384615385,0.0769230769230769,16.923076923076923,72.23076923076923,4.023076923076923,23.0,0.3076923076923077,6.7,56.0
tyler-allgeier,22,0,16,1.0,1.0625,8.6875,5.4625,7.0625,0.0625,13.125,64.6875,4.99375,20.0,0.1875,4.1,134.0
jeffery-wilson,26,4,16,1.375,2.3125,11.5625,5.7875,7.1875,0.0625,11.0,53.75,4.762499999999999,17.875,0.3125,6.3,177.3
cordarrelle-patterson,31,9,13,1.6153846153846154,2.3846153846153846,9.384615384615383,4.584615384615384,7.0,0.0,11.076923076923077,53.46153846153846,4.5076923076923086,15.615384615384617,0.6153846153846154,7.5,197.7
antonio-gibson,24,2,15,3.066666666666667,3.866666666666666,23.53333333333333,7.073333333333333,12.133333333333333,0.1333333333333333,9.933333333333334,36.4,3.68,10.333333333333334,0.2,10.5,99.3
latavius-murray,32,8,14,1.9285714285714288,2.5,9.428571428571429,5.585714285714286,7.0,0.0,12.214285714285714,54.285714285714285,4.05,15.428571428571429,0.4285714285714285,6.1,260.0
cam-akers,23,2,15,0.8666666666666667,1.2,7.8,3.6133333333333337,4.6,0.0,12.533333333333331,52.4,3.6266666666666665,14.466666666666669,0.4666666666666667,3.4,60.0
jonathan-taylor,23,2,12,2.333333333333333,3.333333333333333,11.916666666666666,4.95,7.916666666666667,0.0,16.0,71.75,3.8333333333333326,19.08333333333333,0.3333333333333333,6.6,12.7
donta-foreman,26,4,16,0.3125,0.5625,1.625,0.84375,1.625,0.0,12.6875,57.125,3.83125,15.0625,0.3125,2.0,143.7
isiah-pacheco,22,0,17,0.7647058823529411,0.8235294117647058,7.647058823529412,5.482352941176471,6.941176470588236,0.0,10.0,48.8235294117647,4.376470588235295,12.058823529411764,0.2941176470588235,2.2,77.0
samaje-perine,26,5,16,2.375,3.1875,17.9375,5.86875,10.375,0.25,5.9375,24.625,3.66875,7.625,0.125,8.4,101.7
rachaad-white,23,0,17,2.9411764705882355,3.411764705882353,17.058823529411764,4.429411764705883,7.0588235294117645,0.1176470588235294,7.588235294117647,28.294117647058822,3.176470588235294,9.941176470588236,0.0588235294117647,7.7,68.0
khalil-herbert,24,1,13,0.6923076923076923,0.9230769230769232,4.384615384615385,4.076923076923077,4.153846153846154,0.0769230769230769,9.923076923076923,56.23076923076923,5.592307692307693,21.15384615384616,0.3076923076923077,3.2,109.0
kareem-hunt,26,5,17,2.0588235294117645,2.588235294117647,12.352941176470589,5.511764705882353,9.0,0.0588235294117647,7.235294117647059,27.529411764705884,3.4352941176470586,10.764705882352942,0.1764705882352941,8.1,176.3
brian-robinson-jr,23,0,12,0.75,1.0,5.0,3.25,3.9166666666666665,0.0833333333333333,17.083333333333332,66.41666666666667,3.883333333333333,13.666666666666666,0.1666666666666666,2.2,99.3
breece-hall,21,0,7,2.7142857142857144,4.428571428571429,31.142857142857142,11.94285714285714,18.857142857142858,0.1428571428571428,11.428571428571429,66.14285714285714,6.985714285714287,26.0,0.5714285714285714,4.9,30.0
michael-carter-rb,23,1,16,2.5625,3.375,18.0,7.231249999999999,10.5625,0.0,7.125,25.125,3.2875,9.375,0.1875,8.6,220.3
james-cook,22,0,17,1.2352941176470589,1.8823529411764703,10.588235294117649,5.68235294117647,6.470588235294118,0.0588235294117647,5.352941176470588,30.88235294117647,4.852941176470588,13.352941176470589,0.1176470588235294,5.6,83.3
clyde-edwards-helaire,23,2,10,1.7,2.3,15.1,5.220000000000001,8.8,0.3,7.1,30.2,3.66,13.8,0.3,3.5,205.0
james-robinson,23,2,11,1.0,1.2727272727272727,4.636363636363637,2.2545454545454544,3.4545454545454546,0.1818181818181818,10.0,38.63636363636363,3.3181818181818183,15.727272727272728,0.2727272727272727,2.2,250.0
damien-harris-rb,25,3,11,1.5454545454545454,2.090909090909091,8.818181818181818,4.363636363636363,5.909090909090909,0.0,9.636363636363637,42.0,4.163636363636364,13.0,0.2727272727272727,4.3,113.3
alexander-mattison,24,3,17,0.8823529411764706,1.0588235294117647,5.352941176470588,4.176470588235294,4.764705882352941,0.0588235294117647,4.352941176470588,16.647058823529413,3.158823529411765,7.294117647058823,0.2941176470588235,2.7,69.7
chuba-hubbard,23,1,14,1.0,1.2142857142857142,12.214285714285714,4.535714285714286,7.428571428571429,0.0,6.785714285714286,33.285714285714285,3.814285714285714,8.714285714285714,0.1428571428571428,3.7,176.0
jaylen-warren,23,0,16,1.75,2.0625,13.375,6.15625,8.25,0.0,4.8125,23.6875,4.35,11.125,0.0625,5.8,158.3
jk-dobbins,23,1,8,0.875,1.0,5.25,2.125,4.25,0.125,11.5,65.0,5.2625,20.125,0.25,1.6,55.0
kenneth-gainwell,23,1,17,1.3529411764705883,1.7058823529411764,9.941176470588236,4.9,6.0,0.0,3.117647058823529,14.117647058823527,3.729411764705883,6.470588235294118,0.2352941176470588,5.4,156.7
nyheim-hines,25,4,16,1.875,2.3125,15.0625,6.525,8.875,0.0625,1.5,2.0625,0.6,1.5,0.0625,6.4,290.5
chase-edmonds,26,4,13,1.2307692307692308,1.8461538461538465,12.076923076923077,5.307692307692308,7.384615384615385,0.0769230769230769,5.230769230769231,18.846153846153847,3.4153846153846152,10.692307692307692,0.1538461538461538,4.2,259.0
jamycal-hasty,25,2,14,1.5,1.9285714285714288,8.642857142857142,2.8,4.928571428571429,0.0714285714285714,3.2857142857142856,13.857142857142858,4.799999999999999,10.642857142857142,0.1428571428571428,4.4,328.0
gus-edwards,27,3,9,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,9.666666666666666,48.11111111111112,4.666666666666667,16.11111111111111,0.3333333333333333,0.4,199.7
zack-moss,24,2,13,0.8461538461538461,1.0,3.0,1.2923076923076924,1.7692307692307692,0.0,7.153846153846154,35.07692307692308,4.938461538461539,13.307692307692308,0.0769230769230769,2.2,283.0
joshua-kelley,24,2,12,1.1666666666666667,2.083333333333333,8.416666666666666,5.541666666666667,6.833333333333333,0.0,5.75,23.916666666666668,3.733333333333334,8.75,0.1666666666666666,3.5,226.3
zonovan-bam-knight,21,0,7,1.8571428571428568,2.0,14.285714285714286,6.2,8.571428571428571,0.0,12.142857142857142,42.85714285714285,3.1142857142857143,16.142857142857142,0.1428571428571428,2.2,281.0
rashaad-penny,26,4,5,0.8,1.0,3.2,2.5,2.6,0.0,11.4,69.2,5.58,23.8,0.4,0.9,113.3
matt-breida,27,5,17,1.1764705882352942,1.4705882352941178,6.941176470588236,5.188235294117647,6.235294117647059,0.0,3.176470588235294,12.941176470588236,3.076470588235294,6.470588235294118,0.0588235294117647,4.8,243.0
elijah-mitchell-rb,24,1,5,0.6,0.8,1.4,0.6,0.8,0.0,9.0,55.8,6.859999999999999,19.2,0.4,0.8,125.3
travis-homer,23,3,12,1.3333333333333333,1.5,13.083333333333334,5.866666666666666,8.666666666666666,0.0833333333333333,1.5833333333333333,6.166666666666667,3.1166666666666667,4.416666666666667,0.0,3.1,331.0
javonte-williams,22,1,4,4.0,5.5,19.0,3.9,6.0,0.0,11.75,51.0,4.45,14.75,0.0,3.9,82.0
malik-davis,23,0,6,1.0,1.1666666666666667,10.5,5.25,7.0,0.0,6.333333333333333,26.83333333333333,4.966666666666667,14.5,0.1666666666666666,1.3,262.5
kyren-williams,21,0,8,1.125,1.5,9.5,4.9125,6.25,0.0,4.375,17.375,4.5125,7.875,0.0,2.3,284.5
pierre-strong-jr,23,0,10,0.7,0.7,4.2,1.9,3.2,0.0,1.0,10.0,2.53,6.3,0.1,1.3,227.3
hassan-haskins,22,0,14,0.7857142857142857,0.8571428571428571,4.071428571428571,2.2857142857142856,3.142857142857143,0.0,1.7857142857142858,6.642857142857143,1.5642857142857145,2.642857142857143,0.0,2.6,311.0
sony-michel,27,4,10,0.9,1.3,5.3,3.3,3.8,0.0,3.6,10.6,3.22,5.1,0.0,1.8,242.0
