name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
travis-kelce,30,7,15,7.0,1.96638416050035,9.666666666666666,3.0477678535099897,94.4,34.14049404055737,13.673333333333336,3.8112931605369273,26.066666666666663,9.219303420300015,0.7333333333333333,0.5734883511361752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0
darren-waller,27,5,16,6.6875,2.9520914196548858,9.0625,3.543810625583709,74.75,50.92334926141445,10.45,4.7255952006070086,20.75,10.127314550264549,0.5625,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,21.0
logan-thomas,29,4,16,4.5,2.958039891549808,6.875,3.2572035551988456,41.875,28.46242039953735,9.1,3.726090444420264,16.375,8.252840420122032,0.375,0.4841229182759271,0.1875,0.3903123748998999,0.3125,0.8454843286542927,0.3125,0.8454843286542927,0.3125,0.8454843286542927,0.0,0.0,19.3,66.0
robert-tonyan,26,3,16,3.25,1.75,3.6875,1.8614090764794289,36.625,25.556004676005205,10.38125,4.534757263349384,19.625,11.6880013261464,0.6875,0.7680128579652817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,88.0
tj-hockenson,23,1,16,4.1875,1.6286017775994228,6.3125,2.310810193417019,45.1875,24.764437077187925,10.34375,3.850481909774412,19.5625,11.352140491995332,0.375,0.4841229182759271,0.0625,0.2420614591379635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,57.0
mark-andrews,24,2,14,4.142857142857143,1.6413036132965797,6.285714285714286,2.118913853455904,50.07142857142857,23.61132986426609,12.921428571428567,5.893965263777201,20.571428571428573,8.649643144697489,0.5,0.7319250547113999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,45.0
mike-gesicki,24,2,15,3.533333333333333,2.499777767900357,5.666666666666667,2.867441755680876,46.86666666666667,33.842511070479915,12.7,4.803609753785861,23.0,14.746751054610865,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,109.0
rob-gronkowski,31,8,16,2.8125,1.8103435447450296,4.8125,2.242173889331512,38.9375,28.325052405070675,13.1875,8.761840203404763,20.375,13.864861160502112,0.4375,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0
noah-fant,22,1,15,4.133333333333334,1.9955506062794357,6.2,2.8798148088606905,44.86666666666667,20.902525099986256,10.633333333333333,4.231259334471896,19.53333333333333,9.618500691664766,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,80.0
hunter-henry,25,4,14,4.285714285714286,1.5319721849662296,6.642857142857143,1.9859198249225487,43.785714285714285,21.142977798883525,10.135714285714286,3.863308564071021,16.857142857142858,7.44366598292173,0.2857142857142857,0.4517539514526256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,156.0
eric-ebron,27,5,15,3.733333333333333,2.048305532764962,6.066666666666666,2.644911256650316,37.2,17.75086852335213,10.213333333333336,4.768628966718025,16.666666666666668,6.896053621859067,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,171.0
evan-engram,25,3,16,3.9375,1.8864235340983213,6.8125,2.788788939665388,40.875,28.965226997211676,10.2625,4.141991519788518,18.125,10.792792734042472,0.0625,0.2420614591379635,0.375,0.6959705453537527,1.625,3.0998991919093117,1.25,2.5433737436719754,1.6875,3.0149367737980843,0.0625,0.2420614591379635,21.1,170.0
