name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
antonio-brown,29,6,14,7.214285714285714,3.120864610707639,11.642857142857142,4.081441322046186,109.5,58.43891805002162,14.628571428571428,3.0053353916537384,34.857142857142854,13.184715950443437,0.6428571428571429,0.8949974347244049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,4.3,2.6,13.7,41.89,5.1,4.0,1.1,0
deandre-hopkins,25,4,15,6.4,2.3607908279501033,11.6,3.5175749222061117,91.86666666666666,46.59880780544594,14.48666666666667,5.07160285861931,31.2,14.019985734657507,0.8666666666666667,0.8055363982396381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,4.6,2.1,13.6,43.87,3.7,3.6,0.0,0
keenan-allen,25,4,16,6.375,2.7357585785299112,9.9375,2.536452985962878,87.0625,43.096503265926344,13.8,4.555079582180755,25.8125,11.806876968529824,0.375,0.5994789404140899,0.125,0.33071891388307384,0.5625,1.5799030824705673,0.5625,1.5799030824705673,0.5625,1.5799030824705673,0.0,0.0,27.3,5.5,2.7,9.5,31.63,5.3,5.0,0.3,0
larry-fitzgerald,33,11,16,6.8125,2.983679565570003,10.0625,3.2876425824593523,72.25,40.7177786722213,10.05625,2.696054698536363,21.375,6.9988838395847095,0.375,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,6.0,2.6,8.2,22.78,4.1,4.1,0.0,0
jarvis-landry,24,3,16,7.0,2.179449471770337,10.0625,2.560975156068485,61.6875,22.582401195399925,9.0,2.8155816450602176,19.25,9.443913383762052,0.5625,0.6091746465505602,0.0625,0.24206145913796356,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,0.0,0.0,26.7,5.7,3.2,6.1,20.7,4.8,4.2,0.5,0
michael-thomas-wr,24,0,16,6.5,1.9039432764659772,9.3125,2.171369095755026,77.8125,25.81476987598379,11.975,3.3866465714626908,25.5625,8.440740118615192,0.3125,0.46351240544347894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,5.7,2.6,9.3,41.29,4.6,4.1,0.5,0
julio-jones,28,6,16,5.5,2.4238399287081647,9.25,3.031088913245535,90.25,51.99819708412976,16.262500000000003,4.599167723621308,29.3125,11.9776810673018,0.1875,0.5266343608235224,0.0625,0.24206145913796356,0.9375,3.6309218870694533,0.9375,3.6309218870694533,0.9375,3.6309218870694533,0.0,0.0,27.9,5.4,2.4,14.4,46.0,5.9,4.4,1.5,0
adam-thielen,26,3,16,5.6875,1.9273929931386593,8.875,2.5708704751503917,79.75,42.5697956302353,13.6125,4.644603723677619,29.6875,15.340790193141942,0.25,0.4330127018922193,0.0625,0.24206145913796356,0.6875,2.6626760505175993,0.6875,2.6626760505175993,0.6875,2.6626760505175993,0.0,0.0,27.1,5.7,2.7,10.8,38.39,5.0,4.4,0.5,0
tyreek-hill,23,1,15,5.0,1.5491933384829668,7.0,1.591644851508443,78.86666666666666,41.72747562724376,16.586666666666666,7.580225736890836,41.06666666666667,22.5668389949107,0.4666666666666667,0.6182412330330469,1.1333333333333333,1.203698005684519,3.933333333333333,6.50606554600312,2.0733333333333333,5.125422475811683,4.0,6.733003292241386,0.0,0.0,19.3,7.2,3.5,11.5,29.58,6.4,6.1,0.3,1
aj-green,28,6,16,4.6875,2.171369095755026,8.9375,3.4181272284688293,67.375,43.04630500983795,13.56875,4.951731862439646,26.4375,20.040486365106013,0.5,0.6123724356957945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,4.9,2.4,13.3,46.31,4.6,3.8,0.9,0
