name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
gabriel-davis,23,2,15,3.2,6.2,55.73333333333333,17.426666666666666,27.133333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,16.2,91.0,5.4,2.8,15.9,28.53,3.0,2.4,0.6
jakobi-meyers,25,3,14,4.785714285714286,6.857142857142857,57.42857142857143,13.185714285714283,25.142857142857142,0.4285714285714285,0.1428571428571428,-0.7857142857142857,0.6428571428571429,0.6428571428571429,0.0,17.8,129.3,5.6,3.0,9.7,23.68,3.9,4.5,-0.6
juju-smith-schuster,25,5,16,4.875,6.3125,58.3125,12.40625,22.625,0.1875,0.0,0.0,0.0,0.0,0.0,15.5,113.7,5.7,3.3,7.4,16.29,6.1,4.3,1.8
tyler-boyd,27,6,17,3.4705882352941178,4.882352941176471,45.64705882352941,12.435294117647056,22.294117647058822,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,13.4,131.3,5.1,2.7,9.4,18.05,4.5,3.5,1.0
mike-williams-wr,27,5,13,4.846153846153846,7.153846153846154,68.84615384615384,13.607692307692307,27.15384615384616,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,13.1,56.0,5.4,2.8,12.2,25.15,5.3,4.4,0.9
adam-thielen,31,8,17,4.117647058823529,6.294117647058823,42.11764705882353,10.888235294117647,17.647058823529413,0.3529411764705882,0.0588235294117647,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,15.9,139.0,6.1,2.7,10.1,22.26,2.2,3.1,-0.9
allen-lazard,26,4,15,4.0,6.666666666666667,52.53333333333333,12.6,23.933333333333334,0.4,0.1333333333333333,0.0,0.0,0.0666666666666666,0.0,17.8,121.3,5.2,2.7,12.3,28.42,4.8,4.4,0.3
curtis-samuel,25,5,17,3.764705882352941,5.411764705882353,38.588235294117645,9.429411764705884,18.23529411764705,0.2352941176470588,2.235294117647059,11.0,4.664705882352941,7.764705882352941,0.0588235294117647,16.6,190.0,6.7,3.5,7.0,14.38,4.7,3.8,0.8
christian-watson,23,0,14,2.9285714285714284,4.642857142857143,43.642857142857146,13.342857142857143,23.0,0.5,0.5,5.714285714285714,5.285714285714286,5.285714285714286,0.1428571428571428,11.7,55.0,6.1,2.9,14.1,21.47,6.8,5.3,1.5
drake-london,20,0,17,4.235294117647059,6.882352941176471,50.94117647058823,11.276470588235297,19.176470588235293,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,28.2,54.7,7.0,2.5,10.8,32.7,3.3,3.3,0.0
george-pickens,21,0,17,3.0588235294117645,4.941176470588236,47.11764705882353,14.347058823529412,23.352941176470587,0.2352941176470588,0.1764705882352941,1.411764705882353,0.7352941176470589,1.3529411764705883,0.0588235294117647,14.7,76.0,4.7,2.4,14.7,26.8,2.4,1.8,0.6
deebo-samuel,26,3,13,4.307692307692308,7.230769230769231,48.61538461538461,11.092307692307692,21.0,0.1538461538461538,3.230769230769231,17.846153846153847,5.015384615384614,14.076923076923077,0.2307692307692307,18.4,36.3,6.7,3.6,4.3,11.85,9.0,6.4,2.6
diontae-johnson,26,3,17,5.0588235294117645,8.647058823529411,51.88235294117647,10.711764705882354,19.0,0.0,0.4117647058823529,1.4705882352941178,0.9117647058823528,1.1176470588235294,0.0,25.7,66.7,5.3,2.8,10.6,33.61,2.6,2.7,-0.1
donovan-peoples-jones,23,2,17,3.588235294117647,5.647058823529412,49.35294117647059,12.358823529411763,23.11764705882353,0.1764705882352941,0.0588235294117647,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0,17.8,149.3,5.7,2.5,12.2,26.59,3.2,3.5,-0.3
josh-palmer,22,1,16,4.5,6.6875,48.0625,10.4375,18.6875,0.1875,0.0625,0.25,0.25,0.25,0.0,15.0,213.7,6.3,3.5,8.7,20.63,3.6,3.6,0.0
keenan-allen,30,9,10,6.6,8.9,75.2,11.81,28.1,0.4,0.1,0.8,0.8,0.8,0.0,12.5,38.7,6.1,3.6,8.4,16.56,4.1,4.6,-0.6
courtland-sutton,26,4,15,4.266666666666667,7.266666666666667,55.266666666666666,11.646666666666668,21.4,0.1333333333333333,0.0666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,19.1,93.3,5.8,2.7,12.6,29.22,2.3,2.8,-0.5
mack-hollins,28,5,17,3.3529411764705883,5.529411764705882,40.588235294117645,11.111764705882353,18.58823529411765,0.2352941176470588,0.2352941176470588,2.3529411764705883,0.7823529411764706,1.0,0.0,16.0,274.3,6.6,3.0,12.7,22.83,3.5,3.1,0.4
kj-osborn,25,2,17,3.5294117647058822,5.294117647058823,38.23529411764706,8.858823529411765,17.470588235294116,0.2941176470588235,0.1764705882352941,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.0,13.4,142.7,6.2,3.4,8.3,15.3,5.2,4.4,0.8
marquise-brown,25,3,12,5.583333333333333,8.916666666666666,59.083333333333336,10.616666666666664,21.25,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,16.1,73.3,6.8,3.3,10.9,26.86,3.8,3.8,0.0
