NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Jamison Crowder","WR","NYJ",3,17,6,5,"",3,9,5,5,9,6,8,4,9,7,11,8,10,122,7.6,23.4,78,63.9,6
"Evan Engram","TE","NYG",1,14,8,8,7,11,"",5,7,8,"","","","","","","","",68,8.5,11.2,44,64.7,3
"Allen Robinson II","WR","CHI",1,13,7,7,7,9,"",16,7,5,9,6,10,12,8,14,12,12,154,9.6,26.6,98,63.6,7
"Danny Amendola","WR","DET",2,13,1,5,"","",1,11,8,5,9,5,3,8,8,13,3,4,97,6.5,16.8,62,63.9,1
"DeAndre Hopkins","WR","HOU",1,13,8,7,8,8,12,12,13,11,"",12,8,8,13,8,9,"",150,10,28.1,104,69.3,7
"Larry Fitzgerald","WR","ARI","",13,11,7,5,8,8,3,4,4,8,5,"",7,7,5,7,7,109,6.8,19.7,75,68.8,4
"Michael Thomas","WR","NO",3,13,13,7,9,13,12,11,11,"",14,10,11,8,15,12,17,9,185,11.6,31.8,149,80.5,9
"Robert Woods","WR","LAR",1,13,2,8,15,9,4,7,2,"",11,"",9,18,9,9,11,12,139,9.3,22,90,64.7,2
"Christian Kirk","WR","ARI",2,12,8,12,5,"","","",11,5,10,9,"",7,9,5,5,10,108,8.3,19.3,68,63,3
"John Ross","WR","CIN",3,12,8,6,6,"","","","","","","","","",3,3,13,5,56,7,9.1,28,50,3
"Tyler Boyd","WR","CIN",1,12,10,11,6,14,7,14,9,"",8,3,9,10,6,7,15,7,148,9.2,23.9,90,60.8,5
"Christian McCaffrey","RB","CAR",1,11,6,4,10,8,5,"",5,3,7,15,9,12,12,10,15,10,142,8.9,22.3,116,81.7,4
"Julian Edelman","WR","NE",1,11,4,10,7,9,15,12,11,11,"",10,12,11,12,5,6,7,153,9.6,24.7,100,65.4,6
"Julio Jones","WR","ATL",1,11,10,9,7,7,9,9,12,"",9,8,10,"",8,20,15,13,157,10.5,23,99,63.1,6
"Odell Beckham Jr.","WR","CLE",1,11,10,9,7,6,11,"",7,6,12,10,8,6,5,13,6,6,133,8.3,24.7,74,55.6,4
"Sammy Watkins","WR","KC",1,11,13,8,6,"","","",8,10,9,3,"",3,8,4,5,2,90,6.4,15.6,52,57.8,3
"Chris Thompson","RB","WAS","",10,8,5,5,7,3,"","","","","","",2,8,3,4,3,58,5.3,12.1,42,72.4,0
"Cooper Kupp","WR","LAR",1,10,9,12,15,17,6,8,10,"",4,3,10,6,4,6,4,10,134,8.4,21.2,94,70.1,10
"DJ Moore","WR","CAR",1,10,14,2,5,8,10,"",9,10,11,15,9,12,6,12,2,"",135,9,21.3,87,64.4,4
"Donte Moncrief","WR","CAR",2,10,1,"","","",2,"",2,"","","","","","","","","",15,1.9,2.4,4,26.7,0
"George Kittle","TE","SF",1,10,3,8,"",8,8,5,7,8,"","",6,4,8,17,8,7,107,7.6,22.4,85,79.4,5
"John Brown","WR","BUF",3,10,8,5,11,5,"",6,8,7,11,14,4,4,8,10,4,"",115,7.7,22.4,72,62.6,6
"Keenan Allen","WR","LAC",1,10,15,17,5,6,6,11,10,4,11,12,"",6,6,10,10,10,149,9.3,25,104,69.8,6
"KeeSean Johnson","WR","ARI",3,10,2,4,3,7,5,2,"",3,4,2,"","","","","","",42,4.2,7.6,21,50,1
"Tarik Cohen","RB","CHI",4,10,5,4,5,7,"",12,3,5,4,6,9,4,6,10,4,10,104,6.5,17.9,79,76,3
"Amari Cooper","WR","DAL",1,9,5,7,8,14,2,5,"",7,14,8,2,11,8,2,12,5,119,7.4,19.9,79,66.4,8
"Austin Hooper","TE","ATL",1,9,6,7,11,9,8,5,7,"",5,"","","",6,6,9,9,97,7.5,14.2,75,77.3,6
"Cole Beasley","WR","BUF",1,9,4,10,13,4,"",6,7,2,6,4,9,7,7,6,12,"",106,7.1,20.3,67,63.2,6
"DeSean Jackson","WR","PHI",1,9,"","","","","","","",1,"","","","","","","","",10,3.3,1.6,9,90,2
"Greg Olsen","TE","CAR","",9,9,7,4,2,7,"",2,6,10,5,7,3,"","",5,6,82,5.9,13,52,63.4,2
"Kenny Golladay","WR","DET",1,9,10,8,9,"",9,2,8,7,9,5,4,5,8,7,12,4,116,7.2,20.3,65,56,11
"Le'Veon Bell","RB","NYJ",3,9,10,4,"",9,1,4,5,9,4,2,5,5,"",2,4,5,78,5.2,15,66,84.6,1
"T.J. Hockenson","TE","DET",1,9,3,4,3,"",6,5,1,7,6,2,2,11,"","","","",59,4.9,10.3,32,54.2,2
"T.Y. Hilton","WR","IND",3,9,6,10,"",4,"",11,6,"","","",6,"","",9,4,3,68,6.8,13.3,45,66.2,5
"Alvin Kamara","RB","NO",1,8,3,10,3,7,8,"","","",10,10,9,8,6,5,7,3,97,6.9,16.7,81,83.5,1
"Courtland Sutton","WR","DEN",1,8,7,7,9,7,8,8,6,8,"",9,8,5,7,10,10,8,124,7.8,24.8,72,58.1,6
"Darren Waller","TE","OAK",1,8,7,14,8,5,"",8,8,2,5,7,6,9,6,10,4,10,117,7.3,22.4,90,76.9,3
"Davante Adams","WR","GB",1,8,9,4,15,"","","","",11,10,"",12,10,6,13,16,13,127,10.6,22.2,83,65.4,5
"JuJu Smith-Schuster","WR","PIT",1,8,8,7,4,7,3,"",9,5,5,4,"","","","",4,6,70,5.8,13.9,42,60,3
"Mark Andrews","TE","BAL",1,8,9,7,8,7,8,8,"",3,8,4,3,6,3,7,9,"",98,6.5,22.3,64,65.3,10
"Rex Burkhead","RB","NE",4,8,2,7,1,"","","",1,2,"",3,5,1,1,2,4,1,38,2.9,6.1,27,71.1,0
"Travis Kelce","TE","KC",1,8,9,8,8,10,6,8,8,9,7,10,"",9,9,13,9,5,136,8.5,23.6,97,71.3,5
"Alshon Jeffery","WR","PHI","",7,"","",9,8,12,5,6,8,"","","",16,2,"","","",73,7.3,11.9,43,58.9,4
"Austin Ekeler","RB","LAC",1,7,6,7,5,16,4,8,3,4,2,12,"",5,5,7,6,11,108,6.8,18.1,92,85.2,8
"Chris Carson","RB","SEA",1,7,3,1,4,2,4,5,1,3,4,"",4,2,4,2,1,"",47,3.1,9.1,37,78.7,2
"Chris Conley","WR","JAX",1,7,5,3,4,3,3,7,7,7,"",8,9,5,3,8,5,6,90,5.6,15.3,47,52.2,5
"Cody Latimer","WR","NYG","",7,5,"","",1,1,5,3,3,1,"",1,3,"",2,7,3,42,2.8,7.1,24,57.1,2
"Damiere Byrd","WR","ARI",1,7,7,4,"","",2,2,5,"","","","",3,1,6,1,8,46,4.2,8.3,32,69.6,1
"David Johnson","RB","ARI",2,7,1,9,11,5,8,"","","",1,"","",2,2,"",1,"",47,3.6,8.5,36,76.6,4
"DeVante Parker","WR","MIA",1,7,7,6,4,"",4,10,8,6,10,10,11,10,2,7,15,11,128,8,20.8,72,56.2,9
