NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Dez Bryant","WR","DAL","",9,16,2,13,8,"",10,6,11,8,14,5,7,5,4,6,8,132,8.2,26.8,69,52.3,6
"Jarvis Landry","WR","MIA",1,"",15,11,7,10,14,11,12,7,10,11,9,6,8,13,7,10,161,10.1,26.7,112,69.6,9
"Alshon Jeffery","WR","PHI","",7,13,8,6,4,10,6,8,11,"",7,9,6,11,10,2,2,120,7.5,21.3,57,47.5,9
"DeAndre Hopkins","WR","HOU",1,16,13,8,12,12,4,"",11,16,14,9,10,14,16,13,6,"",174,11.6,33.1,96,55.2,13
"Jason Witten","TE","DAL","",9,13,4,2,10,"",4,5,1,7,1,7,5,2,5,9,3,87,5.4,17.6,63,72.4,5
"Marqise Lee","WR","JAX",2,4,12,7,3,4,10,6,"",12,11,9,2,10,6,"","","",96,6.9,18.2,56,58.3,3
"Antonio Brown","WR","PIT",1,11,11,14,9,19,10,10,10,"",7,13,12,16,18,3,"","",163,11.6,27.6,101,62,9
"Jaron Brown","WR","ARI","","",11,6,12,6,1,5,"",1,6,3,1,"",5,3,4,5,69,4.3,11.5,31,44.9,4
"Martellus Bennett","TE","NE","",6,11,4,7,3,4,3,"","",3,3,"","","","","","",44,4.9,7.5,30,68.2,0
"Rashard Higgins","WR","CLE",2,"",11,6,4,4,2,3,1,"",4,2,3,"",1,2,3,4,50,3.3,8.7,27,54,2
"Davante Adams","WR","GB",1,7,10,6,5,11,10,5,"",10,8,10,8,6,14,7,"","",117,8.4,20.8,74,63.2,10
"Keenan Allen","WR","LAC",1,10,10,9,11,12,9,7,5,"",7,13,14,14,8,8,10,12,159,9.9,27.3,102,64.2,6
"Kendall Wright","WR","CHI","",4,10,"",4,5,3,"",8,"",8,4,5,2,11,13,6,8,91,5.7,19.2,59,64.8,1
"Michael Thomas","WR","NO",3,8,10,8,11,"",6,11,8,11,10,11,8,9,14,11,5,8,149,9.3,27.8,104,69.8,5
"Travis Kelce","TE","KC",1,7,10,1,8,11,7,5,10,9,"",14,4,8,13,7,8,"",122,8.1,22.5,83,68,8
"Zach Ertz","TE","PHI",2,8,10,10,8,12,5,5,6,"","",5,12,4,"",9,14,2,110,7.9,19.5,74,67.3,8
"Doug Baldwin","WR","SEA",5,4,9,15,3,8,"",12,10,12,6,6,3,7,6,4,6,5,116,7.2,20.9,75,64.7,8
"DeVante Parker","WR","MIA",1,"",9,10,8,1,"","","",8,9,9,3,4,6,12,10,7,96,7.4,15.9,57,59.4,1
"Julio Jones","WR","ATL",1,5,9,12,4,"",7,13,6,12,8,10,15,6,11,8,11,11,148,9.2,27.9,88,59.5,3
"Kamar Aiken","WR","IND","",2,9,1,5,7,4,3,5,2,"","","",2,"",1,2,1,44,2.9,9,15,34.1,0
"Mike Evans","WR","TB",1,"",9,12,11,8,8,10,10,6,"",10,12,6,5,8,8,13,136,9.1,22.5,71,52.2,5
"Randall Cobb","WR","GB",2,13,9,"",4,5,3,4,"",5,4,6,4,"",8,14,7,6,92,6.1,16.4,66,71.7,4
"Rob Gronkowski","TE","NE",1,6,9,10,5,"",10,7,9,"",7,3,8,11,"",13,7,"",105,7.5,17.9,69,65.7,8
"Tarik Cohen","RB","CHI",4,12,9,4,4,1,3,3,3,"",2,6,2,4,2,6,2,8,71,4.4,15,53,74.6,1
"Tyler Lockett","WR","SEA",1,3,9,3,5,4,"",7,8,8,2,5,1,2,5,3,2,4,71,4.4,12.8,45,63.4,2
"Zach Miller","TE","CHI","",6,9,3,2,7,3,3,2,"","","","","","","","","",35,4.4,7.4,20,57.1,2
"A.J. Green","WR","CIN",2,10,8,13,7,13,"",6,8,2,7,9,8,17,12,4,10,10,144,9,28.2,75,52.1,8
"Benjamin Watson","TE","BAL","",1,8,3,6,4,8,5,4,10,"",1,3,5,1,4,6,10,79,4.9,13.9,61,77.2,4
"Cole Beasley","WR","DAL",1,5,8,1,6,6,"",2,3,6,3,4,3,3,5,5,3,"",63,4.2,12.8,36,57.1,4
"Donte Moncrief","WR","IND",2,4,8,3,3,3,7,4,1,2,1,"",3,8,"","","","",47,3.9,9.7,26,55.3,2
"Demaryius Thomas","WR","DEN","",8,8,9,5,"",14,6,9,12,8,9,8,10,12,8,6,8,140,8.8,24.7,83,59.3,5
"Emmanuel Sanders","WR","DEN",1,6,8,15,5,"",8,"","",5,11,8,6,7,4,9,"","",92,7.7,16.3,47,51.1,2
"Jack Doyle","TE","IND",1,3,8,5,7,"",11,7,14,9,5,"",8,5,3,8,10,5,108,7.2,22.2,80,74.1,4
"James White","RB","NE",2,5,8,1,12,9,7,5,6,"",3,1,2,6,4,3,"","",72,5.1,12.3,56,77.8,3
"Kelvin Benjamin","WR","BUF","",5,8,2,4,6,13,6,7,"",6,1,"","",8,2,7,3,78,5.6,16.4,48,61.5,3
"Melvin Gordon III","RB","LAC",1,6,8,2,3,8,12,4,2,"",8,2,3,4,3,8,3,7,83,5.2,14.2,58,69.9,4
"Torrey Smith","WR","PHI","",3,8,5,3,4,2,1,2,2,"",4,5,7,11,3,5,3,68,4.2,12.1,36,52.9,2
"Allen Hurns","WR","JAX",3,4,7,3,10,3,3,8,"",4,9,"","","","","","",5,56,5.6,10.6,39,69.6,2
"Alvin Kamara","RB","NO",1,6,7,5,10,"",3,7,3,7,5,9,6,6,3,7,9,7,100,6.2,18.7,81,81,5
"Brandon LaFell","WR","CIN","",5,7,2,3,8,"",7,5,2,10,5,6,7,6,6,6,4,89,5.6,17.5,52,58.4,3
"Corey Coleman","WR","CLE","",6,7,"","","","","","","","",11,8,4,6,3,6,6,57,6.3,9.9,23,40.4,2
"Chris Thompson","RB","WAS","",5,7,7,2,"",5,5,9,6,7,1,"","","","","","",54,5.4,10,39,72.2,4
"DeSean Jackson","WR","TB",2,"",7,7,6,9,6,8,8,4,10,3,11,3,7,1,"","",90,6.4,14.9,50,55.6,3
"Evan Engram","TE","NYG",5,5,7,7,11,4,7,12,"",10,9,6,7,8,7,13,2,"",115,7.7,18.9,64,55.7,6
"Eli Rogers","WR","PIT","",4,7,"","","","",2,1,"",1,"",7,2,5,2,4,1,36,2.6,6.1,18,50,1
"Hunter Henry","TE","LAC",2,"",7,"",3,8,7,5,2,"",2,5,5,9,6,3,"","",62,4.4,10.6,45,72.6,4
"Josh Bellamy","WR","CHI","",4,7,"",6,"","","","","",7,"","",2,4,7,4,5,46,3.1,9.7,24,52.2,1
"J.J. Nelson","WR","ARI",3,6,7,3,4,6,1,5,"",2,4,3,4,8,3,3,1,1,61,3.8,10.2,29,47.5,2
"LeSean McCoy","RB","BUF","",6,7,7,3,9,"",7,7,1,5,1,4,5,"",5,7,3,77,4.8,16.2,59,76.6,2
"Ty Montgomery","RB","GB",1,4,7,12,"","",3,2,"",1,2,"","","","","","","",31,3.9,5.5,23,74.2,1
"Alex Erickson","WR","CIN",2,"",6,"","",1,"",1,"",1,1,2,1,"",1,2,"","",16,1,3.1,12,75,1
"Adam Thielen","WR","MIN",1,10,6,8,8,8,13,12,10,"",12,9,11,5,13,5,6,7,143,8.9,27.1,91,63.6,4
"Brandon Coleman","WR","NO","",3,6,1,1,"",4,3,1,1,4,2,"",2,3,5,"",1,37,2.3,6.9,23,62.2,3
"Chris Hogan","WR","NE",2,5,6,6,9,11,4,6,7,"","","","","",5,"","","",59,6.6,10.1,34,57.6,5
"Carlos Hyde","RB","SF",2,6,6,4,6,1,6,8,9,11,3,"",13,5,1,2,3,4,88,5.5,14.5,59,67,0
"Cooper Kupp","WR","LAR",1,6,6,2,7,8,3,10,"",5,7,7,11,6,7,3,6,"",94,6.3,18.1,62,66,5
"C.J. Prosise","RB","SEA",5,"",6,5,"","","","","","","","","","","","","","",11,2.2,2,6,54.5,0
"Devin Funchess","WR","CAR",4,2,6,10,9,8,9,8,6,7,6,"",12,7,7,4,4,6,111,6.9,22.2,63,56.8,8
"Duke Johnson","RB","CLE",4,5,6,7,10,3,5,7,5,"",6,6,5,4,4,7,7,6,93,5.8,16.2,74,79.6,3
"Javorius Allen","RB","BAL","",1,6,6,6,5,4,11,3,8,"",1,1,1,2,3,1,1,60,3.8,10.6,46,76.7,2
"Jared Cook","TE","OAK",1,5,6,6,8,6,3,7,5,9,"",5,5,5,6,4,2,4,86,5.4,15.4,54,62.8,2
"Jordan Reed","TE","WAS","",8,6,"",5,"",5,10,1,"","","","","","","","","",35,5.8,6.5,27,77.1,2
"Kyle Rudolph","TE","MIN",1,3,6,2,4,9,9,7,7,"",7,7,4,5,5,2,1,3,81,5.1,15.4,57,70.4,8
"Larry Fitzgerald","WR","ARI","",13,6,15,7,10,11,3,"",9,14,10,8,10,7,10,15,13,161,10.1,26.9,109,67.7,6
"Laquon Treadwell","WR","MIN",3,1,6,1,2,"",3,4,4,"",1,3,"",1,4,"",2,3,35,2.2,6.6,20,57.1,0
"Michael Crabtree","WR","OAK","",7,6,3,"",8,10,7,10,4,"",11,"","",13,17,3,2,101,7.2,18.1,58,57.4,8
"Marquise Goodwin","WR","SF",2,6,6,5,2,11,5,8,3,8,2,"",6,8,12,13,6,4,105,6.6,17.3,56,53.3,2
"Mohamed Sanu Sr.","WR","ATL",2,9,6,6,3,"","",10,7,3,5,3,9,5,8,5,6,11,96,6.4,18.1,67,69.8,5
"Stefon Diggs","WR","MIN",1,8,6,11,7,4,"","",6,"",5,6,7,5,10,6,8,6,95,6.8,18,64,67.4,8
"Ted Ginn Jr.","WR","NO","",5,6,3,2,"",4,7,4,5,1,6,11,3,2,"",5,6,70,4.7,13.1,53,75.7,4
"Tyreek Hill","WR","KC",1,8,6,8,6,6,7,8,6,4,"",7,11,9,6,6,7,"",105,7,19.3,75,71.4,7
"T.Y. Hilton","WR","IND",3,7,6,9,6,9,4,8,7,9,4,"",5,6,4,7,12,6,109,6.8,22.4,57,52.3,4
"Zay Jones","WR","BUF",2,4,6,2,5,6,"",9,5,7,"",7,10,7,"",2,1,3,74,4.9,15.5,27,36.5,2
"Amari Cooper","WR","OAK",1,13,5,5,8,2,6,19,10,9,"",7,1,"",1,"",4,6,96,6.9,17.2,48,50,7
"Andre Ellington","RB","HOU","",3,5,8,14,10,1,"","",3,6,"","",6,2,"","",1,59,4.9,11.2,39,66.1,0
"Brandon Marshall","WR","NYG","",4,5,11,10,3,"","","","","","","","","","","","",33,6.6,5.4,18,54.5,0
"Christian McCaffrey","RB","CAR",1,7,5,11,6,7,14,9,7,6,7,"",5,6,4,7,4,8,113,7.1,22.6,80,70.8,5
"Deonte Thompson","WR","BUF","",2,5,2,9,"","",4,1,10,4,8,2,8,1,4,5,3,68,4.2,14.3,38,55.9,2
"Eric Decker","WR","TEN","",8,5,5,2,6,9,2,"",4,3,3,4,6,5,5,10,6,83,5.2,16.7,54,65.1,1
"Eric Ebron","TE","DET",1,3,5,7,4,4,3,"",6,4,3,7,4,4,11,7,8,6,86,5.4,15.1,53,61.6,4
"Ezekiel Elliott","RB","DAL",1,5,5,4,5,2,"",3,2,"","","","","","","",7,5,38,3.8,7.7,26,68.4,2
