NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Jonathan Taylor","RB","IND",1,7,1,5,3,"","",8,1,"",2,4,4,4,"",1,"","","",40,3.6,6.6,28,70,
"Kylen Granson","TE","IND",3,7,2,2,4,3,4,1,3,1,4,1,"",6,"",2,"","","",40,3.1,6.6,31,77.5,
"Kyle Pitts","TE","ATL",1,7,3,8,4,"",3,5,9,7,8,5,"","","","","","","",59,5.9,14.2,28,47.5,2
"Mark Andrews","TE","BAL",1,7,11,13,5,10,11,2,5,"","",8,7,7,6,7,5,9,"",113,7.5,23.2,73,64.6,5
"Mike Evans","WR","TB",1,7,4,"",10,8,4,15,11,11,6,"",9,4,9,10,8,12,"",128,8.5,16.9,77,60.6,6
"Saquon Barkley","RB","NYG",1,7,4,4,2,6,3,4,5,"",1,5,6,5,2,8,10,4,"",76,4.8,14.6,57,75,
"Tyler Boyd","WR","CIN",1,7,2,5,5,4,6,9,5,6,"",7,4,5,1,5,4,"",7,82,5.1,13.4,58,70.7,5
"Tyler Conklin","TE","NYJ",1,7,9,8,5,1,2,6,10,2,"",3,3,7,8,2,4,6,4,87,5.1,13.9,58,66.7,3
"T.J. Hockenson","TE","MIN",1,7,7,4,12,4,"",5,4,9,10,9,6,6,8,9,16,12,1,129,7.6,19.2,86,66.7,6
"Amari Cooper","WR","CLE",1,6,10,11,4,12,12,4,7,"",3,12,12,9,7,6,10,4,3,132,7.8,24.4,78,59.1,9
"AJ Dillon","RB","GB",2,6,3,3,2,"",6,"",1,4,"",1,4,3,"",3,3,1,3,43,2.5,7.6,28,65.1,
"Ashton Dulin","WR","IND",2,6,7,1,3,1,"","","","","","","",2,"",2,"","","",22,1.8,3.6,15,68.2,1
"Albert Okwuegbunam","TE","DEN",3,6,2,2,"",1,"","","","","","","","","","","",6,1,18,2.2,3.2,10,55.6,1
"Braxton Berrios","WR","NYJ",1,6,"",1,1,1,1,4,1,2,"",1,1,3,3,6,"",1,"",32,1.9,5.1,18,56.2,
"Ben Skowronek","WR","LAR",1,6,3,4,3,8,5,"",1,2,7,4,4,3,8,3,"","","",61,4.4,11.5,39,63.9,
"Chase Claypool","WR","CHI",1,6,6,6,2,9,7,8,6,6,2,3,5,6,"","","",1,6,79,5.3,21,46,58.2,1
"DJ Moore","WR","CAR",1,6,6,6,11,8,7,10,11,6,6,5,6,"",3,6,7,10,4,118,6.9,25.8,63,53.4,7
"Darren Waller","TE","OAK",1,6,8,5,5,"","","","","","","","","","",3,5,5,6,43,4.8,7.3,28,65.1,3
"Hunter Renfrow","WR","OAK",1,6,10,"","",4,"",3,2,4,"","","","","",3,7,4,7,50,5,8.5,36,72,2
"James Conner","RB","ARI",1,6,4,5,3,1,"","","",5,3,5,3,"",7,5,8,3,"",58,4.5,8.7,46,79.3,1
"Jauan Jennings","WR","SF",1,6,2,3,4,2,3,4,"","",4,2,7,4,2,5,3,3,2,56,3.5,10.9,35,62.5,1
"Jakobi Meyers","WR","NE",1,6,13,"","",8,4,2,12,6,"",6,4,5,"",6,7,9,7,95,6.9,17.8,67,69.8,6
"Logan Thomas","TE","WAS",1,6,5,3,6,"","","","",3,4,6,3,4,"",3,8,7,3,61,4.4,11,39,63.9,1
"Marquise Brown","WR","ARI",1,6,11,17,11,10,9,"","","","","",8,"",8,8,6,9,4,107,8.9,16.1,67,62.6,3
"Mecole Hardman Jr.","WR","KC",1,6,4,1,1,5,4,4,"",9,"","","","","","","","","",34,4.2,5.2,25,73.5,4
"Marvin Jones Jr.","WR","JAX",1,6,5,7,1,11,"",8,3,6,3,"",3,4,1,6,4,7,6,81,5.1,13.6,46,56.8,3
"Nyheim Hines","RB","BUF",4,6,5,6,2,2,"",5,2,1,1,1,"",2,1,1,2,"","",37,2.3,6.4,30,81.1,1
"Richie James","WR","NYG",2,6,6,5,3,2,2,2,"","","",3,6,3,9,5,12,7,"",71,4.1,13.5,57,81.4,4
"Zack Moss","RB","IND",2,6,1,1,"","","","","","","","","","","",1,1,"",3,13,1,2.2,11,84.6,
"Aaron Jones","RB","GB",1,5,3,4,4,3,4,10,5,2,2,7,4,5,"",5,2,3,4,72,4.2,12.8,59,81.9,5
"Cordarrelle Patterson","RB","ATL",2,5,1,1,"","","","","",1,1,2,5,"","",3,1,8,3,31,2.4,7.5,21,67.7,
"Dalvin Cook","RB","MIN","",5,6,"",2,2,1,"",6,6,5,1,5,3,2,4,4,3,1,56,3.3,8.3,39,69.6,2
"Darrell Henderson Jr.","RB","JAX","",5,"",1,4,5,3,"",2,1,1,"","","","","","","","",22,2.2,3.7,17,77.3,
"Dennis Houston","WR","DAL",5,5,1,"","","","","","","","","","","","","","","","",6,3,1.1,2,33.3,
"Gabe Davis","WR","BUF",1,5,"",6,3,6,6,"",7,5,9,7,5,7,4,6,6,"",10,92,6.2,16.2,48,51.6,7
"Jahan Dotson","WR","WAS",1,5,5,8,4,"","","","","",1,2,1,9,"",6,9,7,4,61,5.1,11,35,57.4,7
"Juwan Johnson","TE","NO",1,5,7,1,4,2,6,5,4,2,7,4,2,"","",6,2,7,1,65,4.1,12.7,42,64.6,7
"Julio Jones","WR","TB","",5,"","",2,"","","",4,5,5,"",4,6,8,"",2,2,"",43,4.3,5.7,24,55.8,2
"Jaylen Waddle","WR","MIA",1,5,19,6,5,3,10,5,9,7,5,"",10,5,4,7,6,5,5,116,6.9,20,75,64.1,8
"Mike Thomas","WR","CIN",3,5,"","","",3,"","",1,"","",1,"","","","","","","",10,1,1.6,2,20,
"Nelson Agholor","WR","NE",2,5,6,3,4,1,"",1,1,"","",3,8,3,10,6,"",1,1,53,3.3,9.8,31,58.5,2
"Rashod Bateman","WR","BAL",1,5,7,4,6,"","",5,1,"","","","","","","","","","",28,4.7,5.7,15,53.6,2
"Romeo Doubs","WR","GB",2,5,3,8,8,5,9,4,7,1,"","","","","",5,6,4,2,67,5.2,11.9,42,62.7,3
"Robert Tonyan","TE","GB",2,5,2,7,2,4,12,4,6,4,1,4,3,2,"",2,2,4,3,67,3.9,11.9,53,79.1,2
"Samaje Perine","RB","CIN",1,5,1,2,1,4,2,2,3,2,"",4,7,7,5,1,4,"",1,51,3.2,8.4,38,74.5,4
"Treylon Burks","WR","TEN",1,5,6,2,3,"","","","","",6,8,6,1,"","",2,8,7,54,4.9,11.8,33,61.1,1
"Austin Ekeler","RB","LAC",1,4,10,8,7,4,16,12,"",9,12,2,15,6,8,3,4,4,4,128,7.5,17.9,107,84.3,5
"A.J. Green","WR","ARI","",4,7,2,"",5,4,"",1,"",2,9,2,"",2,2,"",2,5,47,3.1,7.1,24,51.1,2
"Alvin Kamara","RB","NO",1,4,"",7,"",6,9,9,10,4,4,5,7,3,"",2,4,1,2,77,5.1,15,57,74,2
"Adam Thielen","WR","MIN",1,4,7,8,9,7,8,"",7,7,7,3,10,6,8,4,5,4,3,107,6.3,15.9,70,65.4,6
"Chase Edmonds","RB","DEN",3,4,3,1,3,2,2,2,"","",2,"","","","","",2,3,"",24,1.8,4.2,16,66.7,1
"Christian McCaffrey","RB","SF",1,4,5,4,9,12,8,2,9,"",6,7,6,10,3,8,2,9,3,107,6.4,21.1,85,78.7,5
"Christian Watson","WR","GB",1,4,3,"",3,1,"","",1,2,8,6,6,6,"",6,8,5,6,65,4.7,11.7,41,62.1,7
"DeAndre Carter","WR","LAC",1,4,3,4,3,2,5,7,"",6,4,3,10,2,2,2,"",3,5,65,3.8,9.1,46,70.8,3
"Devin Duvernay","WR","BAL",2,4,2,2,5,7,5,3,4,1,"",1,5,6,1,3,"","","",49,3.5,10,37,75.5,3
"Dallas Goedert","TE","PHI",1,4,6,4,6,9,5,"",6,9,3,"","","","","",3,6,7,68,5.8,12.9,55,79.7,3
"Dontrell Hilliard","RB","TEN","",4,"",1,4,5,"",2,1,1,2,1,3,2,"","","","","",26,2.2,5.7,21,80.8,4
"David Montgomery","RB","CHI",1,4,2,"","",4,1,"",3,2,1,4,4,5,"",3,4,3,"",40,2.5,10.6,34,85,1
"Demarcus Robinson","WR","BAL",6,4,2,1,3,2,5,"",8,4,"",9,4,8,6,6,1,3,9,75,4.4,15.4,48,64,2
"DeVonta Smith","WR","PHI",1,4,7,12,4,11,5,"",8,2,8,9,9,8,8,8,12,13,8,136,8,25.4,95,69.9,7
"Eno Benjamin","RB","NO",4,4,4,4,1,4,3,5,7,1,"","","","","","","",1,"",34,2.3,6.6,25,73.5,
"Evan Engram","TE","JAX",1,4,8,3,1,10,6,7,6,2,4,"",1,7,15,10,8,2,4,98,5.8,16.4,73,74.5,4
"Gerald Everett","TE","LAC",1,4,10,6,6,3,7,9,"",8,2,"",4,6,8,6,"",3,5,87,5.4,12.2,58,66.7,4
"Geoff Swaim","TE","TEN","",4,"",3,"",1,"",1,"","",1,1,1,1,"","",1,1,1,16,0.9,3.5,12,75,1
"Harrison Bryant","TE","CLE",2,4,4,"",6,1,4,2,"","",3,7,2,1,1,2,"",3,2,42,2.5,7.8,31,73.8,1
"Isaiah Likely","TE","BAL",2,4,5,2,"",2,4,1,7,5,"",3,"",4,"",3,2,5,13,60,3.8,12.3,36,60,3
"Jamison Crowder","WR","BUF",2,4,2,3,4,"","","","","","","","","","","","","","",13,3.2,2.3,6,46.2,
"Jerick McKinnon","RB","KC",3,4,2,1,1,3,3,3,"",8,8,1,6,2,9,8,3,6,3,71,4.2,10.9,56,78.9,9
"Joshua Palmer","WR","LAC",2,4,8,9,1,6,12,"","",10,8,10,7,11,6,5,3,1,6,107,6.7,15,72,67.3,3
"Jonnu Smith","TE","NE",2,4,3,4,"","",2,3,4,4,"",4,"",2,2,3,4,"","",39,2.7,7,27,71.1,
"Keenan Allen","WR","LAC",1,4,"","","","","",2,"","","",8,7,14,14,9,14,6,11,89,8.9,12.5,66,74.2,4
"Kenneth Gainwell","RB","PHI",2,4,2,"",2,"","","",1,3,2,"",1,4,1,2,4,2,1,29,1.7,5.4,23,79.3,
"Kareem Hunt","RB","CLE","",4,2,4,3,3,1,2,4,"",1,2,2,3,4,1,3,1,4,44,2.6,8.1,35,79.5,1
"K.J. Osborn","WR","MIN",1,4,2,8,2,5,5,"",5,2,11,3,2,3,5,16,4,7,6,90,5.3,13.4,60,66.7,5
