NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Ryan Griffin","TE","CHI","",2,1,"","",1,1,1,"","","","","","","","",1,1,"",8,0.5,2.1,4,50,
"Ray-Ray McCloud III","WR","SF",1,2,2,1,3,"",1,4,2,"",1,1,1,"",1,3,1,2,"",25,1.5,4.9,14,56,1
"Rhamondre Stevenson","RB","NE",1,2,2,5,5,2,5,8,8,7,"",6,10,8,3,3,5,4,6,89,5.2,16.3,69,78.4,1
"Rachaad White","RB","TB",1,2,2,"",5,4,4,2,3,3,"","",9,8,5,2,4,5,"",58,3.4,7.7,50,86.2,2
"Robert Woods","WR","TEN",1,2,5,9,4,8,"",4,2,2,7,7,6,5,7,4,4,9,5,90,5.4,20,53,58.2,2
"Tee Higgins","WR","CIN",1,2,10,7,9,"",10,7,6,8,"",13,9,5,"",8,9,"",7,110,6.8,17.9,74,67.9,7
"Tyler Kroft","TE","SF",4,2,"","","","","","",1,"","","","",1,"",1,"","","",5,0.5,1,4,80,
"Tony Pollard","RB","DAL",1,2,7,1,3,"",3,2,1,"",6,6,2,3,5,5,8,"",1,55,3.4,9.9,39,70.9,3
"Trent Sherfield","WR","MIA",1,2,2,1,6,2,4,3,3,3,5,"",5,3,4,1,2,6,"",52,3,8.7,30,58.8,2
"Zach Gentry","TE","PIT",2,2,"","",1,6,1,2,1,"",1,3,1,1,1,1,1,"",1,23,1.4,4,19,82.6,
"Ameer Abdullah","RB","OAK",2,1,1,"","","","",2,5,3,4,4,3,1,2,2,2,"",2,32,1.9,5.5,25,78.1,1
"Armani Rogers","TE","WAS",3,1,"","","","","",3,2,"","","","","","","","","","",6,0.5,1.1,5,83.3,
"Avery Williams","RB","ATL",1,1,1,"","",2,1,1,2,1,"","","","","",2,2,1,"",14,0.8,3.4,13,92.9,
"Bryan Edwards","WR","ATL",6,1,2,"","",1,"","",1,"","","","","","","","","","",5,0.7,1.2,3,60,
"Ben Ellefson","TE","MIN","",1,"",2,"","","","","","","","","","","","","","","",3,0.8,0.4,3,100,
"Brandon Powell","WR","LAR",2,1,1,3,"","",5,"","",1,1,2,2,4,2,2,3,2,3,32,1.9,6,24,75,
"Cody Hollister","WR","TEN","",1,"","","","","",2,1,1,"","","","","","","","","",5,0.5,1.1,3,60,
"Cole Kmet","TE","CHI",1,1,1,3,3,4,3,3,2,6,7,4,6,7,"",5,6,3,5,69,4.1,18.3,50,72.5,7
"Chris Myarick","TE","NYG",1,1,"",1,"",1,"",2,1,"",1,"",1,"","","","","","",8,0.5,1.5,7,87.5,1
"Chigoziem Okonkwo","TE","TEN",1,1,"","",3,1,"",1,2,3,2,2,5,5,6,5,2,4,4,46,2.7,10.1,32,69.6,3
"Cam Sims","WR","WAS",8,1,2,"","",2,2,2,2,1,1,1,"",2,"","","",1,1,18,1.1,3.2,8,44.4,
"Demetric Felton Jr.","RB","CLE",1,1,1,"","","","","","","","","","",1,"",1,"","","",4,0.5,0.7,2,50,
"Deonte Harty","WR","NO",1,1,1,"","","","","","","","","","","","","","","","",2,0.5,0.4,2,100,
"Derrick Henry","RB","TEN",1,1,"",6,5,2,"",3,1,"",3,2,3,3,5,4,2,"",1,41,2.6,9,33,80.5,
"Dax Milne","WR","WAS",1,1,1,1,"","",1,1,1,1,"","","","","","","","","",7,0.5,1.3,6,85.7,1
"David Njoku","TE","CLE",1,1,5,10,7,6,6,7,"","","",3,7,"",9,6,5,3,5,80,5.7,14.8,58,72.5,4
"Dante Pettis","WR","CHI",3,1,"","",3,2,7,1,5,1,1,"",2,2,"",4,5,1,6,41,2.4,10.9,19,46.3,3
"Dameon Pierce","RB","HOU",1,1,1,2,6,5,"",4,5,"",3,3,6,3,"","","","","",39,3,6.7,30,76.9,1
"Drew Sample","TE","CIN",2,1,1,"","","","","","","","","","","","","","","","",2,1,0.3,2,100,
"Eric Saubert","TE","DEN",1,1,2,1,2,7,"",1,"","",1,2,"","",2,2,"",3,"",24,1.4,4.2,15,62.5,1
"Eric Tomlinson","TE","DEN","",1,"","","",1,1,2,"","",1,"","","",3,3,"","",1,13,0.8,2.3,9,69.2,2
"Jamal Agnew","WR","JAX",1,1,1,1,6,1,1,"","","",4,"",5,1,3,3,1,1,1,30,2,5,23,76.7,3
"John Bates","TE","WAS",2,1,3,1,6,3,"","",1,2,"",1,4,"","","","","","",22,1.4,4,14,63.6,1
"Jody Fortson","TE","KC",4,1,1,"",1,"","",2,"","",1,2,3,1,"",1,"","","",13,1,2,9,69.2,2
"Jalen Guyton","WR","LAC",2,1,"",3,"","","","","","","","","","","","","","","",4,1.3,0.6,2,50,
"Josh Jacobs","RB","OAK",1,1,1,6,6,5,"",4,4,3,8,4,7,2,2,3,1,5,3,65,3.8,10.9,53,82.8,
"Jaylen Warren","RB","PIT",3,1,1,1,1,5,"",2,3,"",3,1,"",2,3,1,2,3,4,33,2.1,5.8,28,84.8,
"Justin Watson","WR","KC",2,1,2,1,1,1,1,2,"",5,1,4,2,1,2,2,4,2,2,34,2,5.2,15,44.1,2
"Juwann Winfree","WR","GB",9,1,"",2,"","",1,"","","","","","","","","","","","",4,1.3,0.7,1,25,
"Kendrick Bourne","WR","NE",1,1,3,5,3,1,1,"",1,4,"",1,4,2,5,1,9,2,5,48,3,8.9,35,72.9,1
"Kenyan Drake","RB","BAL","",1,"","","",1,2,1,4,2,"",4,1,3,2,"","","",5,26,2.2,5.3,17,65.4,1
"KJ Hamler","WR","DEN",2,1,"","",1,2,3,4,3,"","","","","","","","","","",14,2,2.5,7,50,
"Khalil Herbert","RB","CHI",2,1,1,2,1,"","",2,"","","","","","","","",3,"",2,12,0.9,3.2,9,75,1
"Lawrence Cager","TE","NYG",3,1,"","","","","","",1,"",2,3,2,"","","","","",10,19,2.7,3.7,13,68.4,1
"Mike Boone","RB","DEN",3,1,"",1,3,3,4,"","","","","","",1,2,"","","","",15,1.7,2.6,9,60,
"Miles Boykin","WR","PIT",2,1,"","","",1,"","","","","","","","","",1,"","","",3,0.2,0.5,2,66.7,
"Mike Gesicki","TE","MIA",2,1,4,1,4,2,7,7,4,2,3,"",1,1,2,1,2,4,6,52,3.1,8.9,32,61.5,5
"Mack Hollins","WR","OAK",1,1,8,10,5,4,"",3,8,4,6,9,5,9,4,8,2,4,3,93,5.5,16,57,60.6,4
"Mark Ingram II","RB","NO","",1,2,"",3,"",2,3,1,"","","",1,5,"","","","","",18,1.8,3.5,16,88.9,
"Nick Chubb","RB","CLE",1,1,3,1,3,1,2,3,1,"",4,3,1,1,3,2,1,1,6,37,2.2,6.9,27,73,1
"Noah Togiai","TE","PHI",3,1,"","","","","","","","","","","","","","","","","",1,0.5,0.2,0,0,
"Pharaoh Brown","TE","CLE",2,1,5,4,"","",3,"","","",5,1,"",1,"","","","","",20,1.2,3.7,12,60,
"Phillip Dorsett","WR","HOU",2,1,"",1,2,"","",3,5,5,4,1,2,3,3,1,3,6,"",40,2.7,6.9,20,50,1
"Raheem Mostert","RB","MIA",1,1,3,2,3,3,2,5,1,2,4,"","","",1,2,3,8,2,42,2.6,7.2,31,73.8,2
"Richard Rodgers","TE","LAC","",1,"","","","","","","",1,1,"","","","","","","","",3,0.4,0.6,1,25,
"Skyy Moore","WR","KC",2,1,"","",4,3,3,1,"",1,1,6,6,"",2,"",1,4,"",33,2.1,5.1,22,66.7,
"Tutu Atwell","WR","LAR",2,1,"",1,"",2,"","","","","",1,2,5,9,4,2,5,3,35,2.7,6.6,18,51.4,1
"Tyler Davis","TE","GB",3,1,1,2,"",2,"","","","","","",1,"","","","","","",7,0.4,1.2,4,57.1,
"Taysom Hill","TE","NO",2,1,"","","","","",1,2,1,"",1,2,3,"","","",1,1,13,0.8,2.5,9,69.2,2
"Tommy Tremble","TE","CAR",3,1,"",1,6,1,"",1,4,4,1,"",2,"",2,3,2,3,1,32,1.9,7,19,59.4,3
"Tylan Wallace","WR","BAL",8,1,2,"","",2,1,"","","","","","","","","","","",1,7,0.8,1.4,4,57.1,
"Wan'Dale Robinson","WR","NYG",3,1,"","","","",4,8,3,"",2,13,"","","","","","","",31,5.2,6,23,74.2,1
"Zach Pascal","WR","PHI",1,1,2,3,1,"","","",2,1,2,1,"",3,1,1,1,"","",19,1.1,3.5,15,78.9,1
"Andre Baccellia","WR","ARI",3,"",2,4,"","","","","","","","",1,"","","","",2,1,10,1.2,1.5,7,70,
"Alex Erickson","WR","WAS","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Allen Lazard","WR","GB",1,"",3,6,8,8,9,7,"",10,4,11,3,6,"",2,11,6,6,100,6.7,17.8,60,60,6
"Alexander Mattison","RB","MIN",1,"",5,1,1,4,"","","",1,1,1,"",2,"","","",1,1,18,1.1,2.7,15,83.3,1
"Anthony McFarland Jr.","RB","PIT",2,"","","","","","","","","","","",2,"","","","","","",2,2,0.4,2,100,
"Andre Roberts","WR","CAR","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Amari Rodgers","WR","HOU",3,"","","","","",1,3,3,1,"","","","",5,3,2,2,4,24,1.6,4.3,16,64,1
"Austin Trammell","WR","LAR",3,"","","","","","","","","","","","",2,2,"","","","",4,0.7,0.8,2,50,
"Adam Trautman","TE","NO",2,"","",1,3,3,1,"","",1,3,3,1,3,"",1,"",1,1,22,1.5,4.3,18,81.8,1
"Antonio Williams","RB","NYG","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Blake Bell","TE","KC",3,"","","","","","","","","","","","","","","","",1,1,2,0.7,0.3,2,100,1
"Brittain Brown","RB","OAK",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Britain Covey","WR","PHI",1,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Brycen Hopkins","TE","LAR",2,"","","","","","","","",1,2,"",2,"",1,"",3,1,1,11,0.8,2.1,7,63.6,
"Brandon Johnson","WR","DEN",11,"","","","","","","","","","",2,4,"",4,4,"","","",14,2,2.5,6,42.9,1
"Brian Robinson","RB","WAS",1,"","","","","","",2,"",2,"","",3,2,"",1,1,1,"",12,1,2.2,9,75,1
"Braylon Sanders","WR","MIA",9,"","","","","","","",2,"","","","","","",1,"","","",3,1,0.5,2,66.7,
"Boston Scott","RB","PHI",1,"",1,"","","","","","","","",2,"",1,1,"","",1,"",6,0.4,1.1,5,83.3,
"Benny Snell Jr.","RB","PIT","","","","","","","","","","","","",1,1,"","","","","",2,0.1,0.4,2,100,
"Binjimen Victor","WR","BAL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Brock Wright","TE","DET",2,"",1,"","","","",4,1,1,1,2,3,2,1,2,1,4,1,24,1.4,4.1,18,75,4
"Brandon Zylstra","WR","DET","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Cam Akers","RB","LAR",1,"",3,"",1,1,"","","","",1,"","",1,1,3,2,2,3,18,1.2,3.4,13,72.2,
"Chase Allen","TE","CHI","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Cole Beasley","WR","BUF","","","",4,1,"","","","","","","","","","",1,1,"","",7,1.8,1.2,6,85.7,
"C.J. Board","WR","TEN","","","","","","","","","","","","","",1,"","","","","",1,0.2,0.2,1,100,
"Cethan Carter","TE","MIA","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Corey Clement","RB","ARI",2,"","","","","","","","","","","",1,"",1,"","",1,4,7,0.8,1.1,5,71.4,
"Chris Evans","RB","CIN",1,"","",1,1,"","","",1,"","","","",1,"","","","","",4,0.3,0.7,3,75,1
"Connor Heyward","TE","PIT",1,"","","","",2,3,1,"","",2,"","",1,1,"",3,"",4,17,1,3,12,70.6,1
"Chuba Hubbard","RB","CAR",1,"","","","","",1,3,"","","",3,"","",3,3,"",3,1,17,1.1,3.7,14,82.4,
"Caleb Huntley","RB","ATL",4,"","","","","","","","","","",1,1,"","","","","","",2,0.2,0.5,2,100,
"Cade Johnson","WR","SEA",2,"","","","","","","","","","","","","","","","",2,2,4,1.3,0.7,2,50,
"Charlie Kolar","TE","BAL",3,"","","","","","","","","","","","","","","","","",6,6,3,1.2,4,66.7,
"Chris Manhertz","TE","JAX",2,"","","",1,2,"","",1,2,"","","",1,1,"","","","",8,0.5,1.3,6,75,
"Cade Otton","TE","TB",1,"",2,"",4,7,3,5,5,6,3,"","",10,5,1,7,6,1,65,4.1,8.7,42,64.6,2
"Cornell Powell","WR","KC",10,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Craig Reynolds","RB","DET",3,"",1,1,1,3,"",3,1,"","","","","","","","","","",10,1.1,1.7,9,90,
"Chester Rogers","WR","CLE","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Cole Turner","TE","WAS",3,"","","","",3,2,2,"","","",1,1,"","","","","","",9,0.9,1.6,2,22.2,
"C.J. Uzomah","TE","NYJ",2,"","",1,"",2,2,2,1,3,"","",3,1,2,2,1,7,"",27,1.8,4.3,21,77.8,2
"Cody White","WR","PIT",2,"","","","","","","","","","","",1,"","","","","","",1,1,0.2,1,100,
"Charlie Woerner","TE","SF",3,"","","",1,"",1,"","","","","","","","","","","","",2,0.1,0.4,0,0,
"Dan Arnold","TE","JAX",2,"",1,"",1,2,"",1,1,1,1,"","","",3,"",1,1,"",13,0.8,2.2,9,69.2,
"Devin Asiasi","TE","CIN",2,"","","",1,"","","","",1,"","","","","","",2,"","",4,0.3,0.7,2,50,
"Daylen Baldwin","WR","CLE",10,"","","","","","","","","","","","","","",2,"","","",2,2,0.4,2,100,
"David Bell","WR","CLE",2,"",1,1,3,1,2,1,2,"",5,5,6,1,3,"",2,"",2,35,2.2,6.5,24,68.6,
"Daniel Bellinger","TE","NYG",2,"",1,5,3,3,5,1,"","","","","",5,3,4,2,3,"",35,2.9,6.7,30,85.7,2
"Dyami Brown","WR","WAS",2,"","","",4,4,1,"","",1,1,"",1,"","",2,"","","",14,0.9,2.5,5,35.7,2
"Damiere Byrd","WR","ATL",3,"","","",1,1,"",1,6,1,4,2,"",1,"",1,2,2,1,23,1.6,5.5,13,56.5,2
"Dan Chisena","WR","MIN",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"DeeJay Dallas","RB","SEA",1,"","",2,"",1,"",2,"","","","",2,1,"","",6,4,1,19,1.3,3.3,17,89.5,
"Darrynton Evans","RB","CHI","","","","","","","","","","","","",1,"","","","","","",1,0.2,0.3,1,100,
"Dez Fitzpatrick","WR","TEN",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"D'Onta Foreman","RB","CAR",1,"","","","","","",2,1,3,1,1,"","",1,"","","","",9,0.5,2,5,55.6,
"Danny Gray","WR","SF",5,"",2,"","",2,"",2,"","","","","","",1,"","","","",7,0.5,1.4,1,14.3,
"DeAndre Hopkins","WR","ARI","","","","","","","",14,13,5,14,12,6,"",11,11,10,"","",96,10.7,14.5,64,66.7,3
"DeSean Jackson","WR","BAL","","","","","","","","","",2,"","",3,3,2,3,2,2,"",17,2.4,3.5,9,52.9,
"Deon Jackson","RB","IND",3,"","","","",4,10,"","",3,"",4,"",1,"",1,3,"",8,34,2.1,5.6,30,88.2,1
"D'Ernest Johnson","RB","CLE",3,"","","","","",2,"","","",1,"","","","","","","","",3,0.2,0.6,3,100,
"David Johnson","RB","NO","","","","","","","","","","","",1,"","","","",1,"",2,4,0.8,0.8,4,100,
"Duke Johnson","RB","BUF","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Denzel Mims","WR","NYJ",2,"","","","","","",2,3,4,"",6,1,1,5,2,"",1,"",25,2.5,4,11,44,
"Dare Ogunbowale","RB","HOU",4,"","","","","","",7,1,"",1,1,2,3,2,"","",3,6,26,1.5,4.5,20,76.9,
"Devine Ozigbo","RB","DEN","","","","","","","","","","","","",1,"","","","","","",1,0.2,0.2,1,100,
"Donald Parham Jr.","TE","LAC",4,"","","","",1,3,"","","","","","","","",3,2,1,2,12,2,1.7,10,83.3,1
"Dezmon Patmon","WR","IND",7,"",6,"","","","","","","","","","","","","","","","",6,6,1,2,33.3,
"D'Vonte Price","RB","IND","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"David Sills V","WR","NYG",3,"",4,4,2,2,2,1,2,"","","","","","","","","","",17,1.9,3.3,11,64.7,
"Darius Slayton","WR","NYG",1,"","","",2,7,3,6,6,"",4,10,6,8,3,7,6,3,"",71,4.4,13.7,46,64.8,2
"Deven Thompkins","WR","TB",1,"","","","","","","","","","","","","","",1,"","",9,10,2,1.3,5,50,
"DJ Turner","WR","OAK",11,"","","","","","","","","","","","","",1,"","","","",1,0.1,0.2,0,0,
"Dwayne Washington","RB","NO","","","","","","","","","",1,"","","","","","","","","",1,0.1,0.2,1,100,
"Darrel Williams","RB","ARI","","",3,1,1,"","","",3,"","","","","","","","","","",8,1.3,1.2,4,50,
"Damien Williams","RB","ATL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Dareke Young","WR","SEA",2,"","","","","","","","","","","","","","","","","",2,2,0.2,0.3,2,100,
"Erik Ezukanma","WR","MIA",3,"","","","","","","","","","","","","","","","","",1,1,1,0.2,1,100,
"Ethan Fernea","WR","IND","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Elijah Mitchell","RB","SF",2,"","","","","","","","","",2,"",2,"","","","","","",4,0.8,0.8,3,75,
"Frank Darby","WR","ATL",2,"","","","","","","","","","","","","","","","","",1,1,0.2,0.2,1,100,
"Feleipe Franks","TE","ATL",4,"","","","",2,"","","","","","","","","","","","","",2,0.2,0.5,0,0,
"Foster Moreau","TE","OAK",3,"",4,5,"","","",5,9,5,4,3,7,3,1,2,3,3,1,55,3.6,9.2,33,61.1,2
"Freddie Swain","WR","DEN",3,"","","","","","","","","","","","","","",1,2,"",3,6,1.5,1.1,4,66.7,
"Giovani Bernard","RB","TB","","","","","","","","","","","","","","","","","","",2,2,0.2,0.3,2,100,
"Gary Brightwell","RB","NYG",1,"","","","","","","","","","","",2,"",3,"","","",3,8,0.5,1.5,5,62.5,
"Grant Calcaterra","TE","PHI",4,"","",1,"","","","","","","","",1,1,4,2,"","","",9,0.6,1.7,5,55.6,
"Greg Dulcich","TE","DEN",1,"","","","","",3,9,5,"",4,5,3,8,8,2,8,"","",55,5.5,9.6,33,60,2
"Gus Edwards","RB","BAL",2,"","","","","","",1,"","","","",1,"","","","","","",2,0.2,0.4,0,0,
"Garrett Griffin","TE","DET","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Godwin Igwebuike","RB","SEA","","","","","","","","","","","","","","","","","",1,"",1,0.2,0.2,1,100,
"George Kittle","TE","SF",1,"","",5,4,6,10,9,5,"",2,6,4,3,5,5,8,8,6,86,5.7,16.8,60,69.8,11
"Gunner Olszewski","WR","PIT",1,"","","","","","","","","",1,3,"","",2,1,"","","",7,0.4,1.2,5,71.4,
"Giovanni Ricci","TE","CAR",1,"",1,2,"",3,"","","",1,1,"","","","","","",1,"",9,0.6,2,8,88.9,
"Hassan Haskins","RB","TEN",2,"",1,"","","","",1,"",1,"","","","","",2,2,3,2,12,0.8,2.6,11,91.7,
"Hunter Long","TE","MIA",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Isaiah Hodgins","WR","NYG",1,"","","","",6,"","","","",2,3,4,6,6,4,11,5,"",47,4.8,9.2,37,77.1,4
"Isiah Pacheco","RB","KC",2,"","","","","",2,"","",1,"","",1,2,3,1,2,2,"",14,0.8,2.2,13,92.9,
"Ihmir Smith-Marsette","WR","KC",3,"","","",1,2,1,"","","","","","","","","","","","",4,0.5,0.6,1,25,
"Isaiah Spiller","RB","LAC",3,"","","","","","","","","","",2,1,"","","","","","",3,0.5,0.4,3,100,
"Jordan Akins","TE","HOU",3,"","",4,2,2,"",4,2,1,3,3,5,6,2,6,3,3,8,54,3.6,9.3,37,68.5,5
"Josh Ali","WR","ATL",7,"","","","","","","","","","","","","","","","","",1,1,1,0.2,0,0,
"Jared Bernhardt","WR","ATL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"John Brown","WR","BUF","","","","","","","","","","","","","","",1,"","","",1,2,0.7,0.3,1,50,1
"Jalen Camp","WR","HOU",9,"","","","","","","","",1,"","","","","","","","","",1,0.5,0.2,1,100,
"Julius Chestnut","RB","TEN",1,"","","","","","","","","","","","","",2,"","",1,"",3,0.5,0.7,3,100,
"James Cook","RB","BUF",2,"",1,5,1,"","","",1,4,"",2,5,6,1,3,2,"",2,33,2,5.6,21,65.6,1
"Jaelon Darden","WR","CLE",3,"","",1,"","","",1,"","","","","","","","","","","",2,0.1,0.4,2,100,
"J.K. Dobbins","RB","BAL",1,"","",2,4,"","","","","","","","","","",1,1,"","",8,1,1.6,7,87.5,1
"Jake Ferguson","TE","DAL",1,"","",3,1,"",6,1,1,"","",2,3,2,"","",1,1,1,22,1.4,4,19,86.4,2
"Jerome Ford","RB","CLE",1,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jake Funk","RB","IND",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Josh Gordon","WR","TEN","","",1,"","","","","","","","","","","","","","","","",1,0.5,0.2,0,0,
"Jacob Harris","WR","LAR",10,"","","","","","","","","","","",1,"","","","","","",1,0.1,0.2,1,100,
"JaMycal Hasty","RB","JAX",4,"","",1,2,"","","",4,1,2,"",5,"","",1,3,6,1,26,1.5,4.4,20,76.9,1
"Jacob Hollister","TE","OAK","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"J.P. Holtz","TE","NO","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jesper Horsted","TE","OAK",4,"","","","",3,"","",1,"","","","","","","","","","",4,0.3,0.7,3,75,
"Jordan Howard","RB","NO","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Justin Jackson","RB","DET","","","","",2,1,"","","","",3,1,2,5,1,2,1,"",1,19,1.2,3.2,12,63.2,1
"Jesse James","TE","CLE",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Johnny Johnson III","WR","HOU",10,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"John Kelly Jr.","RB","CLE",4,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jake Kumerow","WR","BUF","","",3,2,"","","","",1,1,"","","","","","","","","",7,1.2,1.2,4,57.1,
"Jordan Mason","RB","SF",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"James Mitchell","TE","DET",3,"","","","","","","",1,2,1,"",1,"","",2,2,1,1,11,0.8,1.9,11,100,1
"Jason Moore Jr.","WR","LAC","","","","","","","",2,"","","","","","","","","","","",2,0.3,0.3,1,50,
"Jalen Nailor","WR","MIN",1,"","","",1,"","","","","","",3,"","","",1,"",3,5,13,0.9,1.9,9,69.2,1
"Josh Oliver","TE","BAL",2,"","",2,"",1,3,1,1,2,"",1,6,"","",2,3,1,1,24,1.5,5.1,14,56,2
"Jaret Patterson","RB","WAS",3,"","","","","","","","","","","","","","","","","",1,1,0.3,0.2,0,0,
"Jared Pinkney","TE","LAR","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"James Proche II","WR","BAL",1,"","","","",2,"","",4,2,"",2,"",2,"",2,"","",3,17,1.1,3.5,8,47.1,
"Jalen Reagor","WR","MIN",2,"",2,1,1,1,"","","","","",1,1,1,1,2,"","",2,13,0.8,1.9,8,61.5,1
"Jeremy Ruckert","TE","NYJ",4,"",1,"","","","","","","","","","","","","","","",1,2,0.2,0.3,1,50,
"Jeff Smith","WR","NYJ",3,"",1,"",1,1,"",1,1,1,"","","","","",5,"","","",11,1,1.8,8,72.7,
"Jack Stoll","TE","PHI",3,"","",2,"","",1,"",1,2,1,1,"",3,2,1,"","","",14,0.8,2.6,11,78.6,
"J.J. Taylor","RB","NE",5,"","","","","","","","",1,"","","","","","","","","",1,1,0.2,1,100,
"Jalen Tolbert","WR","DAL",2,"","",2,"","","","","","","",1,"","","","","","","",3,0.4,0.5,2,66.7,
"Jake Tonges","TE","CHI",3,"","",1,"","","","","","","","","","","","","","","",1,0.2,0.3,0,0,
"Jalen Virgil","WR","DEN",3,"","","","","","","","","",1,"",2,"",1,"",1,"","",5,0.6,0.9,2,40,1
"Jonathan Ward","RB","TEN",5,"","","","","","","","","","","","","","","","",1,2,3,0.4,0.7,2,66.7,
"James Washington","WR","DAL",2,"","","","","","","","","","","","","",1,"","","","",1,0.5,0.2,0,0,
"Jordan Wilkins","RB","IND","","","","","","","","","",5,"","","","","","",1,2,"",8,2,1.3,6,75,
"Jameson Williams","WR","DET",2,"","","","","","","","","","","","",1,2,1,1,3,1,9,1.5,1.5,1,11.1,1
"Jonathan Williams","RB","WAS",4,"","","","","","","","","","","","","","","",3,5,2,10,0.8,1.8,7,70,
"Javon Wims","WR","ARI","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jelani Woods","TE","IND",2,"","",3,1,1,3,2,"",3,"","",9,4,"",1,5,4,4,40,2.7,6.6,25,62.5,3
"Kendall Blanton","TE","LAR",5,"","",1,1,"","","","","","","","","","","","","","",2,0.5,0.4,2,100,
"Keelan Cole Sr.","WR","OAK",2,"","",4,"","","","",4,"",2,2,2,"",1,2,1,"",2,20,1.5,3.6,10,47.6,1
"Keke Coutee","WR","IND",10,"","","","","","","","","",1,"","","","","","","","",1,0.1,0.2,1,100,
"Kaylon Geiger","WR","TB",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kevin Harris","RB","NE",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kylin Hill","RB","GB","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kendall Hinton","WR","DEN",3,"",1,1,3,"",1,1,"","",5,3,9,1,6,"","",2,"",33,2.8,5.8,24,72.7,
"Keaontay Ingram","RB","ARI",2,"","","","","","",2,"","","","","","","","","","",3,5,0.4,0.8,4,80,
"Ko Kieft","TE","TB",2,"","","",1,"","",1,1,2,"","",1,2,1,"","",1,"",10,0.6,1.3,7,70,1
"Keith Kirkwood","WR","NO",2,"","","","",1,1,"","","","","","","","","",2,"","",4,0.8,0.8,2,50,
"Kwamie Lassiter II","WR","CIN",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kyric McGowan","WR","WAS",7,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kirk Merritt","WR","NO",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kene Nwangwu","RB","MIN",1,"","","","","","","","","","",1,"","","","","","",1,2,0.1,0.3,2,100,
"Kevin Rader","TE","TEN",4,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kyle Rudolph","TE","TB","","","",1,"",1,"",1,1,"","","","","","","","","",1,5,0.6,0.7,3,60,1
"Khalil Shakir","WR","BUF",2,"",2,"",2,5,2,"",2,"",2,"","",1,1,"",1,"",2,20,1.4,3.5,10,50,1
"Kadarius Toney","WR","KC",1,"",3,"","","","","","",2,5,1,"","","",1,2,4,2,20,2.2,3.1,16,80,2
"KaVontae Turpin","WR","DAL",1,"","","","","",1,"","","",1,"","","","","","","","",2,0.1,0.4,1,50,
"Ke'Shawn Vaughn","RB","TB",2,"","","","","","","","",1,1,"","","","","","","",2,4,0.3,0.5,3,75,
"Kenneth Walker III","RB","SEA",1,"",3,3,1,"",3,"",2,4,8,"",1,1,"",5,2,1,1,35,2.3,6.1,27,77.1,
"Kevin White","WR","NO","","","","","","",1,1,"",1,2,"","","","","","","","",5,0.7,1,2,40,
"Kyren Williams","RB","LAR",2,"","","","","","","","","",3,2,3,1,2,"",1,"","",12,1.2,2.3,9,75,
