NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Julio Jones","WR","ATL",1,19,9,6,12,9,14,12,"",10,11,9,14,8,11,8,5,13,170,10.6,28.3,113,66.5,8
"Michael Thomas","WR","NO",3,17,13,10,4,5,"",9,6,15,8,4,6,8,13,9,13,7,147,9.2,26.7,125,85,9
"Antonio Brown","WR","PIT",1,16,17,9,11,13,6,"",8,11,6,13,13,13,7,7,19,"",168,11.2,25.6,104,61.9,15
"Golden Tate","WR","PHI","",15,13,8,8,7,"",6,12,"",4,8,8,7,3,5,3,6,113,7.5,21.5,74,65.5,4
"Jarvis Landry","WR","CLE",1,15,7,15,10,10,10,15,12,7,5,"",5,9,4,8,8,9,149,9.3,28,81,54.4,4
"Odell Beckham Jr.","WR","NYG",1,15,9,10,11,14,10,11,11,"",11,4,9,9,"","","","",124,10.3,28.6,77,62.1,6
"Corey Davis","WR","TEN",1,13,7,4,15,6,4,7,"",10,10,4,4,7,3,6,5,7,112,7,26.4,65,58,4
"Melvin Gordon III","RB","LAC",1,13,7,4,10,4,4,"","",4,6,6,2,"","","",3,3,66,5.5,17.2,50,75.8,4
"Alvin Kamara","RB","NO",1,12,6,20,9,4,"",2,8,5,5,1,1,11,6,9,6,"",105,7,20.1,81,77.1,4
"Adam Thielen","WR","MIN",1,12,13,19,12,10,15,10,7,7,"",12,9,10,7,2,6,4,155,9.7,28.2,113,72.9,9
"Jared Cook","TE","OAK",1,12,4,6,13,6,2,"",5,2,9,6,5,8,10,5,3,5,101,6.3,18.1,68,67.3,6
"Kenny Golladay","WR","DET",1,12,9,7,4,9,"",2,1,4,13,14,8,8,4,8,15,"",119,7.9,20.4,70,58.8,5
