name,MISC_FPTS
travis-kelce,243.1
zach-ertz,222.3
george-kittle,214.7
eric-ebron,189.2
jared-cook,159.6
austin-hooper,127.5
trey-burton,120.1
kyle-rudolph,119.4
david-njoku,115.9
vance-mcdonald,108.0
rob-gronkowski,107.7
evan-engram,103.8
oj-howard,103.5
jimmy-graham,103.1
chris-herndon-iv,93.7
jordan-reed,92.8
mark-andrews,90.2
cj-uzomah,83.4
cameron-brate,77.9
dallas-goedert,73.9
gerald-everett,70.1
benjamin-watson,69.5
jesse-james,69.3
greg-olsen,66.6
ian-thomas,63.3
vernon-davis,63.2
blake-jarwin,62.2
antonio-gates,61.3
nick-vannett,59.4
ricky-seals-jones,57.3
jeff-heuerman,55.6
jordan-thomas,55.5
jonnu-smith,53.8
tyler-higbee,53.2
rhett-ellison,47.7
jack-doyle,47.5
geoff-swaim,43.2
matt-lacosse,43.0
levine-toilolo,42.8
ryan-griffin,42.5
demetrius-harris,40.4
ed-dickson,39.2
jason-croom,38.9
anthony-firkser,38.0
virgil-green,36.5
luke-stocker,36.0
darren-fells,35.2
james-oshaughnessy,33.4
nick-boyle,32.8
michael-roberts,32.5
josh-hill-te,32.5
lance-kendricks,32.5
will-dissly,31.6
tyler-eifert,31.4
jordan-akins,31.0
erik-swoope,30.7
lee-smith,30.3
mike-gesicki,29.2
maxx-williams,29.1
mo-alie-cox,28.8
hayden-hurst,28.8
dan-arnold,27.0
charles-clay,26.9
jordan-leggett,24.4
garrett-celek,23.5
mycole-pruitt,20.7
austin-seferian-jenkins,20.5
logan-paulsen,19.6
scott-simonson,19.1
nick-oleary,18.6
dalton-schultz,17.6
derek-carrier,16.2
seth-devalve,15.9
robert-tonyan,15.7
adam-shaheen,15.3
luke-willson,15.2
niles-paul,14.5
logan-thomas,14.3
jeremy-sprinkle,12.6
darren-waller,12.6
jake-butt,12.5
aj-derby,12.3
chris-manhertz,12.2
jermaine-gresham,11.9
eric-tomlinson,11.2
blake-bell,10.7
tyler-conklin,10.2
xavier-grimble,9.6
matt-lengel,9.2
joshua-perkins,9.2
david-grinnage,9.1
antony-auclair,8.3
durham-smythe,8.0
neal-sterling,7.7
eric-saubert,7.3
jacob-hollister,7.2
delanie-walker,7.2
david-morgan-ii,6.1
rico-gathers,6.0
brian-parker,5.8
ben-braunecker,5.7
tyler-kroft,5.6
marcedes-lewis,5.4
john-phillips,5.3
jordan-franks,4.7
dwayne-allen,4.2
orson-charles,3.8
sean-culkin,2.9
tyrone-swoopes,2.8
ross-dwelley,2.4
hakeem-valles,2.1
dion-sims,1.9
alan-cross,1.9
matt-flanagan,1.9
richard-rodgers,1.2
johnny-mundt,1.0
khari-lee,1.0
jordan-matthews,0.0
kelvin-benjamin,0.0
clark-harris,0.0
taysom-hill,0.0
shane-smith,0.0
cole-wick,0.0
mitchell-loewen,0.0
mason-schreck,0.0
darrell-daniels,0.0
garrett-dickerson,0.0
james-looney,0.0
deon-yelder,0.0
donnie-ernsberger,0.0
zach-wood,0.0
clive-walford,0.0
jerome-cunningham,0.0
kyle-nelson,0.0
devin-funchess,0.0
ben-koyack,0.0
jake-fisher,0.0
ryan-hewitt,0.0
alex-ellis,0.0
andrew-depaola,0.0
bronson-kaufusi,0.0
patrick-scales,0.0
temarrick-hemingway,0.0
kevin-mcdermott,0.0
tyler-ott,0.0
gabriel-holmes,0.0
james-winchester,0.0
daniel-brown,0.0
beau-brinkley,0.0
