name,MISC_FPTS
justin-jefferson,368.6
tyreek-hill,341.2
davante-adams,335.5
stefon-diggs,321.2
ceedee-lamb,301.6
aj-brown,299.6
amonra-stbrown,267.6
jaylen-waddle,259.2
devonta-smith,254.6
amari-cooper,247.0
jamarr-chase,242.4
christian-kirk,241.9
tyler-lockett,237.3
terry-mclaurin,229.0
brandon-aiyuk,227.8
dk-metcalf,226.8
mike-evans,225.4
tee-higgins,223.2
chris-godwin,222.8
michael-pittman,216.5
garrett-wilson,215.7
jerry-jeudy,204.2
cooper-kupp,201.4
dj-moore-wr,199.1
chris-olave,198.2
zay-jones,198.1
juju-smith-schuster,185.3
diontae-johnson,180.7
jakobi-meyers,180.3
adam-thielen,180.0
drake-london,178.6
mike-williams-wr,176.5
curtis-samuel,176.3
tyler-boyd,175.5
allen-lazard,174.8
gabriel-davis,171.6
josh-palmer,169.3
deebo-samuel,168.4
donovan-peoples-jones,167.1
george-pickens,166.5
christian-watson,164.1
keenan-allen,164.0
courtland-sutton,159.4
marquise-brown,156.0
kj-osborn,155.6
mack-hollins,154.2
deandre-hopkins,151.7
parris-campbell,149.1
brandin-cooks,145.6
richie-james,132.5
jahan-dotson,130.6
darius-slayton,128.4
russell-gage,123.6
marquez-valdesscantling,122.4
isaiah-mckenzie,119.8
marvin-jones,116.9
kalif-raymond,116.2
devin-duvernay,116.1
robert-woods,115.7
chris-moore,115.1
noah-brown,114.5
greg-dortch,113.1
deandre-carter,112.3
alec-pierce,112.3
olamide-zaccheaus,110.0
michael-gallup,105.4
chase-claypool,105.0
josh-reynolds,103.9
demarcus-robinson,103.8
devante-parker,102.9
romeo-doubs,101.6
darnell-mooney,101.5
rashid-shaheed,100.5
isaiah-hodgins,100.2
dj-chark,98.2
corey-davis,97.6
nico-collins,97.1
mecole-hardman,93.8
marquise-goodwin,90.2
kendrick-bourne,88.3
elijah-moore,88.1
treylon-burks,88.1
rondale-moore,87.9
allen-robinson,84.9
quez-watkins,84.5
ben-skowronek,84.3
trent-sherfield,83.7
terrace-marshall,83.0
nick-westbrook,82.7
jauan-jennings,82.6
randall-cobb,81.7
hunter-renfrow,79.0
van-jefferson,78.9
nelson-agholor,75.2
laviska-shenault,72.7
jamal-agnew,72.3
julio-jones,70.4
tyquan-thornton,66.3
dante-pettis,65.2
equanimeous-st-brown,64.7
trenton-irwin,63.2
tutu-atwell,63.2
shi-smith,61.6
aj-green,61.6
jarvis-landry,60.2
justin-watson,58.5
ray-ray-mccloud-iii,58.1
braxton-berrios,57.7
kadarius-toney,57.3
kendall-hinton,56.4
rashod-bateman,53.5
trequan-smith,52.8
robbie-robby,52.2
damiere-byrd,51.8
phillip-dorsett,51.7
wandale-robinson,51.6
michael-thomas-wr,51.1
brandon-powell,47.6
sammy-watkins,46.5
david-bell,45.4
skyy-moore,43.4
ashton-dulin,42.5
scott-miller,42.3
khadarel-hodge,41.2
amari-rodgers,39.1
marquez-callaway,37.8
zach-pascal,36.0
byron-pringle,35.5
sterling-shepard,34.4
khalil-shakir,34.1
velus-jones,34.0
jalen-nailor,32.9
dyami-brown,32.8
steven-sims,31.4
river-cracraft,31.2
lawrence-cager,30.8
keelan-cole,30.1
denzel-mims,29.6
jalen-reagor,26.9
cedrick-wilson,26.4
kj-hamler,25.8
nkeal-harry,24.6
desean-jackson,24.3
breshad-perriman,23.3
tom-kennedy,22.1
david-sills-v,21.6
jeff-smith,21.4
kenny-golladay,20.1
samori-toure,19.2
ty-hilton,19.1
michael-bandy,18.9
marcus-johnson,18.9
anthony-schwartz,18.8
cam-sims,16.9
dax-milne,15.7
jameson-williams,15.1
brandon-johnson,14.2
dee-eskridge,13.8
jalen-virgil,13.5
james-proche-ii,13.2
gunner-olszewski,12.2
jamison-crowder,12.0
kyle-philips,11.8
trent-taylor,11.7
andre-baccellia,11.5
freddie-swain,11.4
john-brown,11.2
deven-thompkins,10.8
jake-kumerow,10.4
laquon-treadwell,10.2
cole-beasley,9.5
kevin-white,9.4
michael-woods-ii,9.0
mike-strachan,8.9
chris-conley,8.6
jalen-guyton,8.4
cody-hollister,8.4
mike-thomas,7.8
tylan-wallace,7.3
racey-mcmath,6.4
tim-jones,6.0
simi-fehoko,5.4
montrell-washington,5.2
penny-hart,5.0
jaelon-darden,4.8
tyrie-cleveland,4.8
bryan-edwards,4.5
daylen-baldwin,4.5
dareke-young,4.4
dezmon-patmon,4.4
andy-isabella,4.2
pharoh-cooper,4.1
cade-johnson,4.1
liljordan-humphrey,4.0
keith-kirkwood,3.8
dennis-houston,3.6
quintez-cephus,3.5
nsimba-webster,3.4
austin-trammell,3.3
jalen-tolbert,3.2
miles-boykin,3.1
