name,MISC_FPTS
jonathan-taylor,373.1
austin-ekeler,343.8
najee-harris-rb,300.7
joe-mixon,287.9
james-conner,257.7
leonard-fournette,255.6
ezekiel-elliott,252.1
alvin-kamara,234.7
cordarrelle-patterson,234.6
antonio-gibson,229.1
aaron-jones,229.0
josh-jacobs,226.0
nick-chubb,215.3
damien-harris-rb,210.1
dandre-swift,208.9
dalvin-cook,206.3
javonte-williams,204.9
devin-singletary,197.8
darrel-williams,196.0
david-montgomery,196.0
melvin-gordon,195.2
derrick-henry,193.3
aj-dillon,185.6
james-robinson,173.9
myles-gaskin,173.6
elijah-mitchell-rb,165.0
darrell-henderson,163.4
tony-pollard,162.6
michael-carter-rb,154.4
saquon-barkley,148.6
devonta-freeman,146.6
sony-michel,146.3
devontae-booker,144.1
chase-edmonds,143.3
mike-davis-rb,138.2
chuba-hubbard,137.6
jd-mckissic,127.9
christian-mccaffrey,127.5
alexander-mattison,125.9
brandon-bolden,124.1
kenneth-gainwell,123.4
rashaad-penny,121.7
jamaal-williams,119.8
miles-sanders,117.2
ty-johnson,117.0
clyde-edwards-helaire,116.5
rhamondre-stevenson,114.9
nyheim-hines,112.6
kareem-hunt,110.0
mark-ingram,108.6
zack-moss,105.2
rex-burkhead,104.3
dernest-johnson,104.1
latavius-murray,103.6
kenyan-drake,102.5
boston-scott,98.6
donta-foreman,93.9
ameer-abdullah,89.5
justin-jackson-rb,86.2
samaje-perine,83.2
david-johnson-rb,81.3
ronald-jones-ii,79.2
khalil-herbert,78.9
kyle-juszczyk,73.8
jeremy-mcnichols,73.6
dontrell-hilliard,72.7
alex-collins,68.8
jordan-howard,62.5
travis-homer,61.8
damien-williams,60.7
deejay-dallas,60.1
duke-johnson,59.1
giovani-bernard,59.1
derrick-gore,56.1
jaret-patterson,55.9
jeffery-wilson,51.5
tevin-coleman,51.5
demetric-felton,50.5
dare-ogunbowale,50.1
peyton-barber,49.9
chris-evans,49.8
jamycal-hasty,49.5
chris-carson,48.1
carlos-hyde,45.8
phillip-lindsay,45.4
matt-breida,42.7
tyson-williams,41.9
salvon-ahmed,38.6
leveon-bell,38.1
keshawn-vaughn,36.6
jerick-mckinnon,35.9
elijhaa-penny,35.9
craig-reynolds,35.2
royce-freeman,34.6
cj-ham,32.9
james-white,31.2
ty-montgomery,29.9
corey-clement,28.9
trey-sermon,28.3
eno-benjamin,28.0
adrian-peterson-min,26.6
jermar-jefferson,25.7
alec-ingold,24.6
jalen-richard,23.2
kene-nwangwu,23.0
malcolm-brown,22.5
tony-jones,22.1
jonathan-williams,20.7
patrick-ricard,20.7
qadree-ollison,19.7
austin-walter,19.0
jj-taylor,18.5
godwin-igwebuike,18.0
keith-smith,17.7
patrick-taylor,17.2
joshua-kelley,17.0
larry-rountree-iii,15.6
michael-burton,14.7
wayne-gallman,13.5
benjamin-snell-jr,13.1
marlon-mack,12.9
ryquell-armstead,12.6
andy-janovich,11.9
rodney-smith-rb,9.8
jonathan-ward,9.7
alex-armah,9.2
johnny-stanton-iv,9.2
deon-jackson,9.1
jaquan-hardy,8.9
wendell-smallwood,8.7
jakob-johnson,8.3
mike-boone,7.7
trayveon-williams,6.5
ito-smith,6.4
kalen-ballage,6.4
reggie-gilliam,5.6
gabriel-nabers,5.5
jaylen-samuels,5.3
jason-huntley,5.1
adam-prentice,5.1
patrick-laird,5.1
dwayne-washington,4.8
derek-watt,4.6
cam-akers,4.3
scottie-phillips,4.2
kylin-hill,3.9
darrynton-evans,3.8
reggie-bonnafon,3.6
trey-ragas,3.5
lamical-perine,3.1
nick-bawden,3.0
anthony-mcfarland,2.4
raheem-mostert,2.0
gary-brightwell,2.0
ryan-nall,1.8
devine-ozigbo,1.4
john-kelly,1.3
jacques-patrick,1.2
buddy-howell,1.1
mekhi-sargent,1.1
khari-blasingame,1.0
damarea-crockett,0.7
jake-funk,0.5
nathan-cottrell,0.3
andrew-beck,0.0
cullen-gillaspia,0.0
sutton-smith,0.0
darwin-thompson,0.0
darius-bradwell,0.0
levante-bellamy,0.0
artavis-pierce,0.0
sandro-platzgummer,0.0
kirk-merritt,0.0
pooka-williams,0.0
sewo-olonilua,0.0
jk-dobbins,0.0
chris-myarick,0.0
spencer-brown,0.0
josh-johnson,0.0
bj-emmons,0.0
nick-ralston,0.0
tory-carter,0.0
gerrid-doaks,0.0
avery-williams-cb,0.0
nick-bellore,0.0
taiwan-jones,0.0
kenjon-barner,0.0
elijah-mcguire,0.0
tarik-cohen,0.0
brian-hill,0.0
brandin-bryant,0.0
jp-holtz,0.0
trey-edmunds,0.0
jordan-wilkins,0.0
jason-cabinda,0.0
nate-mccrary,-0.1
trenton-cannon,-1.6
