name,MISC_FPTS
cooper-kupp,367.0
deebo-samuel,300.5
davante-adams,282.8
justin-jefferson,276.4
jamarr-chase,264.1
tyreek-hill,241.0
stefon-diggs,234.0
mike-evans,225.5
diontae-johnson,220.9
mike-williams-wr,208.6
hunter-renfrow,207.6
dk-metcalf,206.8
tyler-lockett,204.9
keenan-allen,204.8
michael-pittman,194.6
jaylen-waddle,193.8
chris-godwin,193.4
ceedee-lamb,193.3
dj-moore-wr,191.0
brandin-cooks,186.8
amonra-stbrown,182.3
tee-higgins,182.1
marquise-brown,180.8
darnell-mooney,179.2
terry-mclaurin,175.0
christian-kirk,169.1
amari-cooper,168.5
adam-thielen,166.3
devonta-smith,153.6
kendrick-bourne,153.0
tyler-boyd,150.3
aj-brown,149.4
jakobi-meyers,144.8
marvin-jones,143.7
van-jefferson,143.2
brandon-aiyuk,142.3
chase-claypool,137.1
kj-osborn,133.5
russell-gage,130.0
tim-patrick,129.9
aj-green,129.8
marquez-callaway,128.8
deandre-hopkins,126.2
cedrick-wilson,125.3
allen-lazard,122.5
courtland-sutton,121.2
cole-beasley,118.3
elijah-moore,116.7
robert-woods,114.7
robbie-robby,112.0
mecole-hardman,111.4
emmanuel-sanders,110.7
gabriel-davis,108.4
kalif-raymond,108.4
odell-beckham,107.1
jarvis-landry,107.0
byron-pringle,105.8
antonio-brown,100.1
braxton-berrios,98.1
laviska-shenault,95.5
deonte-harty,95.1
quez-watkins,94.5
donovan-peoples-jones,92.7
bryan-edwards,92.1
nick-westbrook,88.6
corey-davis,88.2
nelson-agholor,84.9
jamison-crowder,84.2
devante-parker,83.5
zay-jones,82.4
rondale-moore,82.1
jalen-guyton,81.7
rashod-bateman,80.5
randall-cobb,79.6
josh-palmer,76.4
zach-pascal,75.5
deandre-carter,74.5
olamide-zaccheaus,74.3
michael-gallup,74.0
marquez-valdesscantling,74.0
freddie-swain,74.0
henry-ruggs,72.5
trequan-smith,71.7
kenny-golladay,70.6
jauan-jennings,70.2
allen-robinson,68.0
nico-collins,67.1
josh-reynolds,66.1
jerry-jeudy,66.0
laquon-treadwell,65.9
desean-jackson,65.8
keelan-cole,64.9
julio-jones,64.9
jamal-agnew,64.0
kadarius-toney,62.9
ty-hilton,62.6
jalen-reagor,61.6
devin-duvernay,60.7
sterling-shepard,59.7
adam-humphries,58.8
sammy-watkins,56.9
demarcus-robinson,56.9
danny-amendola,56.8
darius-slayton,55.6
calvin-ridley,55.6
tyler-johnson,54.0
james-washington,53.8
chris-conley,53.6
mack-hollins,53.3
damiere-byrd,51.9
chester-rogers,50.0
antoine-wesley,48.3
marquise-goodwin,47.2
ray-ray-mccloud-iii,46.7
rashard-higgins,45.5
chris-moore,45.2
liljordan-humphrey,43.4
isaiah-mckenzie,42.5
quintez-cephus,41.9
cam-sims,41.3
brandon-zylstra,40.0
cyril-grayson,39.6
tavon-austin,39.4
ashton-dulin,39.0
malik-turner,38.9
albert-wilson,35.5
tajae-sharpe,35.5
john-ross,35.5
isaiah-ford,34.1
jakeem-grant,34.0
greg-ward,31.1
kendall-hinton,31.0
dj-chark,30.9
anthony-schwartz,28.4
james-proche-ii,28.2
breshad-perriman,27.9
juju-smith-schuster,27.3
parris-campbell,27.2
noah-brown,26.4
ihmir-smith-marsette,26.1
mohamed-sanu,25.2
terrace-marshall,24.3
khadarel-hodge,24.2
dee-eskridge,23.3
nkeal-harry,22.4
dyami-brown,22.1
marcus-johnson,20.3
dante-pettis,20.3
trent-sherfield,19.2
ben-skowronek,18.8
kristian-wilkerson,18.2
denzel-mims,17.3
scott-miller,16.6
collin-johnson,16.0
kenny-stills,15.9
equanimeous-st-brown,15.7
tom-kennedy,15.4
trinity-benson,15.3
jeff-smith,15.2
phillip-dorsett,14.5
dez-fitzpatrick,13.4
shi-smith,13.1
chris-hogan,12.1
dede-westbrook,11.8
josh-gordon,11.7
anthony-miller,11.5
auden-tate,11.4
dax-milne,10.9
preston-williams,10.8
cameron-batson,10.0
kj-hamler,9.9
penny-hart,9.4
dezmon-patmon,9.1
jamarcus-bradley,8.4
jaelon-darden,8.4
andre-roberts,7.9
juwann-winfree,7.8
mike-thomas,7.7
cj-board,7.7
amari-rodgers,7.6
jason-moore,7.1
alex-erickson,7.0
curtis-samuel,6.8
will-fuller,6.6
brandon-powell,6.0
willie-snead,5.8
cody-white,5.8
pharoh-cooper,5.6
greg-dortch,5.4
cody-hollister,5.3
dj-montgomery,5.1
trent-taylor,5.1
gunner-olszewski,5.0
jj-arcega-whiteside,4.6
kj-hill,4.5
christian-blake,4.5
trenton-irwin,4.4
kevin-white,4.3
seth-williams,3.9
jake-kumerow,3.8
mike-strachan,3.6
marcus-kemp,3.4
tylan-wallace,3.3
dazz-newsome,3.3
keith-kirkwood,3.2
david-sills-v,2.7
tyron-johnson,2.6
tyrell-williams,2.4
stanley-morgan,2.4
davion-davis,2.2
cj-saunders,2.1
jaydon-mickens,2.0
frank-darby,1.9
kirk-merritt,1.8
andy-isabella,1.8
marvin-hall,1.5
tarik-black,1.5
tommylee-lewis,1.2
miles-boykin,1.1
easop-winston,1.0
keke-coutee,1.0
malik-taylor,0.4
maurice-ffrench,0.3
matt-cole,0.0
nsimba-webster,0.0
john-hightower,0.0
cody-thompson,0.0
quinton-bell,0.0
antonio-gandy-golden,0.0
marquez-stevenson,0.0
tutu-atwell,0.0
demetric-felton,0.0
pooka-williams,0.0
dan-chisena,0.0
josh-hammond,0.0
mason-kinsey,0.0
tyrie-cleveland,0.0
isaiah-coulter,0.0
michael-bandy,0.0
dillon-stoner,0.0
landen-akers,0.0
jacob-harris,0.0
jalen-camp,0.0
brandon-smith,0.0
kawaan-baker,0.0
osirus-mitchell,0.0
john-brown,0.0
matthew-slater,0.0
david-moore,0.0
ryan-switzer,0.0
rodney-adams,0.0
justin-hardee,0.0
jojo-natson,0.0
vyncint-smith,0.0
jordan-veasy,0.0
damion-ratley,0.0
daurice-fountain,0.0
river-cracraft,0.0
ty-montgomery,0.0
devin-smith,0.0
allen-hurns,0.0
geronimo-allison,0.0
racey-mcmath,-0.2
