name,MISC_FPTS
alvin-kamara,336.3
derrick-henry,323.6
dalvin-cook,315.8
david-montgomery,237.8
aaron-jones,235.4
jonathan-taylor,234.8
james-robinson,225.9
josh-jacobs,214.8
nick-chubb,199.7
kareem-hunt,199.5
ezekiel-elliott,197.7
antonio-gibson,184.2
melvin-gordon,182.4
kenyan-drake,179.7
mike-davis-rb,177.0
ronald-jones-ii,172.3
chris-carson,169.3
dandre-swift,166.8
david-johnson-rb,163.0
nyheim-hines,161.7
jk-dobbins,159.5
clyde-edwards-helaire,158.0
miles-sanders,156.4
jd-mckissic,151.4
todd-gurley,150.7
james-conner,147.1
myles-gaskin,143.7
chase-edmonds,141.5
austin-ekeler,138.3
jeffery-wilson,135.8
giovani-bernard,134.6
wayne-gallman,126.1
latavius-murray,124.7
devin-singletary,124.6
gus-edwards,123.7
darrell-henderson,122.3
adrian-peterson-min,118.5
leonard-fournette,114.0
jamaal-williams,111.6
jerick-mckinnon,109.7
tony-pollard,106.8
malcolm-brown,97.6
cam-akers,96.3
rex-burkhead,95.1
zack-moss,94.6
frank-gore,92.2
james-white,92.1
raheem-mostert,91.7
joe-mixon,89.1
damien-harris-rb,88.8
boston-scott,83.1
brian-hill,82.9
christian-mccaffrey,81.9
alexander-mattison,80.4
kalen-ballage,79.4
devontae-booker,77.2
carlos-hyde,76.9
kyle-juszczyk,72.1
sony-michel,71.8
duke-johnson,70.4
benjamin-snell-jr,69.9
joshua-kelley,69.7
leveon-bell,66.6
salvon-ahmed,63.5
phillip-lindsay,62.5
kerryon-johnson,62.3
samaje-perine,60.2
justin-jackson-rb,55.8
jordan-wilkins,55.3
ty-johnson,55.3
peyton-barber,53.0
mark-ingram,49.9
ito-smith,48.8
deejay-dallas,48.4
dion-lewis,47.7
lamical-perine,47.0
darrel-williams,45.5
jalen-richard,41.6
aj-dillon,39.3
alfred-morris,39.2
jeremy-mcnichols,37.9
matt-breida,37.5
josh-adams,33.6
chris-thompson,32.6
devonta-freeman,32.5
rodney-smith-rb,32.0
royce-freeman,31.1
jordan-howard,30.2
darwin-thompson,29.7
travis-homer,28.3
jamycal-hasty,27.6
ameer-abdullah,26.0
dare-ogunbowale,24.9
alec-ingold,23.4
cj-ham,21.5
keshawn-vaughn,20.8
antonio-williams,20.8
lesean-mccoy,20.7
alex-collins,20.6
tyler-ervin,20.6
anthony-mcfarland,19.7
dernest-johnson,19.5
trayveon-williams,19.2
corey-clement,18.5
gabriel-nabers,17.7
patrick-laird,17.0
ryan-nall,16.7
donta-foreman,16.5
troymaine-pope,15.8
tj-yeldon,15.7
reggie-bonnafon,15.7
darrynton-evans,15.1
deandre-washington,14.6
tarik-cohen,14.5
ty-montgomery,14.3
mike-boone,13.9
jakob-johnson,13.5
patrick-ricard,12.9
saquon-barkley,12.4
keith-smith,12.1
jj-taylor,11.9
jaylen-samuels,11.9
tevin-coleman,10.7
justice-hill,10.5
cj-prosise,10.2
artavis-pierce,9.4
devine-ozigbo,8.8
reggie-gilliam,8.6
theo-riddick,8.2
anthony-sherman,7.8
jonathan-ward,7.6
buddy-howell,7.2
marlon-mack,7.1
michael-burton,6.6
trenton-cannon,6.4
khari-blasingame,5.9
dontrell-hilliard,5.5
alex-armah,5.2
elijhaa-penny,4.5
austin-walter,3.5
rashaad-penny,3.4
bo-scarbrough,3.1
andy-janovich,2.7
jonathan-williams,2.6
rico-dowdle,2.4
jason-huntley,2.4
levante-bellamy,2.1
scottie-phillips,2.1
chandler-cox,1.9
lamar-miller,1.6
dwayne-washington,1.5
dj-foster,1.4
tony-jones,1.3
craig-reynolds,1.2
cullen-gillaspia,1.1
senorise-perry,0.9
dexter-williams,0.8
tony-brooks-james,0.4
qadree-ollison,0.3
raymond-calais,0.0
xavier-jones,0.0
darius-bradwell,0.0
kirk-merritt,0.0
sewo-olonilua,0.0
javon-leake,0.0
andrew-beck,0.0
john-lovett,0.0
jeremy-cox,0.0
michael-warren-ii,0.0
chris-myarick,0.0
jake-bargas,0.0
nathan-cottrell,0.0
nick-bellore,0.0
bruce-miller,0.0
taiwan-jones,0.0
cordarrelle-patterson,0.0
kenjon-barner,0.0
derek-watt,0.0
brandin-bryant,0.0
jp-holtz,0.0
johnny-stanton-iv,0.0
elijah-holyfield,0.0
trey-edmunds,0.0
jason-cabinda,0.0
wendell-smallwood,0.0
adrian-killins,-0.5
