name,MISC_FPTS/G
xavier-hutchinson,0.0
trey-palmer,0.0
demario-douglas,0.0
cedric-tillman,0.0
josh-ali,0.0
jalin-hyatt,0.0
raleigh-webb,0.0
jalen-moreno-cropper,0.0
devon-allen,0.0
at-perry,0.0
dontayvion-wicks,0.0
mitchell-tinsley,0.0
shemar-bridges,0.0
josh-downs,0.0
chris-pierce,0.0
derek-wright,0.0
rashaun-henry,0.0
kyric-mcgowan,0.0
jesse-matthews,0.0
tank-dell,0.0
jadakis-bonds,0.0
ed-lee,0.0
garett-maag,0.0
malachi-carter,0.0
jerome-kapp,0.0
lucky-jackson,0.0
tyrell-shavers,0.0
dontay-demus,0.0
sean-ryan,0.0
braxton-burmeister,0.0
kade-warner,0.0
ryan-miller,0.0
taylor-grimes,0.0
john-stephens,0.0
treshaun-harrison,0.0
dylan-drummond,0.0
bryan-thompson,0.0
brian-cobbs,0.0
jose-barbon,0.0
david-durden,0.0
chris-coleman,0.0
daewood-davis,0.0
kody-case,0.0
terrell-bynum,0.0
jordan-byrd,0.0
shaquan-davis,0.0
cephus-johnson-iii,0.0
malik-knowles,0.0
thayer-thomas,0.0
jared-wayne,0.0
grant-dubose,0.0
jalen-brooks,0.0
colton-dowell,0.0
antoine-green,0.0
matt-landers,0.0
tyler-scott,0.0
kazmeir-allen,0.0
pokey-wilson,0.0
elijah-cooks,0.0
shedrick-jackson,0.0
thyrick-pitts,0.0
aron-cruickshank,0.0
johnny-king,0.0
zavier-scott,0.0
jason-brownlee,0.0
isaiah-winstead,0.0
tj-luther,0.0
xavier-gipson,0.0
nikko-remigio,0.0
josh-vann,0.0
chase-cota,0.0
mac-hippenhammer,0.0
tyjon-lindsey,0.0
oliver-martin,0.0
tyler-hudson,0.0
xavier-smith,0.0
brycen-tremayne,0.0
jalen-sample,0.0
zion-bowens,0.0
xavier-malone,0.0
john-hall,0.0
keilahn-harris,0.0
daniel-arias,0.0
duece-watts,0.0
malik-heath,0.0
britain-covey,0.0
chris-blair,0.0
cornell-powell,0.0
john-metchie-iii,0.0
ty-fryfogle,0.0
jayden-reed,0.0
ronnie-bell,0.0
rakim-jarrett,0.0
kayshon-boutte,0.0
zay-flowers,0.0
jacob-copeland,0.0
kearis-jackson,0.0
slade-bolden,0.0
emeka-emezie,0.0
dontario-drummond,0.0
joseph-ngata,0.0
calvin-austin-iii,0.0
cj-saunders,0.0
kaylon-geiger,0.0
johnny-johnson-iii,0.0
kalil-pimpleton,0.0
stanley-berryhill-iii,0.0
tanner-conner,0.0
tay-martin,0.0
bo-melton,0.0
justin-shorter,0.0
taye-barber,0.0
jadon-haselwood,0.0
rashee-rice,0.0
jordan-addison,0.0
parker-washington,0.0
marvin-mims,0.0
quentin-johnston,0.0
jerrion-ealy,0.0
jonathan-mingo,0.0
makai-polk,0.0
kevin-austin,0.0
jaxon-smith-njigba,0.0
jacob-harris,0.0
tre-nixon,0.0
kawaan-baker,0.0
brandon-smith,0.0
blake-proehl,0.0
puka-nacua,0.0
josh-gordon,0.0
eron-riley,0.0
demario-ballard,0.0
patrick-edwards,0.0
albert-wilson,0.0
odell-beckham,0.0
maurice-purify,0.0
matthew-slater,0.0
marko-mitchell,0.0
kenny-mckinley,0.0
lance-long,0.0
bobby-wade,0.0
chris-henry,0.0
mike-furrey,0.0
onrea-jones,0.0
taj-smith,0.0
rod-harper,0.0
sam-giguere,0.0
nate-hughes,0.0
andre-roberts,0.0
tanner-gentry,0.0
tim-patrick,0.0
marcus-kemp,0.0
justin-hardee,0.0
david-moore,0.0
jaydon-mickens,0.0
john-ross,0.0
marken-michel,0.0
vyncint-smith,0.0
chris-lacy,0.0
daurice-fountain,0.0
greg-ward,0.0
calvin-ridley,0.0
marcell-ateman,0.0
james-washington,0.0
brandon-zylstra,0.0
ty-montgomery,0.0
willie-snead,0.0
diontae-spencer,0.0
alex-erickson,0.0
jakeem-grant,0.0
rashard-higgins,0.0
kavontae-turpin,0.0
chester-rogers,-0.7
