name,MISC_FPTS/G
josh-allen-qb,25.4
kyler-murray,24.4
aaron-rodgers,24.3
patrick-mahomes,25.4
deshaun-watson,23.5
russell-wilson,23.3
ryan-tannehill,22.0
tom-brady,21.9
justin-herbert,22.9
lamar-jackson,22.8
kirk-cousins,20.0
matt-ryan,18.3
derek-carr,17.6
ben-roethlisberger,18.5
cam-newton,18.1
matthew-stafford,16.9
baker-mayfield,16.1
jared-goff,16.9
teddy-bridgewater,16.8
philip-rivers,15.7
drew-brees,18.0
carson-wentz,17.8
drew-lock,15.1
daniel-jones,13.6
joe-burrow,17.9
gardner-minshew,18.4
mitch-trubisky,16.2
ryan-fitzpatrick,16.2
sam-darnold,12.1
andy-dalton,13.2
tua-tagovailoa,14.0
dak-prescott,27.9
nick-mullens,12.8
jalen-hurts,7.5
nick-foles,12.5
alex-smith,10.0
dwayne-haskins,10.7
jimmy-garoppolo,11.6
mike-glennon,13.1
joe-flacco,11.5
brandon-allen,10.7
cj-beathard,8.7
kyle-allen,11.5
jake-luton,11.4
jeff-driskel,10.7
marcus-mariota,26.8
chad-henne,7.9
ryan-finley,4.2
jacoby-brissett,1.9
mason-rudolph,3.9
colt-mccoy,4.8
jarrett-stidham,3.2
garrett-gilbert,7.8
blaine-gabbert,3.8
brett-rypien,5.1
chase-daniel,3.6
john-wolford,13.8
phillip-walker,3.4
taylor-heinicke,11.7
matt-barkley,2.1
trace-mcsorley,4.7
tyrod-taylor,4.5
chris-streveler,1.7
ben-dinucci,2.3
robert-griffin-iii,1.2
brian-hoyer,3.0
tyler-huntley,1.5
david-blough,2.8
jameis-winston,0.6
tommy-stevens,2.4
joshua-dobbs,2.1
nathan-peterman,1.9
case-keenum,0.9
logan-woodside,0.2
geno-smith,1.1
aj-mccarron,0.4
tyler-bray,0.7
john-lovett,0.1
joe-webb-iii,0.0
mike-white,0.0
easton-stick,0.0
matt-schaub,-0.4
nate-sudfeld,-0.5
tim-boyle,-0.1
