name,MISC_FPTS/G
patrick-mahomes,25.3
josh-allen-qb,24.3
jalen-hurts,25.6
joe-burrow,21.7
geno-smith,18.5
justin-fields,20.5
kirk-cousins,18.0
trevor-lawrence,17.9
daniel-jones,18.4
jared-goff,17.1
justin-herbert,17.1
tom-brady,16.5
aaron-rodgers,14.8
lamar-jackson,20.3
tua-tagovailoa,18.4
russell-wilson,15.8
derek-carr,15.5
dak-prescott,17.8
kyler-murray,18.9
marcus-mariota,15.8
davis-mills,13.1
andy-dalton,13.1
mac-jones,12.9
jacoby-brissett,12.5
jimmy-garoppolo,15.3
matt-ryan,14.0
ryan-tannehill,13.9
kenny-pickett,12.2
baker-mayfield,10.8
taylor-heinicke,13.5
carson-wentz,15.2
matthew-stafford,12.9
brock-purdy,12.3
zach-wilson,11.8
deshaun-watson,15.1
sam-darnold,14.9
mitch-trubisky,11.3
mike-white,15.2
cooper-rush,7.5
tyler-huntley,10.6
joe-flacco,10.3
jameis-winston,16.3
jarrett-stidham,15.2
bailey-zappe,10.7
phillip-walker,7.0
teddy-bridgewater,8.4
gardner-minshew,8.0
desmond-ridder,9.7
sam-ehlinger,9.7
colt-mccoy,8.9
joshua-dobbs,11.5
malik-willis,3.2
brett-rypien,5.5
davis-webb,20.8
david-blough,10.3
skylar-thompson,2.9
kyle-allen,6.6
sam-howell,19.3
john-wolford,8.9
bryce-perkins,3.5
jeff-driskel,2.5
trace-mcsorley,2.7
trey-lance,4.5
nick-mullens,3.2
tyrod-taylor,4.1
jordan-love,2.9
trevor-siemian,5.6
nathan-peterman,3.1
chris-streveler,9.0
chase-daniel,2.8
anthony-brown,3.8
nick-foles,2.9
blaine-gabbert,5.2
brian-hoyer,1.5
jacob-eason,1.4
kyle-trask,0.9
brandon-allen,0.8
josh-johnson,0.7
case-keenum,0.2
bryce-young,0.0
chase-garbers,0.0
brett-ratliff,0.0
ben-dinucci,0.0
sean-clifford,0.0
tanner-morgan,0.0
feleipe-franks,0.0
holton-ahlers,0.0
dorian-thompson-robinson,0.0
ian-book,0.0
jake-haener,0.0
tanner-mckee,0.0
jarrett-guarantano,0.0
davis-cheek,0.0
anthony-richardson,0.0
chris-oladokun,0.0
hendon-hooker,0.0
james-blackman,0.0
tommy-devito,0.0
clayton-tune,0.0
nathan-rourke,0.0
tyson-bagent,0.0
tim-demorat,0.0
cephus-johnson-iii,0.0
dresser-winn,0.0
aidan-oconnell,0.0
cj-stroud,0.0
max-duggan,0.0
adrian-martinez,0.0
will-levis,0.0
malik-cunningham,0.0
matt-corral,0.0
stetson-bennett,0.0
jaren-hall,0.0
kellen-mond,0.0
matt-barkley,0.0
brett-smith,0.0
ben-chappell,0.0
adam-froman,0.0
hunter-cantwell,0.0
erik-ainge,0.0
shane-buechele,0.0
danny-etling,0.0
mason-rudolph,0.0
logan-woodside,0.0
jake-fromm,0.0
john-lovett,0.0
drew-lock,0.0
will-grier,0.0
easton-stick,0.0
jake-browning,0.0
cj-beathard,0.0
nate-sudfeld,-0.2
chad-henne,-0.2
tim-boyle,-0.9
