name,MISC_FPTS/G
jonathan-taylor,20.8
austin-ekeler,19.3
joe-mixon,16.7
najee-harris-rb,15.5
james-conner,15.9
ezekiel-elliott,13.4
leonard-fournette,15.8
alvin-kamara,16.2
cordarrelle-patterson,13.0
antonio-gibson,13.0
nick-chubb,14.7
aaron-jones,13.5
damien-harris-rb,13.4
josh-jacobs,13.3
dalvin-cook,14.6
derrick-henry,23.0
javonte-williams,10.8
melvin-gordon,11.3
dandre-swift,13.7
devin-singletary,10.5
david-montgomery,12.5
darrel-williams,10.1
aj-dillon,9.9
james-robinson,11.3
elijah-mitchell-rb,13.0
myles-gaskin,8.8
darrell-henderson,12.4
tony-pollard,9.5
michael-carter-rb,9.7
sony-michel,8.0
devonta-freeman,8.1
saquon-barkley,9.2
chuba-hubbard,7.8
devontae-booker,7.8
chase-edmonds,10.2
rashaad-penny,11.9
mike-davis-rb,6.8
alexander-mattison,6.9
christian-mccaffrey,15.6
rhamondre-stevenson,9.0
clyde-edwards-helaire,10.7
kenneth-gainwell,6.7
jamaal-williams,8.2
jd-mckissic,9.7
miles-sanders,8.7
brandon-bolden,6.5
ty-johnson,6.7
kareem-hunt,12.4
latavius-murray,7.0
mark-ingram,6.8
dernest-johnson,7.3
zack-moss,7.2
nyheim-hines,5.4
boston-scott,8.4
rex-burkhead,6.1
donta-foreman,9.9
kenyan-drake,7.3
justin-jackson-rb,5.4
ronald-jones-ii,4.9
khalil-herbert,4.5
ameer-abdullah,4.1
samaje-perine,4.6
david-johnson-rb,5.0
alex-collins,5.8
dontrell-hilliard,7.9
jordan-howard,8.8
jeremy-mcnichols,4.6
kyle-juszczyk,3.9
duke-johnson,11.4
travis-homer,3.8
damien-williams,4.4
derrick-gore,6.5
jaret-patterson,3.6
deejay-dallas,2.9
jeffery-wilson,5.3
giovani-bernard,4.8
tevin-coleman,4.2
chris-carson,11.3
peyton-barber,4.5
dare-ogunbowale,3.4
phillip-lindsay,3.1
chris-evans,4.7
demetric-felton,2.8
carlos-hyde,3.3
matt-breida,5.6
jamycal-hasty,3.5
tyson-williams,4.7
leveon-bell,4.5
keshawn-vaughn,5.8
salvon-ahmed,3.0
craig-reynolds,6.3
elijhaa-penny,2.4
royce-freeman,2.5
jerick-mckinnon,3.3
trey-sermon,4.5
corey-clement,2.4
james-white,8.4
eno-benjamin,3.1
adrian-peterson-min,6.2
cj-ham,1.6
jermar-jefferson,4.7
ty-montgomery,1.6
kene-nwangwu,2.3
malcolm-brown,3.5
alec-ingold,2.8
tony-jones,2.0
jonathan-williams,3.7
austin-walter,4.5
qadree-ollison,3.0
jalen-richard,1.9
patrick-ricard,2.1
jj-taylor,3.3
patrick-taylor,3.2
godwin-igwebuike,1.1
larry-rountree-iii,1.5
joshua-kelley,1.8
michael-burton,1.3
keith-smith,1.0
wayne-gallman,1.4
benjamin-snell-jr,0.8
marlon-mack,2.0
ryquell-armstead,5.6
andy-janovich,1.7
deon-jackson,1.8
jaquan-hardy,4.5
alex-armah,0.9
johnny-stanton-iv,2.7
jonathan-ward,0.9
rodney-smith-rb,7.3
wendell-smallwood,3.4
mike-boone,2.2
ito-smith,6.4
jakob-johnson,0.9
trayveon-williams,1.5
kalen-ballage,0.6
jason-huntley,5.1
reggie-gilliam,0.5
gabriel-nabers,0.6
jaylen-samuels,1.3
dwayne-washington,0.5
patrick-laird,1.2
adam-prentice,0.7
kylin-hill,0.4
scottie-phillips,1.1
derek-watt,0.3
lamical-perine,1.6
cam-akers,1.4
darrynton-evans,1.4
reggie-bonnafon,2.6
trey-ragas,2.5
nick-bawden,2.5
raheem-mostert,2.0
anthony-mcfarland,0.6
gary-brightwell,0.2
john-kelly,1.3
ryan-nall,0.3
jacques-patrick,1.2
buddy-howell,0.2
mekhi-sargent,0.2
devine-ozigbo,0.5
damarea-crockett,0.7
jake-funk,0.1
nathan-cottrell,0.1
darius-bradwell,0.0
levante-bellamy,0.0
jk-dobbins,0.0
artavis-pierce,0.0
sewo-olonilua,0.0
cullen-gillaspia,0.0
sutton-smith,0.0
andrew-beck,0.0
darwin-thompson,0.0
chris-myarick,0.0
khari-blasingame,0.0
pooka-williams,0.0
sandro-platzgummer,0.0
josh-johnson,0.0
bj-emmons,0.0
nick-ralston,0.0
tory-carter,0.0
gerrid-doaks,0.0
avery-williams-cb,0.0
spencer-brown,0.0
nick-bellore,0.0
taiwan-jones,0.0
kenjon-barner,0.0
elijah-mcguire,0.0
tarik-cohen,0.0
brian-hill,0.0
brandin-bryant,0.0
jp-holtz,0.0
trey-edmunds,0.0
jordan-wilkins,0.0
jason-cabinda,0.0
nate-mccrary,-0.1
trenton-cannon,-0.2
