name,MISC_FPTS/G
travis-kelce,18.4
zach-ertz,17.5
george-kittle,16.2
eric-ebron,13.9
jared-cook,12.1
austin-hooper,10.2
kyle-rudolph,9.5
trey-burton,9.2
david-njoku,9.0
vance-mcdonald,8.9
rob-gronkowski,10.1
jimmy-graham,8.2
evan-engram,11.5
oj-howard,12.1
jordan-reed,9.2
chris-herndon-iv,7.1
mark-andrews,6.7
cj-uzomah,6.6
cameron-brate,5.8
dallas-goedert,5.7
benjamin-watson,5.4
gerald-everett,5.4
jesse-james,5.3
ian-thomas,5.1
greg-olsen,8.9
vernon-davis,5.4
blake-jarwin,4.7
antonio-gates,4.7
ricky-seals-jones,5.0
nick-vannett,4.9
jeff-heuerman,6.5
jordan-thomas,4.1
tyler-higbee,4.1
jonnu-smith,4.9
jack-doyle,10.1
rhett-ellison,4.3
geoff-swaim,6.2
matt-lacosse,3.7
ryan-griffin,3.9
levine-toilolo,3.3
jason-croom,3.3
anthony-firkser,4.0
demetrius-harris,3.1
virgil-green,2.9
james-oshaughnessy,3.2
ed-dickson,4.5
nick-boyle,2.8
luke-stocker,2.7
lance-kendricks,2.6
darren-fells,2.5
josh-hill-te,2.5
mike-gesicki,2.5
jordan-akins,2.5
tyler-eifert,9.7
charles-clay,2.9
maxx-williams,2.9
michael-roberts,4.6
will-dissly,8.9
hayden-hurst,2.9
lee-smith,2.2
erik-swoope,5.0
dan-arnold,3.3
mo-alie-cox,3.6
jordan-leggett,2.1
garrett-celek,1.7
austin-seferian-jenkins,5.2
mycole-pruitt,1.7
logan-paulsen,1.6
dalton-schultz,2.1
scott-simonson,1.5
nick-oleary,1.9
luke-willson,1.6
logan-thomas,1.7
derek-carrier,1.2
niles-paul,3.3
seth-devalve,1.4
adam-shaheen,3.0
robert-tonyan,1.1
jake-butt,5.5
jermaine-gresham,1.3
darren-waller,3.9
eric-tomlinson,1.0
jeremy-sprinkle,0.9
blake-bell,1.5
aj-derby,3.5
chris-manhertz,0.8
tyler-conklin,0.8
xavier-grimble,0.8
david-grinnage,3.0
antony-auclair,0.7
joshua-perkins,1.3
durham-smythe,0.7
neal-sterling,2.1
matt-lengel,1.0
eric-saubert,0.6
jacob-hollister,1.2
delanie-walker,9.2
david-morgan-ii,0.8
brian-parker,0.6
tyler-kroft,1.5
rico-gathers,0.5
ben-braunecker,0.5
marcedes-lewis,0.4
john-phillips,0.9
jordan-franks,1.0
dwayne-allen,0.4
orson-charles,0.4
ross-dwelley,0.3
sean-culkin,0.3
tyrone-swoopes,3.3
hakeem-valles,1.0
dion-sims,0.4
alan-cross,0.2
matt-flanagan,0.8
richard-rodgers,0.2
johnny-mundt,0.2
khari-lee,0.8
jordan-matthews,0.0
kelvin-benjamin,0.0
clark-harris,0.0
taysom-hill,0.0
shane-smith,0.0
zach-wood,0.0
cole-wick,0.0
mitchell-loewen,0.0
mason-schreck,0.0
darrell-daniels,0.0
alex-ellis,0.0
garrett-dickerson,0.0
deon-yelder,0.0
james-looney,0.0
donnie-ernsberger,0.0
jerome-cunningham,0.0
kyle-nelson,0.0
devin-funchess,0.0
clive-walford,0.0
ben-koyack,0.0
jake-fisher,0.0
ryan-hewitt,0.0
patrick-scales,0.0
kevin-mcdermott,0.0
andrew-depaola,0.0
bronson-kaufusi,0.0
james-winchester,0.0
temarrick-hemingway,0.0
tyler-ott,0.0
beau-brinkley,0.0
gabriel-holmes,0.0
daniel-brown,0.0
