name,MISC_FPTS/G
cody-thompson,0.0
keelan-doss,0.0
reggie-roberson,0.0
dazz-newsome,0.0
jeff-cotton,0.0
gary-jennings,0.0
seth-williams,0.0
dez-fitzpatrick,0.0
keesean-johnson,0.0
stanley-morgan,0.0
demetric-felton,0.0
tyler-johnson,0.0
dan-chisena,0.0
quinton-bell,0.0
irvin-charles,0.0
rodney-williams,0.0
kwamie-lassiter-ii,0.0
kendric-pryor,0.0
mike-harley,0.0
kekoa-crawford,0.0
ethan-fernea,0.0
lance-mccutcheon,0.0
gavin-holmes,0.0
jaray-jenkins,0.0
bryce-ford-wheaton,0.0
jake-bobo,0.0
jalen-wayne,0.0
tre-tucker,0.0
charlie-jones,0.0
andrei-iosivas,0.0
derius-davis,0.0
michael-wilson,0.0
xavier-hutchinson,0.0
trey-palmer,0.0
demario-douglas,0.0
cedric-tillman,0.0
josh-ali,0.0
jalin-hyatt,0.0
raleigh-webb,0.0
jalen-moreno-cropper,0.0
devon-allen,0.0
at-perry,0.0
dontayvion-wicks,0.0
mitchell-tinsley,0.0
shemar-bridges,0.0
josh-downs,0.0
chris-pierce,0.0
derek-wright,0.0
rashaun-henry,0.0
kyric-mcgowan,0.0
jesse-matthews,0.0
tank-dell,0.0
jadakis-bonds,0.0
ed-lee,0.0
garett-maag,0.0
malachi-carter,0.0
jerome-kapp,0.0
lucky-jackson,0.0
tyrell-shavers,0.0
dontay-demus,0.0
sean-ryan,0.0
braxton-burmeister,0.0
kade-warner,0.0
ryan-miller,0.0
taylor-grimes,0.0
john-stephens,0.0
treshaun-harrison,0.0
dylan-drummond,0.0
bryan-thompson,0.0
brian-cobbs,0.0
jose-barbon,0.0
david-durden,0.0
chris-coleman,0.0
daewood-davis,0.0
kody-case,0.0
terrell-bynum,0.0
jordan-byrd,0.0
shaquan-davis,0.0
cephus-johnson-iii,0.0
malik-knowles,0.0
thayer-thomas,0.0
jared-wayne,0.0
grant-dubose,0.0
jalen-brooks,0.0
colton-dowell,0.0
antoine-green,0.0
matt-landers,0.0
tyler-scott,0.0
kazmeir-allen,0.0
pokey-wilson,0.0
elijah-cooks,0.0
shedrick-jackson,0.0
thyrick-pitts,0.0
aron-cruickshank,0.0
johnny-king,0.0
zavier-scott,0.0
jason-brownlee,0.0
isaiah-winstead,0.0
tj-luther,0.0
xavier-gipson,0.0
nikko-remigio,0.0
josh-vann,0.0
chase-cota,0.0
mac-hippenhammer,0.0
tyjon-lindsey,0.0
oliver-martin,0.0
tyler-hudson,0.0
xavier-smith,0.0
brycen-tremayne,0.0
jalen-sample,0.0
zion-bowens,0.0
xavier-malone,0.0
john-hall,0.0
keilahn-harris,0.0
daniel-arias,0.0
duece-watts,0.0
malik-heath,0.0
britain-covey,0.0
chris-blair,0.0
cornell-powell,0.0
john-metchie-iii,0.0
ty-fryfogle,0.0
jayden-reed,0.0
ronnie-bell,0.0
rakim-jarrett,0.0
kayshon-boutte,0.0
zay-flowers,0.0
jacob-copeland,0.0
kearis-jackson,0.0
