name,MISC_FPTS/G
michael-thomas-wr,18.8
chris-godwin,16.7
julio-jones,15.0
cooper-kupp,14.0
deandre-hopkins,14.5
kenny-golladay,13.5
devante-parker,13.1
keenan-allen,13.1
amari-cooper,12.9
julian-edelman,12.9
allen-robinson,12.9
mike-evans,15.3
jarvis-landry,12.2
tyler-lockett,12.1
aj-brown,11.9
dj-chark,12.6
robert-woods,12.5
dj-moore-wr,12.5
courtland-sutton,11.7
john-brown,12.3
stefon-diggs,12.0
michael-gallup,12.8
tyler-boyd,11.1
davante-adams,14.3
calvin-ridley,12.7
odell-beckham,10.3
terry-mclaurin,11.6
marvin-jones,12.5
deebo-samuel,10.7
tyreek-hill,13.3
jamison-crowder,9.9
dk-metcalf,9.9
emmanuel-sanders,9.3
cole-beasley,10.1
darius-slayton,10.4
curtis-samuel,9.0
larry-fitzgerald,8.7
mike-williams-wr,9.1
robby-anderson,8.5
christian-kirk,10.3
diontae-johnson,8.4
chris-conley,8.3
golden-tate,11.6
randall-cobb,8.5
dede-westbrook,8.2
marquise-brown,8.8
tyrell-williams,8.7
breshad-perriman,8.6
zach-pascal,7.2
sterling-shepard,11.3
sammy-watkins,8.0
james-washington,7.4
danny-amendola,7.3
will-fuller,10.0
hunter-renfrow,8.4
mecole-hardman,6.7
ty-hilton,10.3
anthony-miller,6.3
alshon-jeffery,10.1
kenny-stills,7.7
adam-thielen,9.9
brandin-cooks,6.9
mohamed-sanu,6.3
corey-davis,6.2
steven-sims,5.8
juju-smith-schuster,7.7
phillip-dorsett,6.2
allen-lazard,5.3
demarcus-robinson,5.3
kendrick-bourne,5.2
auden-tate,6.3
john-ross,10.1
willie-snead,5.0
taylor-gabriel,8.4
preston-williams,9.4
alex-erickson,4.7
nelson-agholor,6.8
russell-gage,4.6
ted-ginn-jr,4.4
marquez-valdesscantling,4.4
tajae-sharpe,4.6
adam-humphries,5.7
albert-wilson,5.2
allen-hurns,4.8
demaryius-thomas,6.1
keelan-cole,4.2
olabisi-johnson,4.0
trequan-smith,5.7
josh-gordon,5.6
geronimo-allison,3.7
damiere-byrd,5.1
cody-latimer,3.6
kelvin-harmon,3.2
josh-reynolds,3.2
david-moore,3.4
paul-richardson,5.1
isaiah-mckenzie,3.3
daesean-hamilton,3.1
seth-roberts,3.1
jakobi-meyers,3.3
marcus-johnson,5.4
greg-ward,6.6
miles-boykin,2.8
pharoh-cooper,3.3
jarius-wright,2.7
keke-coutee,4.2
tavon-austin,2.9
vyncint-smith,2.9
jaron-brown,2.9
trey-quinn,3.2
malik-turner,2.5
chester-rogers,3.1
isaiah-ford,4.1
jakeem-grant,3.6
marvin-hall,4.0
keesean-johnson,3.6
justin-watson,2.2
zay-jones,2.4
bennie-fowler,4.4
scott-miller,3.4
jake-kumerow,2.4
javon-wims,2.1
nkeal-harry,4.8
desean-jackson,10.8
marquise-goodwin,3.6
damion-ratley,2.5
andy-isabella,2.1
tim-patrick,3.7
parris-campbell,4.2
byron-pringle,1.8
justin-hardy,1.8
dante-pettis,2.6
laquon-treadwell,2.1
duke-williams,7.2
jj-arcega-whiteside,1.7
kalif-raymond,3.1
trevor-davis,1.7
dontrelle-inman,3.4
richie-james,1.5
devin-smith,5.0
deandre-carter,1.2
olamide-zaccheaus,1.9
keelan-doss,2.4
mack-hollins,1.1
deon-cain,1.3
brandon-zylstra,1.8
christian-blake,1.6
antonio-brown,14.1
rashard-higgins,1.4
antonio-callaway,2.6
damion-willis,1.3
deonte-harty,0.9
braxton-berrios,0.8
marcell-ateman,1.0
jj-nelson,5.8
tj-jones,3.8
jamal-agnew,0.9
robert-foster,0.8
chris-hogan,1.5
