name,MISC_FPTS/G
mark-andrews,14.6
travis-kelce,13.6
dalton-schultz,10.0
george-kittle,11.6
zach-ertz,8.5
rob-gronkowski,12.0
kyle-pitts,8.4
dawson-knox,9.3
hunter-henry,8.7
dallas-goedert,9.1
mike-gesicki,7.6
noah-fant,7.8
pat-freiermuth,7.6
tyler-higbee,7.8
tj-hockenson,9.6
jared-cook,6.8
tyler-conklin,6.3
darren-waller,9.6
cj-uzomah,6.5
gerald-everett,6.3
cole-kmet,5.4
david-njoku,6.0
evan-engram,5.3
austin-hooper,4.9
foster-moreau,4.7
mo-alie-cox,4.0
jack-doyle,4.3
cameron-brate,4.0
albert-okwuegbunam,4.3
dan-arnold,5.3
anthony-firkser,3.7
geoff-swaim,3.4
ricky-seals-jones,4.9
jonnu-smith,3.3
durham-smythe,3.3
harrison-bryant,3.5
ryan-griffin,3.7
hayden-hurst,4.3
adam-trautman,4.5
donald-parham,3.5
josiah-deguara,3.5
kyle-rudolph,3.1
juwan-johnson,3.6
brevin-jordan,5.7
logan-thomas,8.9
jimmy-graham,4.0
tommy-tremble,2.9
mycole-pruitt,3.2
robert-tonyan,5.2
john-bates,3.1
will-dissly,3.0
james-oshaughnessy,5.5
maxx-williams,6.7
marcedes-lewis,2.5
tyler-kroft,3.5
stephen-anderson,2.2
jordan-akins,2.5
brock-wright,3.7
ian-thomas,2.0
blake-jarwin,3.4
pharaoh-brown,2.0
eric-ebron,3.3
oj-howard,2.4
zach-gentry,2.6
nick-vannett,3.4
adam-shaheen,1.9
lee-smith,1.7
chris-manhertz,1.6
kylen-granson,1.6
jacob-hollister,2.3
jesse-james,3.1
jesper-horsted,3.8
tommy-sweeney,2.1
eric-saubert,1.5
blake-bell,1.2
drew-sample,1.4
antony-auclair,3.3
noah-gray,1.9
ross-dwelley,3.3
chris-herndon-iv,2.0
josh-oliver,1.0
sean-mckeon,2.1
tyree-jackson,3.2
chris-myarick,1.8
luke-farrell,1.0
charlie-woerner,1.0
tre-mckitty,1.3
parker-hesse,1.7
darren-fells,2.1
garrett-griffin,1.2
colby-parkinson,1.0
kendall-blanton,1.4
tyler-davis,0.7
trevon-wesco,0.6
shane-zylstra,1.6
kaden-smith,1.2
jeremy-sprinkle,0.8
tommy-hudson,1.2
kenny-yeboah,1.5
dominique-dafney,0.7
jack-stoll,0.7
daniel-brown,1.3
mitchell-wilcox,0.8
cethan-carter,0.3
demetrius-harris,0.3
derek-carrier,1.2
luke-stocker,0.4
richard-rodgers,2.1
ethan-wolf,1.8
kevin-rader,0.6
johnny-mundt,0.5
brycen-hopkins,1.4
hunter-long,0.4
eric-tomlinson,0.2
nick-boyle,0.4
deon-yelder,0.3
darrell-daniels,0.1
daniel-helm,0.1
matthew-orzech,0.0
jared-pinkney,0.0
antonio-gandy-golden,0.0
jj-arcega-whiteside,0.0
andrew-beck,0.0
jody-fortson,0.0
farrod-green,0.0
feleipe-franks,0.0
stephen-sullivan,0.0
noah-togiai,0.0
ben-ellefson,0.0
giovanni-ricci,0.0
reggie-gilliam,0.0
rashod-berry,0.0
miller-forristall,0.0
jake-hausmann,0.0
nick-ralston,0.0
briley-moore,0.0
jacob-harris,0.0
sammis-reyes,0.0
clark-harris,0.0
jp-holtz,0.0
codey-mcelroy,0.0
taysom-hill,0.0
colin-thompson,0.0
james-winchester,0.0
patrick-scales,0.0
andrew-depaola,0.0
