Rank,name,MISC_FPTS/G
234,pooka-williams,0.0
235,dan-chisena,0.0
236,josh-hammond,0.0
237,mason-kinsey,0.0
238,tyrie-cleveland,0.0
239,isaiah-coulter,0.0
240,michael-bandy,0.0
241,landen-akers,0.0
242,dillon-stoner,0.0
243,brandon-smith,0.0
244,jacob-harris,0.0
245,jalen-camp,0.0
246,kawaan-baker,0.0
247,osirus-mitchell,0.0
248,john-brown,0.0
249,matthew-slater,0.0
250,david-moore,0.0
251,ryan-switzer,0.0
252,rodney-adams,0.0
253,justin-hardee,0.0
254,jojo-natson,0.0
255,vyncint-smith,0.0
256,jordan-veasy,0.0
257,damion-ratley,0.0
258,daurice-fountain,0.0
259,river-cracraft,0.0
260,ty-montgomery,0.0
261,devin-smith,0.0
262,allen-hurns,0.0
263,geronimo-allison,0.0
264,alex-bachman,-0.2
265,jj-koski,-0.7
266,travis-benjamin,-0.4
267,diontae-spencer,-0.2
