name,MISC_FPTS/G
davante-adams,25.6
tyreek-hill,21.9
stefon-diggs,20.5
deandre-hopkins,18.0
calvin-ridley,18.8
justin-jefferson,17.1
dk-metcalf,17.0
tyler-lockett,16.6
allen-robinson,16.4
adam-thielen,16.9
mike-evans,15.5
aj-brown,17.7
robert-woods,15.3
keenan-allen,17.5
amari-cooper,14.8
juju-smith-schuster,14.6
brandin-cooks,15.5
marvin-jones,14.2
robby-anderson,14.0
terry-mclaurin,14.9
diontae-johnson,14.8
ceedee-lamb,13.6
chase-claypool,13.4
curtis-samuel,14.1
dj-moore-wr,14.1
cooper-kupp,13.9
cole-beasley,13.8
tee-higgins,12.2
tyler-boyd,12.8
corey-davis,13.7
chris-godwin,15.9
will-fuller,17.2
jarvis-landry,12.5
nelson-agholor,11.6
brandon-aiyuk,15.4
marquise-brown,11.4
russell-gage,11.3
michael-gallup,10.8
jamison-crowder,14.3
devante-parker,11.9
emmanuel-sanders,11.8
ty-hilton,10.9
sterling-shepard,13.5
tim-patrick,10.7
jerry-jeudy,9.9
laviska-shenault,11.2
keelan-cole,9.7
mike-williams-wr,10.2
dj-chark,11.8
darnell-mooney,9.5
christian-kirk,10.5
julio-jones,16.2
jakobi-meyers,10.2
darius-slayton,8.8
marquez-valdesscantling,8.6
gabriel-davis,8.6
zach-pascal,8.6
greg-ward,8.3
hunter-renfrow,8.2
kendrick-bourne,8.6
mecole-hardman,8.0
josh-reynolds,7.8
rashard-higgins,9.3
david-moore,7.4
antonio-brown,14.6
travis-fulgham,8.9
damiere-byrd,7.2
aj-green,7.0
anthony-miller,6.8
demarcus-robinson,7.2
danny-amendola,7.6
trequan-smith,7.4
scott-miller,6.4
larry-fitzgerald,7.8
randall-cobb,10.0
isaiah-mckenzie,6.2
james-washington,6.2
breshad-perriman,8.3
michael-pittman,7.6
allen-lazard,9.8
braxton-berrios,6.1
chris-conley,6.5
jalen-guyton,6.1
john-brown,10.8
willie-snead,7.2
kj-hamler,6.9
sammy-watkins,8.8
jakeem-grant,6.2
jalen-reagor,7.9
keke-coutee,10.9
odell-beckham,12.4
golden-tate,7.2
cam-sims,5.4
henry-ruggs,6.5
michael-thomas-wr,12.0
deebo-samuel,11.5
tyron-johnson,6.6
preston-williams,9.4
nkeal-harry,5.3
miles-boykin,4.4
quintez-cephus,5.1
kenny-golladay,13.2
richie-james,5.9
daesean-hamilton,3.9
denzel-mims,6.7
marvin-hall,5.0
collin-johnson,4.2
donovan-peoples-jones,4.9
adam-humphries,8.3
steven-sims,4.8
julian-edelman,9.4
isaiah-ford,5.6
andy-isabella,4.2
lynn-bowden,5.4
olamide-zaccheaus,4.9
devin-duvernay,3.3
cedrick-wilson,3.2
chad-beebe,3.6
deonte-harty,5.3
van-jefferson,2.9
chad-hansen,9.3
dontrelle-inman,4.6
isaiah-wright,3.3
desean-jackson,9.0
mohamed-sanu,4.4
marquez-callaway,3.8
byron-pringle,3.4
freddie-swain,2.6
tyler-johnson,2.9
marcus-johnson,3.6
mack-hollins,2.4
zay-jones,2.3
bryan-edwards,3.0
olabisi-johnson,2.2
jeff-smith,2.8
keesean-johnson,4.0
ray-ray-mccloud-iii,2.0
kenny-stills,3.1
mike-thomas,2.2
cameron-batson,2.5
noah-brown,1.9
brandon-powell,2.0
jamal-agnew,2.1
khadarel-hodge,3.2
auden-tate,3.2
john-hightower,2.2
kalif-raymond,1.8
christian-blake,1.7
chris-hogan,5.2
gunner-olszewski,2.0
equanimeous-st-brown,2.1
malcolm-perry,2.7
quez-watkins,3.9
alshon-jeffery,3.4
laquon-treadwell,4.6
dez-bryant,3.8
alex-erickson,1.4
demichael-harris,3.2
cj-board,1.5
trent-taylor,1.6
malik-taylor,1.2
javon-wims,1.3
justin-watson,1.5
austin-mack,1.5
dante-pettis,2.2
parris-campbell,7.4
jj-arcega-whiteside,1.8
liljordan-humphrey,4.5
diontae-spencer,1.2
jaydon-mickens,1.3
kj-hill,0.8
pharoh-cooper,0.8
tyrie-cleveland,1.2
austin-carr,2.0
steven-mitchell,1.8
jamarcus-bradley,3.7
damion-ratley,2.1
river-cracraft,1.1
trent-sherfield,0.7
courtland-sutton,9.6
ashton-dulin,0.7
jake-kumerow,1.5
joe-reed,0.8
nick-westbrook,0.6
riley-ridley,1.6
darrius-shepherd,1.0
seth-roberts,1.0
ted-ginn-jr,1.4
isaiah-zuber,1.8
josh-malone,1.7
brandon-zylstra,0.4
terry-godwin,2.2
robert-foster,1.4
lawrence-cager,2.8
tavon-austin,1.3
deontay-burnett,2.5
daurice-fountain,0.9
antonio-callaway,0.8
john-ross,1.2
antonio-gandy-golden,0.6
penny-hart,0.2
bennie-fowler,0.6
andre-roberts,0.2
tommylee-lewis,0.6
donte-moncrief,0.5
jaleel-scott,2.6
james-proche-ii,0.2
vyncint-smith,0.3
keith-kirkwood,2.3
cody-hollister,1.1
marcus-kemp,0.2
gehrig-dieter,0.5
trenton-irwin,1.5
jojo-natson,0.1
jason-moore,0.0
alex-bachman,0.0
reggie-begelton,0.0
hakeem-butler,0.0
quinton-bell,0.0
juwann-winfree,0.0
stanley-morgan,0.0
keelan-doss,0.0
dan-chisena,0.0
isaiah-coulter,0.0
kirk-merritt,0.0
dezmon-patmon,0.0
kj-osborn,0.0
matt-cole,0.0
chris-rowland,0.0
kristian-wilkerson,0.0
tony-brown,0.0
jordan-matthews,0.0
matthew-slater,0.0
justin-hardee,0.0
taywan-taylor,0.0
duke-williams,0.0
marken-michel,0.0
rico-gafford,0.0
malik-turner,0.0
fred-brown,0.0
cyril-grayson,0.0
deante-burton,0.0
derrick-willies,0.0
jeff-badet,0.0
trey-quinn,0.0
deon-cain,0.0
ty-montgomery,0.0
kevin-white,0.0
chris-moore,0.0
tajae-sharpe,0.0
johnny-holton,0.0
deandre-carter,0.0
dede-westbrook,-0.3
kendall-hinton,-0.8
dwayne-harris,-0.7
nsimba-webster,-0.1
