name,MISC_FPTS/G
travis-kelce,15.2
zach-ertz,13.9
george-kittle,13.4
eric-ebron,11.8
jared-cook,10.0
austin-hooper,8.0
trey-burton,7.5
kyle-rudolph,7.5
david-njoku,7.2
vance-mcdonald,7.2
rob-gronkowski,8.3
evan-engram,9.4
oj-howard,10.4
jimmy-graham,6.4
chris-herndon-iv,5.9
jordan-reed,7.1
mark-andrews,5.6
cj-uzomah,5.2
cameron-brate,4.9
dallas-goedert,4.6
gerald-everett,4.4
benjamin-watson,4.3
jesse-james,4.3
greg-olsen,7.4
ian-thomas,4.0
vernon-davis,4.5
blake-jarwin,3.9
antonio-gates,3.8
nick-vannett,4.0
ricky-seals-jones,3.8
jeff-heuerman,5.1
jordan-thomas,3.5
jonnu-smith,4.1
tyler-higbee,3.3
rhett-ellison,3.4
jack-doyle,7.9
geoff-swaim,4.8
matt-lacosse,2.9
levine-toilolo,2.7
ryan-griffin,3.0
demetrius-harris,2.7
ed-dickson,3.9
jason-croom,2.6
anthony-firkser,3.2
virgil-green,2.3
luke-stocker,2.3
darren-fells,2.2
james-oshaughnessy,2.4
nick-boyle,2.1
michael-roberts,4.1
lance-kendricks,2.0
josh-hill-te,2.0
will-dissly,7.9
tyler-eifert,7.9
jordan-akins,1.9
erik-swoope,4.4
lee-smith,1.9
mike-gesicki,1.8
maxx-williams,2.2
hayden-hurst,2.4
mo-alie-cox,3.2
dan-arnold,2.7
charles-clay,2.1
jordan-leggett,1.6
garrett-celek,1.6
mycole-pruitt,1.4
austin-seferian-jenkins,4.1
logan-paulsen,1.3
scott-simonson,1.2
nick-oleary,1.6
dalton-schultz,1.6
derek-carrier,1.0
seth-devalve,1.2
robert-tonyan,1.0
adam-shaheen,2.6
luke-willson,1.1
niles-paul,2.4
logan-thomas,1.2
jeremy-sprinkle,0.8
darren-waller,3.2
jake-butt,4.2
aj-derby,3.1
chris-manhertz,0.8
jermaine-gresham,0.9
eric-tomlinson,0.7
blake-bell,1.1
tyler-conklin,0.6
xavier-grimble,0.6
matt-lengel,0.8
joshua-perkins,1.0
david-grinnage,2.3
antony-auclair,0.5
durham-smythe,0.5
neal-sterling,1.5
eric-saubert,0.5
delanie-walker,7.2
jacob-hollister,0.9
david-morgan-ii,0.6
rico-gathers,0.4
brian-parker,0.4
ben-braunecker,0.4
tyler-kroft,1.1
marcedes-lewis,0.3
john-phillips,0.7
jordan-franks,0.8
dwayne-allen,0.3
orson-charles,0.3
sean-culkin,0.2
tyrone-swoopes,2.8
ross-dwelley,0.2
hakeem-valles,0.7
matt-flanagan,0.6
dion-sims,0.2
alan-cross,0.1
richard-rodgers,0.2
johnny-mundt,0.1
khari-lee,0.5
jordan-matthews,0.0
kelvin-benjamin,0.0
clark-harris,0.0
taysom-hill,0.0
shane-smith,0.0
zach-wood,0.0
cole-wick,0.0
mitchell-loewen,0.0
mason-schreck,0.0
darrell-daniels,0.0
alex-ellis,0.0
garrett-dickerson,0.0
deon-yelder,0.0
james-looney,0.0
donnie-ernsberger,0.0
jerome-cunningham,0.0
kyle-nelson,0.0
devin-funchess,0.0
clive-walford,0.0
ben-koyack,0.0
jake-fisher,0.0
ryan-hewitt,0.0
patrick-scales,0.0
kevin-mcdermott,0.0
andrew-depaola,0.0
bronson-kaufusi,0.0
james-winchester,0.0
temarrick-hemingway,0.0
tyler-ott,0.0
beau-brinkley,0.0
gabriel-holmes,0.0
daniel-brown,0.0
