name,MISC_FPTS/G
tyreek-hill,17.8
deandre-hopkins,17.3
davante-adams,18.3
antonio-brown,18.1
julio-jones,16.8
michael-thomas-wr,15.8
adam-thielen,15.7
mike-evans,15.1
juju-smith-schuster,15.1
robert-woods,13.9
stefon-diggs,14.4
keenan-allen,13.2
brandin-cooks,12.7
ty-hilton,14.4
tyler-lockett,12.1
odell-beckham,16.0
tyler-boyd,13.1
amari-cooper,11.9
jarvis-landry,11.0
calvin-ridley,10.9
kenny-golladay,11.5
julian-edelman,14.2
emmanuel-sanders,13.6
mike-williams-wr,9.9
chris-godwin,9.7
alshon-jeffery,11.8
larry-fitzgerald,9.5
corey-davis,9.4
adam-humphries,9.4
sterling-shepard,9.3
mohamed-sanu,9.3
golden-tate,9.7
dede-westbrook,8.8
zay-jones,8.6
nelson-agholor,8.3
robby-anderson,9.4
desean-jackson,10.9
dj-moore-wr,8.1
demaryius-thomas,8.5
aj-green,14.0
allen-robinson,9.7
jordy-nelson,8.3
john-brown,7.7
taylor-gabriel,7.4
josh-gordon,9.9
cole-beasley,7.4
tyrell-williams,7.3
curtis-samuel,9.0
doug-baldwin,9.0
kenny-stills,7.7
courtland-sutton,7.2
cooper-kupp,14.4
antonio-callaway,6.9
donte-moncrief,6.7
michael-crabtree,6.6
anthony-miller,6.9
willie-snead,6.5
christian-kirk,8.5
devin-funchess,7.2
rashard-higgins,7.6
marvin-jones,10.9
danny-amendola,6.5
sammy-watkins,9.5
kendrick-bourne,5.9
marquez-valdesscantling,5.8
chester-rogers,5.7
will-fuller,12.9
dante-pettis,7.5
chris-hogan,5.5
david-moore,5.5
josh-doctson,5.8
trequan-smith,5.8
robert-foster,6.6
josh-reynolds,5.3
seth-roberts,5.6
albert-wilson,12.0
michael-gallup,5.1
jarius-wright,4.8
marquise-goodwin,6.9
chris-conley,4.7
john-ross,5.7
keelan-cole,4.4
taywan-taylor,5.3
jamison-crowder,7.6
quincy-enunwa,6.2
randall-cobb,7.5
phillip-dorsett,4.1
demarcus-robinson,4.0
dontrelle-inman,6.9
aldrick-robinson,4.4
jermaine-kearse,4.4
tajae-sharpe,3.6
ryan-grant,4.1
kelvin-benjamin,3.8
breshad-perriman,5.4
laquon-treadwell,3.6
jaron-brown,3.4
zach-pascal,3.3
geronimo-allison,10.5
jordan-matthews,3.7
allen-hurns,3.2
ryan-switzer,3.2
daesean-hamilton,3.7
jakeem-grant,5.0
paul-richardson,7.0
devante-parker,4.4
tim-patrick,3.0
keke-coutee,8.1
pierre-garcon,5.8
maurice-harris,3.8
terrelle-pryor,5.6
bruce-ellington,6.3
